yfzmqrknpv,zcvxouptih,iwpuqepbjb,PEt
-660,jaywizaqkm,DoG,Dog
-0.1975,-0.366,-0.109,CAt
0.3085,-0.459,jpzwgrwybc,CAT
nolhhniueg,0.1655,anorwnqhwx,-0.11
-927,-0.4245,-0.3125,-0.048
-419,-0.347,-0.4005,-452
cat,ozlrairrfp,-0.1645,CAt
837,DoG,dOg,Dog
0.2975,zekoasnrvy,DOg,cat
nxxprekqob,0.0125,-0.3475,0.2675
-0.2395,-0.4905,0.4745,CAT
CaT,vbeeudpuap,296,DOg
-0.0725,Cat,-192,DOG
440,-0.052,knqrrxfhpy,-508
0.018,DoG,DoG,CAt
kquqystwtr,0.099,0.0545,0.273
685,-217,312,doG
282,-0.3065,wgpeieedmb,DoG
-0.0205,afaowcfygr,0.2915,Dog
-0.1055,cat,CAT,-0.2305
cAT,cAT,0.3285,cAT
gsqxrswozw,914,-0.3945,DoG
gtosbmshas,jhhpoksyyf,pffyfwgbeh,cAT
dOG,-0.2865,ykmymzulmo,DOg
-668,0.3825,-790,dOG
0.1135,-398,-0.357,dog
Dog,626,-0.4955,dOg
qfwglmjvnn,-0.457,Cat,CAT
0.3895,xlfnvvdncf,teadcpwevl,cAT
0.1425,0.2975,dog,cat
xtfgatxikz,240,CAT,568
caT,CaT,DOg,dog
lycrhzrtdz,qafrafqmze,0.4175,cAT
Dog,771,100,-700
0.1485,DOG,-237,DOG
pxahiuswkx,lozrkajbiu,doG,dOg
-994,0.3895,0.0025,Dog
-0.0655,0.348,ehkvtuslft,725
cat,aivurhjzeo,riupzoxgap,dOG
iegmvbaqwm,-627,-0.421,0.2245
nkbvllqdxf,436,ipjppijacv,cAT
-0.3,pjvgcosqvq,dsmkbvqybg,Cat
884,0.4105,lumyrdspdf,-757
ylotaqlatq,cat,-0.197,CAT
cxcjmfkenb,996,0.0385,DOg
-0.2545,940,213,851
-0.3465,ftdaerxstu,cAT,0.152
xxwsvmywtk,509,-525,cAT
-438,plemrsxpqe,agcixvrjau,CAt
tlwfejbqqw,0.1535,aqfespxeiq,-777
-0.094,0.3685,138,Cat
-0.0335,caT,-259,Cat
yzqrdsjmrj,caT,doG,dog
-878,-701,cAt,CAT
582,0.04,781,Cat
rfcdorizok,-0.3655,265,DOG
-0.3665,685,596,-0.1925
itgcgnopkr,vtqfjkndtg,0.325,doG
358,-864,qtpopjbskx,Dog
caT,olfvtojovm,-0.1225,dOG
547,DoG,191,-392
cAt,cat,0.471,CAt
-349,xomxgnermk,vosvbbapwh,Dog
rmtcximbfl,cat,ragmzvygre,dOG
700,0.322,oknjwqrcin,okvasxsgxu
CAt,0.2555,539,640
CAt,-0.0715,jwxhbhzild,cat
eyavasznsr,0.4725,jybxbnmknx,-246
cAT,293,846,dOG
CAt,-0.3495,DOG,doG
CAt,rrijyujkhm,vlsqgbhxfr,DoG
550,cprtxdbpwx,pboesqjrmq,869
DOG,-0.3015,441,cat
ehhjyjcrut,-345,cvabagmwoj,DoG
doG,0.1105,941,dOG
CAT,qtmthfnybf,736,DOG
-0.0865,-0.379,azmheenzkb,Cat
-0.4575,DOG,flncpaunoi,CAT
-555,-552,-17,wonpstykcu
snwnnelucs,0.2985,414,Dog
-283,DoG,31,Cat
DOG,-0.1255,mytlvrmpmq,-417
429,hviumvvclu,0.3595,doG
703,DOG,-0.2505,cAT
DoG,vapvcedjti,fohpqdorlx,caT
vfpartosui,DOg,-837,CaT
0.3405,-569,-0.3305,-672
qzjeyiqnvf,-587,-284,cAt
ifoqwxhros,CAT,0.459,DOG
0.1075,Cat,0.479,dOg
-0.1575,DoG,plndmhwtan,DOG
cAt,-0.015,0.3655,Cat
448,-192,dfghnkakfy,yijgdwdxha
-440,pzlrjdzmzx,invyburycl,-794
-0.07,gsysjmbxld,-0.258,cat
-0.272,-0.4075,swcpwlpwgj,doG
zekrzuxgyn,-264,lezyziyhuu,caT
dog,doG,-949,dOG
-131,cat,-905,doG
vlrxkuqmla,404,-0.1385,DOG
