sgdavcmccn,sxjadggdkk,xioufxgoir,pkvcnamoyr,wtjblrjefn,bvoypyixcb,gtydoawrzn
-605,lofbuckpnw,-602,-0.0795,-0.1055,lstwlhrqrk,rsnawdnnuz
0.414,237,iqwuloprqh,sfhoajdqvf,DOg,-360,697
183,0.378,531,pzxmamuwwx,Dog,xffiiecnis,-642
-0.0945,-306,0.3425,gbwdrmuxja,429,955,477
906,dOg,-706,cAt,chjgivxwuc,0.152,prjsfcjtuy
0.466,499,fqbzlziszn,kzgqmhitme,-390,DoG,0.342
0.129,cAT,-0.188,-0.182,0.205,-0.2515,khuvfdodqk
-0.1225,-0.125,-913,608,-0.3515,452,-0.167
DoG,-0.1675,ldhmzdwhnz,-858,679,0.468,-933
0.288,adqwemefqp,Cat,cAt,gpsevmtgsd,-69,cat
-0.1665,uvbpnvkssr,0.3865,0.0175,0.4835,-0.0715,cAt
sptztrcynv,-964,0.4295,-475,314,396,oamfkbejdh
0.078,0.2805,cmhrxkwpwi,-0.3045,144,-20,0.014
jioeajksbm,-421,evpdyrzfqx,gvpxxbxvof,lahmrawepv,0.244,-232
-977,0.5,-0.247,pldmypkult,909,jrwssyssmc,0.4275
-0.091,0.2905,-52,ddjnbvurgn,-72,DoG,-663
CaT,priwaqarmo,-0.183,291,979,DOg,janwbkaxnz
vwkopftvlb,pjnmtoiyoo,-45,nwxunfyofi,34,lydnpazlql,70
0.483,vqgqiqcequ,-0.293,cat,rwpugjqhvz,-348,-0.025
htscgmyeiu,dOg,cat,488,cAt,DOG,kvfrmicpmg
-661,-0.1405,0.483,bqsvhrihcw,110,150,995
-448,tteibjgzuo,-0.4945,554,cpfssenvzv,-634,DoG
0.208,bgzbtaghmw,cAt,yxfxrrzfac,-0.054,CaT,luphumbmtr
cAt,-929,0.1325,cAT,srxdkmsuim,0.109,csosapqwfo
DOG,tvyaahpour,-66,-725,-0.0395,tuufawgkjc,-0.2205
dOg,-0.3755,ivqsnylppt,eyutmaaury,cAT,-0.2255,0.222
-0.168,73,cat,126,DoG,qodvxwihqc,vwsrmzfnly
-0.015,688,cAT,duzcxcmenp,kuofmnprdn,-0.344,pxqshkmudx
458,dog,sqkeeqhfga,-0.0905,-0.49,14,cgdigljzet
101,498,0.077,DOG,euoozqtddf,-0.3435,doG
xgmsqxulxm,Cat,166,0.2465,-917,-0.4835,urnxjuoxgq
221,DOG,0.0395,-140,-0.14,-0.1775,Cat
suwpjoehlg,abuczkxuaq,0.4635,-935,656,431,-802
DoG,0.476,xxziwxugie,cAT,DOg,onexuvlhnt,0.3675
azuegawols,emfhqjtbql,cAT,851,CAT,0.0495,0.0265
-0.3515,suveuzgqqj,nehwuzwcps,dOG,-0.1295,-0.2875,0.486
647,0.0055,dgyxzbvyxz,CAt,-73,-348,dog
165,-0.404,-0.335,DOg,563,-0.3325,DOg
-0.0805,945,0.118,zcpqvkranr,-757,cAT,Dog
-0.402,-629,dOG,797,-0.1055,spesnqvpqp,26
-874,tpvalazslz,-0.0305,556,-961,-952,0.176
-639,431,znogxegkjy,0.204,372,Cat,-0.4845
986,-0.3505,-683,-32,pmagcnmprh,-165,-231
ewtxyutdjb,365,doG,503,0.3485,dnncsykttx,lfouimauux
-0.476,gbeouxpwrw,-637,701,295,nbouyhkcje,-0.34
umeplnmuwv,0.115,-0.2605,dog,-0.3515,0.4315,CAT
qhbfaafhxu,caT,mtbkyndedc,ioskaiklma,CAT,DOg,gggasawyjn
-0.065,zhsfzvzjqs,-981,Dog,rbeconnwsc,0.104,843
jbxzwubbmr,ceedlgmytc,-0.301,-737,Dog,CAt,0.4865
0.069,720,rtrsmjpxxe,-0.1145,0.273,-0.3825,DOg
-269,0.323,-776,-180,-281,-0.3255,657
