psuhewascd,ezgrgudiut,PeT,bwntcrjoec,akdjpfdfht
102,-0.2435,caT,ndflepbmah,cat
0.497,rjvefvckvw,gfnjcbxwoc,-0.3715,dulrkvvvkr
281,0.4895,Cat,546,syyqnyrexd
tdncpqvbcq,0.1905,DOG,mzvsqxqgvz,-0.404
-0.303,fgqyzyoudb,CaT,145,9
-0.4895,735,caT,683,tjldeqzjdi
DoG,rbnvcsisrg,CaT,lqpkrqjycn,dOG
cAt,amvecicuvj,xalcuvwlwx,658,-723
0.236,0.1105,dOG,907,0.398
tefeujtyij,ienpcuxrtk,DOG,0.1655,wbmjnzmrns
0.189,-0.2845,CAT,gelrcxzyzh,0.403
sxrvfdpxhd,-555,Cat,lqgizhwcgf,-740
ssuejzzgxm,-484,aebsfmclul,kxufsgatsv,tkcrfhxone
xfkmyforhw,-0.199,dOg,kqqmacjeki,832
-0.0105,mqqsfebinx,cAT,-97,xkbqfsadzi
cAT,-697,Dog,-0.387,iigvqwsssq
CaT,-722,DOG,doG,CAt
CAT,vnylsryjat,caT,iyrciadtoa,-118
wlmlyebhxw,rrtvljxrlj,doG,-0.153,-367
jjsxgwbnpb,hpsmbokarz,DoG,-0.324,0.186
aaqkzabcva,-0.3975,-0.0455,710,0.429
-284,963,Cat,iiyzxvsjxt,fujaywispk
CAt,ktpdxwdafq,CaT,0.1635,ntfyhzatpy
0.29,-0.2725,CAT,-827,-0.405
0.1405,-813,DoG,95,-29
0.2515,-0.2165,doG,DOg,bcaftoybcj
CAT,635,givffyvzcx,0.395,-0.0375
bemfdculuk,DoG,DOg,-356,-475
rdniyacrbz,-0.402,dog,cAT,-461
CAt,mnrzsnegtq,caT,0.4555,127
-0.441,myzsczndov,dOg,xzkawmwdwz,-0.14
-334,-0.152,dOG,Dog,-443
cat,-763,dOG,0.171,caT
CAT,-0.0895,DOg,0.0885,-0.075
334,lzixvtmgma,0.4435,Cat,166
lawtzteuhb,voociqdlxu,Dog,zeihyjisaf,-845
ydjtxmjwah,cknrocqmfo,cat,-963,dOg
qoysuncqqe,0.4805,CAT,-0.499,CAt
259,ovdgtsieol,-0.0115,DOg,dog
dog,caT,dOg,-295,0.46
kxtbyhmaoa,0.3925,gxbwtpjaxj,cAt,-126
0.2225,-0.0535,irblanhvzt,592,-135
xczqswpqdr,18,CAT,jkhklzjtsy,-0.0185
osztydxemd,0.125,-209,240,DoG
mlfttykexi,-0.218,dOg,-832,kwfbrzkecp
0.1755,dOG,batcfggpao,cAT,100
-0.404,cczqwhlqum,Cat,-0.2155,DoG
-302,87,ixbuftjpaf,0.061,0.204
ywzbkqhfju,CAT,dOG,qcbfuqlrmx,-651
943,-0.4325,cAt,cqppwadild,0.054
-52,-796,dOg,0.0115,cat
-0.4595,-74,dog,-916,-0.1845
gzjdjxocuu,543,Dog,377,625
Dog,-0.4545,cat,-0.204,-612
-8,vtysjdhfnn,Dog,645,wtoblydjby
0.3145,0.0195,dog,mobtyjfdep,-710
-0.314,269,dOG,-0.279,zlfvugirzg
0.216,-462,CaT,dog,dog
-918,-0.4535,DOg,cpghtvxthp,xipgjwvqsy
-0.0215,otyvegxsux,cat,48,kbbepcoemv
385,788,dog,cat,0.4485
kytsjbbjfl,CAt,dOG,0.411,doG
doG,caT,939,167,0.2985
800,395,Dog,CAt,zkbkqticyn
539,0.477,Cat,834,-0.385
0.0875,196,caT,0.1235,cesjcrmniu
rpuwbkukfl,220,Cat,-733,-0.1325
DOG,-0.3705,Cat,-346,-0.17
2,990,CAT,doG,wouyggwuyh
seyzlupsgp,pwpainxeiv,dOg,dOg,462
-0.38,dehbknrfkh,vxxlncnvzi,-874,whjckyslix
umzxzubqlt,ygpuetkltb,DoG,lefwoffixl,ywtdgctayi
-0.0815,839,DOG,bviypqughv,-0.063
209,-0.123,eynfbrszxw,Dog,inxnjwxain
jovbbuvjum,-0.1075,Dog,CAt,uzpfcbrxtt
CAT,Cat,0.394,lhyjdofwsz,-977
0.3995,dOG,DOg,0.1805,-0.4915
cldovuzcnv,-0.2585,dOg,bzppaxckkb,ekpdftpsdn
333,fzsomoxpze,doG,lhewhstbkf,0.456
DoG,552,-0.371,yyzdwawgey,nlnnhtsngk
-0.38,-0.462,dog,-927,caT
0.221,0.3665,cat,-906,gsyzdupswz
ekfxapjxcl,CAT,-528,dOG,ryetgvsdsm
zzcgbqjcvc,-0.0465,doG,-0.377,jjpmaazqxw
472,672,-726,dog,ckwlpngbek
rtskshtkow,wnelewzhoy,caT,wbzeqbdgmx,-384
