srfdzgnhzy,bgrcrzgkac,obqgefwsan,epfmlmywxy
599,-98,tlfaokjzod,CaT
wjzjgotolz,-732,0.376,0.4905
doG,14,-0.481,yaqbnsinya
vwecncvzyg,uemgvacvgy,sruvknesrf,-378
-588,fbwhyusflx,0.1515,ujuggzakhh
caT,-0.492,-0.212,rsjmdckxuz
tcciiyvpsu,0.1005,CAT,sjdkfeaqiy
cAt,cbuctcikvv,-0.283,-0.353
420,0.4335,0.0745,0.391
-594,qelzdqsmst,siozhrmudn,vmpzfjvjpe
CaT,xanqqbjxwo,cAT,dlfjdpqwbz
vdlzehirmg,445,crpzccjbpz,Cat
Dog,thsloqjrce,ltibqhvkdu,CAT
0.119,pwonmqfgqh,jkhgsyqgtz,0.2815
czshadepsx,dOG,856,luoozrtcyl
772,dOg,796,frbumcpxpd
0.3705,CAT,ixkhqciyil,qulqwdusvd
-123,Cat,lkjfydkqlt,cat
480,ogmkbbogws,sxipppccrf,CaT
qnkclupttp,0.0695,0.0545,0.4095
myvfvquxqr,-371,vmyvegexhk,CAt
caT,0.0995,wusucnfqbh,0.148
0.207,hwdurxpbnq,cAT,0.012
ztjbibnuur,cAt,jzojoduqmy,rnzfdgvhsv
trvdwhuvof,808,dOg,0.4845
DOg,-911,-273,ytzojmwlbt
-0.1615,tgyvvfrwcp,jaqmqqprpt,gqnemtdhah
181,-87,ctkljpfqcw,mgzswxdwnj
151,aqvkniygow,431,ffrubqmzah
qujamtwkqf,19,ymhyjucmed,351
-0.4095,592,121,-0.0175
-0.319,0.1385,dOG,-580
bouqcehxha,0.189,-0.312,cAT
-0.3815,-0.1815,-0.193,-369
747,0.152,-0.09,bqbdjrjeed
-680,0.1595,iupyprhtxe,-496
dOG,-699,-0.408,0.3705
CaT,707,qwevjdvqxi,-0.241
226,0.205,-965,0.19
848,-726,183,CaT
emcilwfgqm,DoG,-0.0775,-0.209
Dog,0.469,686,CAt
pnmjqgdnxa,zyylruknro,205,ebcmnzqqzn
ibdotkucgi,CaT,-0.359,-853
0.0655,0.4205,-817,7
82,enjcqyepfy,-745,0.3215
-0.197,-0.288,0.12,odibixfyoq
fushefwvdi,-0.074,Cat,631
pdqfeiqqpu,391,fopchkpjgu,dOg
rcweattwgz,287,ppceelexow,620
309,87,482,doG
760,-93,-0.0915,0.077
cAt,ivjhjqeirw,qfnpjlsxsn,-0.117
cAT,-208,ufnryujzsm,llvrwxibwh
-771,tsumowzqap,ibjkxojins,0.008
-185,-0.3565,tpxmsqonhh,DOG
CaT,-71,-0.1305,wsfontklpq
976,0.3785,285,372
CAt,529,41,whjrgkkaxl
-757,-0.0315,80,evstqrizdd
0.0085,coppftolwd,975,seaafccwtx
-0.3665,-850,48,qorlhhpsxe
461,68,lldbblagxy,lrxsnhgrpg
ggjbbxlfcf,-0.038,nexbcytzvx,525
