pET,ybdchmbuct,eztlxjfxcu,egepxfkiwh,pinzrlifqs,smzkulilzn
CAT,0.018,-469,zpbacwwdvp,-0.042,vpelxplbdw
-0.111,qouiaabjkc,0.105,znllhumgrj,-0.0915,0.474
DOG,-320,-0.158,dOg,471,-771
Dog,-172,dog,caT,CaT,35
Cat,xhvkwihluw,-0.0185,0.123,6,DOg
CaT,-501,659,dOG,0.041,sfjudtdbql
CAt,-0.0295,dOG,-748,0.274,CaT
lkmtjpzpiz,171,bwbpahadoz,0.397,-661,CAt
CAt,-667,-364,CaT,872,amcfzhzibz
0.3295,caT,dOg,825,784,cecqdidsqs
DOG,tfsekfqqed,-0.2335,gyhokwdeaz,smbeijqoit,pgthuvawpx
Cat,vukljyhnjp,gjqubgyzgv,hmbwuvifri,167,0.1755
doG,-0.0915,esyooygdgi,cat,rjpgrkihga,-318
dog,dog,ujsfvwpbyr,0.3855,-693,-0.237
Cat,txdrcogxky,dnfasidsld,DOG,0.1825,DOg
dOg,-103,-0.224,-0.2725,-242,156
trtleczxmi,108,DOg,0.264,0.386,dOg
432,-218,-142,0.0745,hqxfdaqqix,0.003
CAT,0.0195,-0.072,-168,uwbchctotk,zsjxdlztvs
0.1015,-144,dOg,15,aqpcrbbznb,qxkzyuaknt
CAt,jubwyaoejy,svccyyspeo,cat,-975,DOg
Cat,-795,dog,211,-641,-142
dOg,zjouquahee,Cat,-171,cAT,0.033
154,770,aslayvxuse,DOg,-0.2205,0.1445
dOG,0.4505,uudbunjhhh,-262,eqwdyxzbaq,fyishhbooa
CAT,0.0365,266,odbiidoeit,bctqmydhvi,0.054
DOG,-230,jyquhwzrin,-0.2815,184,-0.212
DOg,epgpbkvyou,-611,jkzpnoxild,bfzapeozus,pavnnvrxaw
dog,-852,0.2645,dOg,0.183,0.248
Cat,cAt,caT,cazpdnexlk,371,0.0215
dOg,bhmjbvgvrq,-0.019,cat,phatfawgnx,-0.4425
caT,714,0.048,-0.4295,czbobhgbpe,434
cAt,-971,0.357,0.1145,285,-0.153
cat,CaT,0.0595,hfgkvafxqy,szhvtkmvln,0.353
cAT,CAt,0.247,yraushyzio,xytxmfqvch,0.1385
dog,zpnehjbbhj,czktoqgfkt,233,ontkdlngte,0.3645
Cat,Dog,-0.45,-279,-360,-325
CAt,doG,-0.4915,-0.488,DOG,xdbtudkkrh
dog,0.1885,ggftqysajd,fjotghteoh,plwbixyfqa,-75
bwwxknmrol,xgvvisxeyy,230,qtxvbpjxnj,-780,-0.0145
dOg,0.0965,DoG,0.2315,117,cAt
caT,-369,0.078,-487,632,mfbpoywdqk
doG,DOg,CaT,Cat,DOG,-0.4115
