dtfysqjump,pET,uftcqyyjxx
edehklxkpy,DOg,-792
srswmybizs,dOG,hwnvebbpfe
gvdgwjejlq,cat,DOg
195,Dog,dog
-375,dog,qlhglexqtk
0.401,0.2795,-0.2935
doG,CaT,-0.0395
-948,CaT,rbpdcfwpcr
qjowomswtp,caT,CAT
xbltmnypot,CaT,irzucezeyo
Cat,cAT,483
0.344,Cat,-282
930,cAt,-0.376
ehslzfzqma,dog,krzkmelwki
-0.005,cat,bjwttjokog
bexstfpjcy,CAt,doG
nudiwumdzz,Cat,0.398
0.3185,DOg,irnxfmvbvz
-847,Cat,611
ehmyskigxs,Cat,dOg
jimnsfkapi,dOg,520
-301,cat,201
-0.105,CAT,-0.3835
doG,dOg,dOg
-521,dOG,0.2505
CAT,Dog,qnrzsvxlwf
976,Cat,-468
luakdcruxs,0.153,cAT
mpgljjyygh,caT,-0.304
pywqvgzgtn,-0.1035,-136
-0.311,dog,-0.402
-0.085,zcdqdbybca,-740
zahxhnynzp,cAt,dOG
0.4715,Dog,-0.105
769,823,-0.1195
0.122,DOG,-0.4695
923,DoG,700
178,DOg,Dog
-0.4635,dOg,qzkjffppdr
mbwmrzotdx,cAt,CAT
531,CAt,CAt
bmaqxgyftu,doG,caT
0.465,Dog,978
dog,DOg,cat
dpkvcychbm,CaT,DoG
hxsdgqtgue,DOG,-0.4365
-0.3415,cAT,0.347
0.36,CaT,0.2085
-482,Cat,-0.0645
CAt,cAt,nnykhljsxe
cat,DOg,dog
wptmpjktdi,-874,Dog
-0.089,zoexieadwk,kzfcqvriqm
-937,Dog,dog
ycvgcurmss,vkmaoqnurp,82
-552,cat,micmztzwgc
0.446,156,454
615,cAT,-867
0.2805,0.418,238
yrampkbnhb,mtulrzgnye,hkbyaeuefj
yhwenzxnwq,-332,0.032
-380,CAT,dOg
Cat,doG,863
0.239,CAt,-992
cAt,Cat,143
-577,cat,aususqspif
232,cAT,-507
fujennlppw,cAt,skfbzxokon
0.152,80,-337
DOg,dog,DoG
yhblramcah,cAt,-171
Dog,doG,CAT
dog,-689,-0.1095
-0.4265,Dog,0.097
