dwhujajwww,PEt,omkzdggrlb
-0.3945,cAt,Dog
igbojlutjq,Dog,CAt
0.058,0.2665,quwsznqdul
163,xqjheqhkpp,avadrfhpgs
137,Cat,DoG
-311,CaT,cAt
liafmxegkj,DOG,-344
-0.406,DOg,-340
DOg,Dog,khxxllbjfk
-0.3145,Cat,-179
-0.3725,CaT,0.292
DoG,cat,0.0855
-0.308,doG,mxdfldsjxs
-0.057,DOG,0.016
900,CAt,DOG
-0.4605,897,-761
650,0.081,flmoaenhib
-583,DoG,omgzxkjncx
-0.107,-638,-0.4275
-982,dOg,dOG
doG,CAt,319
gpryfatxvn,DOg,0.1435
807,vxpvsanhsl,cnktjbqboe
-0.4715,Dog,dOg
584,0.391,-56
0.365,464,-0.135
dog,doG,ekndnqvgzj
865,CAt,dog
-0.075,mljevfjbvo,-152
-0.447,CaT,-593
Dog,Cat,-0.3225
smuhhgxtzv,doG,-795
0.3865,CAT,-0.2
0.3475,cAt,904
-0.295,yiuesymlxf,591
tokcrrbpyr,dOg,-0.145
doG,DOG,ayqjidgbgx
CAt,caT,-38
cjtllwfswt,cAt,ntphwmofku
xetbaxnufy,Dog,738
yzyhmfumwl,Cat,0.44
-566,oayfbikffx,bhuaywffpy
carkbbaomj,rwpebgcwkh,-0.495
0.3755,dOg,-0.261
740,cAT,dog
doG,cAt,dOg
18,dOG,dog
shbrgxsfku,dOg,DOG
