orskrngeos,uyhfgettff,qpqnxjpnrc
tyabygqjoy,-0.1105,0.055
nqdommfpop,wdhfuuplym,-0.256
gxlyufhpvx,-484,puywthyski
-179,0.201,nzbznzlbii
-303,bwdegcgncn,-0.258
dOg,0.2525,0.394
0.0025,487,-0.0275
pfzozcyafk,108,-166
dOg,-890,empldjziiq
Dog,-127,-241
ezvpdgwsyu,0.388,693
0.441,0.4705,0.436
arbklfzerp,qyxjduiqcw,0.4875
-338,295,-0.32
vbyxqnvfft,CaT,-0.1035
gzavamdmpm,626,-0.3285
-105,xjnknbhaiu,29
622,818,752
-0.473,-0.2255,-439
745,994,cAT
-0.3015,0.109,-40
-679,0.254,-626
DoG,CaT,0.428
-0.4585,-199,CAt
0.1885,556,-332
ihiollylur,mykkqqbhlg,-0.397
bimbvebwew,762,-652
-0.284,wwwxprhwhq,ssrhnucnye
dOg,isplklyxri,-930
nllmbiznfh,0.257,0.4
0.312,-0.4745,-253
0.116,jzlxjegeii,-0.1905
snthselzvp,-424,-715
0.37,0.448,-0.2205
iqmdpaomry,DOg,-0.044
iheeoigrre,-0.5,ctjelmiytp
0.03,zrnnydtuio,CAt
437,-332,-958
-0.1025,605,802
nowiucsfvk,dOg,0.1765
-32,osogzpaffz,-360
-956,-235,129
cat,-147,-800
984,-661,Cat
-208,CAt,0.106
-0.1305,doG,esxurdhgud
cat,-0.2615,pymtbimdox
0.0385,-794,wsblbojuak
-0.293,-710,0.0415
tsvyzpzapi,DOG,DoG
0.133,zohfqhdzuo,-81
-0.262,476,qilhybjdfu
rfjnorxtsx,-0.0645,0.484
-0.27,0.3735,CAT
-231,0.0015,doG
llqpaehvai,-0.4915,-725
caT,0.1215,0.4745
0.2335,-0.2325,jaldnxqgaa
swxihfqzys,-74,fqhroyirrb
626,342,0.386
gdbowfxotx,ideekjnyea,729
myiklbpjpi,0.307,40
0.0615,243,ahxqihjlwi
-0.4955,-0.077,vylxscjcxh
-0.0495,snzxlgssom,-0.1525
0.334,-0.067,247
563,17,bexkpjmyww
-0.2345,-970,CAT
126,-0.2145,854
dOg,0.117,ltpwprigly
CAT,cat,dhkgjazqvv
137,dog,dog
-370,-329,cAT
ifzhlwuntp,504,qxzuoshlsu
-0.095,-241,sbchslrzly
Dog,-0.1785,-470
utreifbvgh,DoG,144
-0.295,cat,kprjshyeyd
