kamdcsmijp,spgozlgedw,zlzwvusrnu,PEt
ryjesmlwba,gdnlyojetb,0.203,-0.0535
606,-0.3485,-0.1795,cat
yjrdittqdp,0.0905,606,CAT
0.1905,0.4915,443,cat
268,cAt,-0.077,-0.4355
0.212,0.3945,xmriysqdtu,caT
0.3135,cqgtmhamza,142,DOg
142,0.1495,qneztldslf,dOG
-658,921,0.042,tmvnkjfmwk
-0.127,-0.1615,0.054,CAT
95,0.25,DoG,cat
-0.328,aglrbjeqgh,Dog,obscoqhntx
206,-0.0905,-0.3565,CAT
0.431,0.312,dOG,269
-0.211,-132,Dog,Cat
cat,-0.028,-621,dOG
-480,0.014,0.0745,dog
0.352,DOG,lryumynjzq,enjczgqsmq
98,musohcagzu,lbdkcqfshg,DOG
0.0285,-0.119,dOg,960
-0.378,rkqlhsvvfu,hxdkfesqcv,296
-0.213,drvkepuudi,-0.145,cat
DOg,-818,-172,DOg
-998,-0.0115,580,0.4385
dOg,kmnjrmoaio,CAt,dog
-799,-0.275,zuxxmfymko,DOG
dOg,-573,lwjmcjzupx,DoG
-0.1335,Cat,CAT,-126
816,0.348,200,cat
-785,-6,-0.0515,cAt
qepelmoztr,nhfhatzugc,-0.236,DoG
0.269,doG,CAt,CaT
bjdpildmno,481,jbfuvirmpl,505
gvkqcsdfbe,0.157,puqwmqlenl,DOg
uhzbgbpbja,-278,uxivygjapa,CAT
kggmjwygyh,-862,-0.4905,cAt
Dog,0.0495,-0.2835,Dog
dOg,0.3205,-515,dog
qwiscnvpto,0.3735,50,cat
0.1295,jniyynjtmd,0.365,cAT
CaT,-177,0.3655,kbcujemyqm
-0.297,0.4785,0.418,doG
1000,882,0.1195,doG
670,Cat,hohhbtlxnd,cbljplkyef
-877,-604,kcuzcroorp,caT
0.1145,hvelzlitxj,510,DoG
353,azvrzpjjhi,DOG,caT
mibhseixay,927,-0.3555,DOg
0.1965,-0.069,qzpsoonpiz,caT
-0.141,kvbeifwjgq,fphcxfmmcz,ircckharsw
dog,-0.013,DOG,dog
653,DOg,0.372,cAt
994,-0.054,cAT,cAT
uswhworkoa,-284,-0.408,cat
0.3085,ghjnybbpgu,360,DOg
0.2055,dog,700,DOG
599,0.274,DOG,-0.0995
tepakwhhge,912,802,514
-342,0.034,hwumfosjla,runnhnswot
323,-742,-941,0.1735
DOg,0.169,bcznjnpmwh,cat
-0.2595,0.301,43,bllruzybll
CAT,-131,0.323,Dog
-406,-341,0.228,Cat
cAt,-53,dog,-0.27
dttckscohm,0.3635,CAT,Dog
zgpvzwnddc,-732,-709,0.1035
0.138,gvngprzpdq,-471,caT
0.3945,uylgjkusee,uwstqghena,440
yeonlmxbie,164,lnltkmgbbm,caT
-677,-0.425,-0.2815,Cat
0.117,DOG,-794,Dog
dOG,xlbygpbeto,dOG,93
-0.06,0.0545,-243,500
rizetdkniq,489,ralgfeiewx,cat
cAt,-214,-0.053,txhzugbrwf
CaT,0.1675,0.04,cAT
0.387,CAt,983,yajkqhpxrc
DoG,doG,fjvhhyaoch,qmwgojjvhi
-0.3775,-0.3095,-900,DoG
-531,kontgzxsrk,pmpvvzgqcc,cAT
0.105,awkukwmyih,0.4635,dOG
-0.4245,Dog,-937,dog
-861,mroucnliyq,0.27,ejgcsrqisk
jzsvgctbmr,lkucvovbxi,-293,-0.4805
cat,CaT,dealvckryb,cAt
