fmfrcwolef,cbirqtpzdj,uzxdnflqzq,uhirlrqmug,frlumldrzj,jlmwnqbwgs
-544,khpwoyjuxk,DOg,mzwvuhiick,buuoiyxysf,liegqcncui
nwwxsqidyj,rtfmmvbspi,-971,ktlymkhxpb,0.0215,CAt
DOG,caT,vdhzuswrdd,-0.4615,-0.1155,zfwcsnqjwb
-241,-185,Cat,pybdhzglwv,-0.2255,qbjxzmijkd
Cat,Dog,-0.317,aziscsxgdo,CAt,16
654,qwyqrhwrxw,tlawbccbqm,347,dzgalhcexp,0.4215
dOg,dOg,-588,fhpgjggknq,DoG,Dog
-235,-0.4665,doG,-416,DOg,24
-901,83,DOg,0.5,evspbdkrss,331
dog,-0.028,ownplofngd,985,-170,648
fgjddasevk,755,-670,pdwkclzcuq,caT,310
pdavzasudu,0.044,ymxygavyga,cAT,doG,-0.298
xxkavtzlir,dog,cyvvbyanwv,0.198,-0.0595,-0.04
446,qgsxjogati,DoG,-0.145,-0.409,qzuifosewn
-0.1275,kkqsomtafw,234,-263,-0.2665,woqaejzjmp
0.4285,hwbtieriys,-0.013,-0.073,-420,-0.3005
-894,0.397,uvqjfokljq,0.4845,747,cAt
CAt,bnjhreilah,bndnfsytta,997,DoG,cAT
-892,caT,CaT,0.148,gdywsrvvqg,0.3745
-0.276,0.4595,-891,703,543,-0.0315
32,caT,943,-0.295,0.0625,636
-180,CaT,0.481,wjltemzyer,fqizqsgfgd,174
DoG,757,gogwpuwcxl,0.458,-0.0745,fawtptjycr
371,134,0.327,-0.236,uytquetbcm,438
doG,470,-834,jwtjumprgq,597,-145
0.2075,-0.4785,mnrftpetff,yhgpjstzwr,ovkrgtrpjx,nzwehayuxx
yazdssywok,523,ifyltdjitg,-0.1235,0.2215,dog
0.1825,-0.391,-781,-107,0.3125,-769
cat,0.0365,CaT,657,701,-140
0.1035,0.492,Dog,gzcryuvdjr,-0.2995,caT
0.168,fdbjkzuead,ppavoxaztb,-0.156,0.1545,fcloxtxkdn
-0.184,-0.389,-19,Cat,643,asuueceoaw
-916,CaT,-0.0255,-659,-426,-11
cat,wnfegqmzie,-460,doG,0.4025,temxvscpug
hbfsnlzfyi,Dog,0.289,0.269,-652,lykthkyeqn
btkujocmps,dOg,cat,0.387,rcabxxflnr,CAT
0.4495,0.1375,0.197,-444,-90,eislsumjbx
-0.136,opygrqozhg,0.4835,kcaurjbirb,423,-416
61,-0.4265,-55,CaT,dbmewrttal,ubeowtndwj
tienecblqx,-0.3615,xombinqoxv,-225,cAT,CAT
fduryaejme,cqdtfojnho,dog,-0.2735,0.4045,oqkvhttran
dueiajkxhq,janrwqzmgx,rmtbpwbmmu,-0.0905,837,-27
cat,ixilmjvfyt,-0.272,kpyqktiait,0.156,CaT
CAt,umsvzelfvo,kwcglrizxl,404,uivshiofty,-0.169
Cat,zheaxkqsur,336,ltoipvfguy,-0.1745,295
504,-281,ofbazrqvpn,frfqjrjghq,-478,754
-75,0.0355,-372,-394,nccwcmbxbp,164
cat,cat,0.1965,-0.08,-0.4345,-0.1795
hkrvivhmcw,0.154,-961,qrjhzrbayc,caT,837
lqdodufwcf,cAt,htixngsfjw,0.0445,lovrytkbrt,phsohxtaet
-0.176,DOG,hsbpopjbxg,ylbsjovjvi,336,0.149
-510,-0.3485,-0.193,caT,oxkiusbajv,427
-0.3385,Dog,yvsjyyroob,808,kcjrdmtvhg,-43
DoG,635,-217,xgdlrgygcd,0.0255,-0.4725
-287,snipmsetev,uzewsfzvol,wsagbuakou,nfrkqsatre,-992
DOg,utdjluwaym,-0.4015,0.482,-768,fayfulungd
fycqorijxz,wqapvnurze,DOG,-709,-460,qhqatzduht
-0.1595,-0.4735,CaT,-929,-487,dOg
-0.0215,urzgqmmvbp,-394,-725,-0.1605,-699
whfbzemtmj,-0.3345,aaogrcazbe,-0.162,CaT,0.188
wkwjtfejmr,fuxdeasfxs,kndzzbggnj,0.201,-629,0.385
