unehkbsyjt,rijjwwqniu,jjowllzeyj,vhstsqudgu
mkfdibfzvp,139,tdwrtzjcym,ajqzgiatll
DOG,Cat,tjcsidmrhw,360
qfxriqxyne,ihhvaapkxh,zgdqkjamhb,0.401
lmxtljhgzq,hcdrslbhfs,0.029,512
xszvcvmufv,DOg,-972,-578
0.433,292,yqzttwwvkk,0.128
-0.2465,-128,0.458,-526
393,hzayzfeuti,cAt,-0.332
hiszwtyvbw,0.1705,rrfmsnpdxk,Cat
-440,0.4095,saxmhmpjgr,dog
xenqdxrbgf,-0.3805,CAT,-0.4445
ftepmrusgw,dog,0.0405,doG
933,-232,918,0.343
0.2365,iglucvgaus,0.1515,147
0.209,-0.3275,-809,0.5
dOg,hivqmxyqfk,-0.134,qtlyfghfeg
-530,0.438,kgwdeqfvyt,0.414
wpjaoivgzg,308,qsvkrnufkt,0.1665
0.134,alhoxoasaj,jbhomznjeg,rehlibhcap
ylejglqudz,CAt,-400,150
mluuhlzsbk,mcvfmgfnvl,komrsrbmyb,761
zxgycrckqu,-193,-288,DOG
-823,65,btxfmoxngm,-0.1295
uytmrcckzx,632,kkiccxdsha,942
Dog,125,eaooyvcbub,hfdheimuwz
gizohrodsi,DOG,246,cAT
-0.241,-818,70,-209
kkfqphvkpt,ilnrbshkht,dog,0.3355
-0.41,uuetrbjgvd,0.4305,DOg
nnxqxynwnw,618,-931,cAt
0.382,-937,-0.0695,-0.46
jcxmtyeiro,0.0615,0.4875,0.1075
llgzpnmwrz,dOG,gwvczvysec,-0.3795
lowfprdgqc,-159,DOg,caT
DOg,-671,Dog,-0.4235
DOg,0.1665,Cat,-0.065
684,-0.184,pemrlpybgs,330
-355,0.4995,DoG,0.1935
DoG,-0.131,0.1125,-476
ovbtvtoeef,0.416,DOg,fprrjqkowj
adxanxiimk,vmrqznwmtk,45,-26
-0.001,146,650,oevtuvrgtv
935,eqqnrsuuzy,fjjebwsfol,-0.18
626,udpmkvufcl,-647,oajnhkkqzs
0.2785,141,qdmybkcdxl,-888
-0.102,0.0715,DOG,-920
-0.4225,-538,-634,DOG
0.257,-150,0.4615,0.1535
-104,ottrmhgtvt,391,-0.3795
pfzcvpwwmu,-0.005,iwxewpsqbp,nynfqslzzp
jgoxwejtoy,ypjulmicft,ilbyubmfrw,-0.1315
0.389,414,bjwenfomld,caT
421,468,faqunbmsar,dOg
0.3915,474,-286,818
pvgyihwtbb,0.498,0.4895,-0.387
ebitfkqwai,doG,-247,Cat
udgliromzz,nfoerxwtmn,-301,0.3235
DoG,-823,530,ctqqjygoao
ozeipmgfxl,145,-0.254,xrjwzzfocx
658,629,cowtdbdzov,djknhtfecn
0.428,-0.039,-0.032,-0.0305
cAt,210,DOG,586
maubnvmfqw,0.3005,-0.188,-647
-0.1285,jqhwvhhkmr,uxmvejpwdk,dxtpkcxltk
496,-0.2425,-0.3885,ouzhiwpxmn
caT,Dog,Cat,rjqqpcfmaw
0.018,0.377,942,CAt
DOG,327,mloazshfrr,pyfxmkqlea
851,cat,0.4905,cAT
537,844,828,43
700,tzrmpuwemb,DoG,njmykuoraz
iayarhhdrl,-0.43,329,caT
Cat,-740,-951,vvgqqezczd
qaztqjwwdq,287,rxdoelkmae,alfnjeovcq
Dog,gsnkpazwqg,qfmawdgcta,-0.4665
lwmoexskbj,-634,taizdwezsg,-764
gsrdcseoyh,0.266,ybeivnxawn,13
fsobedlpgd,-0.363,-0.322,DoG
lqzglnxilb,msujzjubpu,-268,inpovmcgqt
-66,-0.183,caT,CAT
