nvqxheprdm,nuswchhpqy,gftwemrbbx,pet,acqkudxqbh,eciljrhphk,uqplhmvqjb
DOg,0.125,497,vhmrdzziaq,uxrfkbinxu,353,-0.287
qswlsnrvbz,0.037,ocoeabzcyy,CAT,itqlehfxni,480,syrjfkcfvd
cAT,-0.1245,rumbanpeog,caT,krtztrfald,-0.255,916
-628,dbgxbnudaj,0.0215,Cat,cat,243,kdqxokjibl
ofmonhhsuq,xgraenspzw,-0.4885,CaT,ybyaiyypgz,seoobwqjvj,caT
tfxdhqfuae,616,-0.376,DOG,0.374,cAT,kpleehquag
qqmnhhisjc,fkzdpzqxoi,-0.3865,DoG,olyxybwljm,655,dctvizdxfc
0.0405,Dog,DOg,doG,-0.303,-0.338,gxgolvtvvj
dog,479,-0.1745,ueuhcvhhrl,rqwkuawczt,0.291,0.034
cAT,DOG,nrerkacxvf,dOG,973,440,-0.0635
-0.037,doxayxpkvk,0.348,366,nkmcozfsro,ncvpnazpfh,0.1195
xhwqnyzksq,djdaiczsmh,jquhyakddj,ejqjolffet,Dog,-156,-0.176
reoqmgwxtx,ggfcpxgluh,DOG,Cat,487,583,wbknuccpsm
ldjjrvidad,-35,91,-320,balbfcxsas,-491,0.4955
-0.204,502,jkpoudzwis,CaT,doG,610,ebbfavlexz
-815,-0.1815,cAT,cat,kennshvfhd,cAt,douyfnzpyy
qwdagmufrg,-793,wumuzslhuo,CAt,hvxmqsmszw,-223,caT
-0.4215,-0.005,lscsmjbjts,dOg,730,927,123
0.187,pfpwgoprcy,-0.4595,cAt,gueamgywrg,-4,-87
886,hvybjagthz,ftixcitonw,Cat,-0.4195,638,CAt
-989,598,ignvxllglq,DoG,0.141,-0.1675,DoG
0.236,558,957,dOg,0.2205,DOg,CAt
0.3335,0.1235,0.2675,bsiqulccbs,eeicpgrpzh,caT,hdrospzgew
-0.2905,-0.295,-702,-0.3965,cnloljifvi,kiokslmvfm,CaT
-646,-159,790,DoG,-559,zwizzqsypr,dubcicetlk
-605,dngtvawvky,ifakdfzcjs,Cat,pxrxpkcxeb,ugvbwxrgts,0.11
cAt,hcffrnrnsz,85,629,wpxmidrufy,178,-272
-73,CAT,Dog,cAt,-0.2705,810,691
eyfifziqcm,cAt,nkpsixwncv,DOg,doG,0.4315,unnwqsdluk
Dog,92,hfoxpofeat,647,0.1435,169,-0.2155
hlwiaatanl,DoG,mynwhnzpub,cAT,-0.014,0.299,387
273,-454,124,DOG,dOg,960,164
izkipwdsbk,dbtcrsdfio,fqpxvkwjzz,DoG,rhclrbvvpl,0.2905,vvzhdeokxf
qinyssraiq,-41,0.3005,hncsrhmwqj,0.491,-0.1885,dvimsgzinp
auijveyltn,0.176,DOG,-0.203,CAT,713,-0.304
-0.2005,-820,wjuoycmyqu,CAt,naewjkvvip,-0.463,DoG
dOg,-0.4005,24,cat,0.4645,-0.0975,-58
0.274,ojiixwfqit,301,cAt,-0.2885,DoG,ilkkkixwcd
doG,kgvwmdmwrp,gcwaaypjee,doG,0.315,caT,lhgkvaiqtd
0.397,-162,-0.1135,CaT,impugmvtew,egyehtjzyt,0.0595
jqhumebnne,CAt,ryqzszsoof,CAt,0.357,-101,doG
0.2595,-0.3055,ddgxjhrwrx,DOG,0.4995,udgjnvtybw,284
dog,0.3645,caT,CAT,xwlorvjjvb,-858,jfpeldgwrh
842,-739,hiapqzacwk,CaT,ybtsicwhgk,-0.145,-0.336
-690,ahxncacsgf,-494,669,stwgmqtixa,nxskrwdhfo,xlnzpxxrah
dog,-0.3595,-423,Cat,cghdqtjwxa,-71,mpmpgvuugj
ovulkwlcql,0.341,aqvmodktcr,CAt,CAt,548,0.269
vskdnwosbx,pksrplzufi,iokkqsyysb,DoG,oqpjbdozwm,-0.066,-3
0.4305,klurbzzgke,0.055,cat,0.126,lougshxpyh,vzonmhhzlx
