fmttphcsov,alyjsdpzhp,rhqajgdzjg,peT,ecxeokmbot
840,-441,gitfvxhwne,doG,zqledmgbmg
0.164,945,hulvyrmdcu,doG,-7
dOg,-776,-990,DoG,fcobawndjv
doG,opovgxpkik,0.059,cAT,0.4095
57,-0.1235,994,yxfjclgzdf,-0.4035
0.462,78,dog,428,lnwvkiwahb
0.027,201,-0.4175,tfuslndbpx,cAt
127,-0.4535,CAT,hahtpwaaym,16
-81,vmjqsqnoyl,fwbvvttozp,cAt,nnzegxrptn
611,tjoabprxne,-0.2055,doG,-0.2895
nuqitlmazh,pjjmnwrtih,onadwnpzkv,DoG,xclmvxlayq
jiuknvpblc,caT,-4,DoG,dog
416,cAT,-379,CAT,871
cAT,0.1125,hvgdorkmvf,DOG,gbjesqvlwk
doG,csybpmtosf,0.127,DOG,-259
tirwiiktob,neoabbquob,-0.2515,dOg,dog
cat,59,-963,0.2,-799
iijkvdvzpp,0.352,qnwkwpycln,916,-0.189
151,kakijqndna,-0.122,DoG,-620
djarsixman,ilxxwmtuic,zbajsvxpgd,dOg,vblhpappkv
pzgprcpdyx,0.3175,-0.4625,Cat,cAt
918,rcopquefzw,-0.128,CaT,vhxerflpjs
323,CAT,ygkqhhjyqv,dOG,0.1265
cAt,ygcwjjboki,ndimlkvioq,xfedqtiaig,477
darbqnkiuj,0.326,-656,Dog,jbyppxakct
qkogqtzdxc,-0.494,cAt,-0.4335,-0.4365
doG,ezxdwrxxwt,blacnaoota,cAT,cat
90,620,-435,tibdicujpu,0.179
58,DOg,-0.0245,cat,rpmrcpecwq
841,gzilxgnccz,-0.2445,pyztrvceiw,-901
rlrjugyrmc,-0.0185,mnappgyxkg,0.0485,-115
klvoptureq,164,871,CaT,Cat
fgnbzqeidg,632,-211,DOg,293
ovgzbkmwvr,0.4775,-998,CaT,-0.2885
-0.202,289,-177,CAT,-0.205
cAt,-40,515,CAT,-0.418
-638,0.0075,Cat,0.216,0.112
494,gnguqrdadk,CAT,458,CaT
-0.296,ercjbrdsew,efdqvjspsu,CAt,brfohothig
755,0.0185,evylvujnqd,CAT,hapwtnktpj
cAT,0.4465,-782,dOG,xciitgverw
DoG,200,-170,dog,doG
hcybkbjcfd,cAT,-0.4615,CaT,-0.069
0.488,rgofguxcbq,0.3795,CAT,-0.456
zwxsubkgsi,iuipdjradu,-333,CAt,rimcezrabd
-465,DoG,0.092,dOG,-0.1475
873,bvvayjhafl,ineftzixhm,58,dog
ntqviholdo,cAT,-0.4235,Dog,aipisfryjk
772,kqcjiyrfuc,bwdxfhyovs,Cat,doG
trxygmlyzy,iwfpahdenz,doG,Cat,gekkfvuocj
DoG,vqclflykii,crlsswgjpi,dog,0.11
dog,yqnlcssuav,-226,doG,-81
cteeqaodsn,fswukqpoin,-301,dOg,DoG
202,-829,509,-525,CAt
-0.2835,0.22,jntkgxmyru,dog,qxvttjpanu
zundbhowjv,97,441,cAt,hmtgmwktaz
oyqlgllhto,0.4825,0.006,Dog,-0.0735
vahbbacomc,-0.331,tshmbbmmpm,888,pjewxldhug
jvpzsqcpkn,uexoinhazt,-0.005,-61,eddapqyfyr
-186,ovshdkrqdc,0.1615,doG,cat
-0.2375,lrdufvvmxx,CAT,dOG,DoG
-47,eyvctrdfjr,mvjgzrjris,CAT,-961
lqqwdlycjq,-0.154,0.068,ubocvqipdo,-0.4665
cerpnziuwa,stduvvpvny,frkmbncfes,Dog,-0.2045
686,-0.245,wwwctuudnx,CAT,DOG
44,tyusrvumqq,-0.379,CAT,-309
0.425,dOG,-0.4185,yzlvuffsai,cat
-153,gahepogjey,aqsbujkqjh,Dog,rvgaujhyeu
mymwkenxcp,-0.1615,xdoibwvfle,cAT,Dog
DOG,kecgykppoq,hvnvkfqhwr,-0.3455,snenpqlhhv
doG,rnjxwjlnrz,bdocidxbpl,DOG,-164
-46,-453,yfkmyqxbfl,Cat,DOg
cuypjwuuxh,-0.0215,caT,dog,82
0.072,856,-548,ctqhirsflr,qkfmrdlncn
xelispcimq,0.0305,-757,DoG,0.4215
wzpmvnoksb,dOg,cAt,dog,0.4515
mwpykzzugy,0.4695,500,CAt,37
-0.399,0.04,ctqopektmb,CaT,caT
-0.399,dog,232,cAT,-0.3615
jnuhokhwvn,-0.394,428,doG,200
-112,dmsuqjyguq,lpnfyecwyd,CAT,cAT
-0.2755,besxhqyvrc,0.127,klttvajglb,uxwmnmsnss
doG,-0.4385,dOg,DOG,dog
-0.3895,jcpxuogssq,-256,Dog,rshoxlykyz
thclnbtvjk,491,bvxgxzxdks,CaT,rfkltzkule
-0.4655,-0.287,-0.109,gsgdhhthgs,0.001
cat,479,-0.352,kgjvaftbqw,0.052
-762,0.4745,-0.1265,cAT,-0.229
phtkhxnkzg,728,dfqfqncqsf,caT,0.1105
0.0455,dOG,97,dog,0.183
0.042,cAT,950,doG,cajmdflumh
351,-0.154,333,CAt,-0.4405
-43,-0.4215,mzgflonpjn,CAT,819
765,vryoxwyutl,mxoglezjtk,DoG,DOG
0.099,-521,ygxbiwxuzy,hnyavbpauk,DOg
DOG,-0.1715,-0.386,-13,-0.3085
bwdxsxfhqc,-294,0.2705,cAT,vhcwfhpmsu
