owdiqlihxa,fcjevfihbv,PeT
pvlnlnfvmb,-166,-0.0745
pzymxkplzu,948,-391
ousgmdpzur,caT,dOG
0.4805,zfpjahlivp,CAT
cclowzfnks,0.014,CAT
zwfvlnzrhf,pitsqtvrlo,dog
0.2675,-409,caT
-401,hisgoikwhq,dOg
-679,-0.4545,cAt
-0.3075,xlwgtnsabe,237
-451,0.2055,DOg
-250,ngvcnfmbiq,vjmyjkcxal
pbmiuytmzw,wfmqsszhhx,dOg
0.291,zlkqjsjkmo,Dog
-621,ujvimyjsif,dOG
138,-192,pwzdsufgrd
721,0.1335,dog
-540,luwoaaviyc,cat
toqabmfery,-399,DOg
rpcdkmodjy,vraistxmla,DOG
-725,0.3375,vjkhdpbunq
-0.096,0.2805,dOg
aqtfqvndxq,ubzfozrbgb,doG
khguwoxiej,oygfuifuvv,cAT
CAt,CAt,DOG
scmncwubmh,dOg,dOg
0.3545,bldwbtjldl,972
azzgwvjhvo,0.3905,dOg
sfvdksqszu,445,Dog
-411,-0.4285,dOG
-0.186,cat,cAt
-0.438,CAT,CAT
yhcwrbrhyn,-0.4005,dOG
tzahkhwquf,hysivnvxub,-575
dwyealzwuq,-0.403,dOG
0.277,trptnyiyou,caT
lqgfmyxazs,-0.311,dOg
181,DOG,CaT
0.473,0.176,-135
-0.0155,0.407,0.097
Cat,caT,310
DoG,0.4165,caT
CAT,ydlhfqjsrw,cat
709,smmkxmfasj,caT
pezmfgfkjj,-212,dOG
wpzaseifmi,doG,cAt
levedijxma,xvhwilktcs,cat
0.1255,-885,caT
doG,caT,DOG
-0.41,cAT,dkyezvcfsl
-880,kjwrywsjyd,cAT
wiejiljgdp,0.279,doG
-0.114,-0.4595,doG
-608,CaT,dog
ypjwflnyid,zusfypoxeu,upvigqhyth
tanielicuc,muzufdmdmr,CAT
cAT,-0.0685,nslmlnrngv
-0.37,0.0565,dOg
azmqogsnqn,viktgoivmk,CAt
-209,807,CAT
CaT,dOg,dOg
-0.189,Dog,cAt
CaT,tduezjvrfy,CaT
rqkhfnswpk,dOg,-0.476
0.0355,-13,DOG
577,pratchfhny,Cat
-0.2815,-0.4755,826
epncaanhqs,143,caT
CaT,-141,780
0.4265,dog,dog
CaT,ydtunhrzjw,dog
ptziqioovl,-0.1765,DOG
oyvoivcmgq,dOg,DoG
0.4525,Cat,mihefazayg
0.14,xskacylwcw,CAt
DOg,-0.072,izvsaxhgbz
-30,ilhyymnfeb,DOG
-0.4995,dOg,cAT
572,xaqcdnisyt,-841
kcymggibzf,dog,DOG
-718,885,-0.378
0.5,-357,CAT
dclzsicbpj,hxfphejlwj,-609
