boobojeumi,sjmtwsless,wmnsiopgdf,qcayfuhwwn,qqvizzssbt
CAT,-149,cAT,295,742
CAT,410,jgymbzvkvc,952,934
fzrfjreeqg,988,Dog,lqwkhylopb,gojhfvvyvf
-50,ftjhotczic,945,-523,igqxfkzown
dOG,CAT,0.2745,-0.446,qkxizgujwt
424,-0.037,tbxvlmludw,ysiscvjshi,DoG
cAt,950,0.1315,-466,csniyzdixd
0.206,0.0745,cat,kueibgjknn,nhvyjwogul
eoynqxfscr,710,kekaldjywh,-0.4405,vrwrudhkkl
iaqhemogjn,-600,-0.497,244,-367
0.433,-0.0825,678,ptjhsblxkb,0.2055
-996,-0.226,DOg,-0.292,qtkdbejllq
mhucblzhis,-443,0.444,0.4165,vuejuzqptm
CAt,-0.025,doG,-286,Dog
-307,CAT,Dog,0.304,cAt
0.454,qjrfuzppcb,-0.1175,DOg,621
CaT,0.3095,251,0.0305,kmbcjynidf
-526,vdqvzrrirf,-0.046,176,scopxvkmor
DOG,rcbhpsyejt,fsdoksknpr,iijluwnfra,-0.346
otmwnuaqnk,-0.085,doG,0.319,0.4285
0.3405,hgbxruhnfk,-888,cAT,-0.0765
xjkclmoxyh,0.3085,0.0085,884,503
wtisodskbg,CAt,0.139,196,dOG
-0.1965,-0.088,391,vmloxlvvze,wkszmelwch
zmcltipwzm,-842,-0.0515,ikmffxsayf,CAt
cAT,0.4985,872,0.247,gvlvxwtfhh
542,dOG,-31,DOg,bgeqbjqfks
dOG,pasrtqmjzv,0.272,cbhslvialp,vdzbkpoqyp
-445,yorvsjtseb,-733,cat,dOG
-0.393,788,hbhtrdtdwu,-0.1625,-0.174
0.175,-0.1905,uvstyqakzz,-605,ufqteumsyz
esfpxlmnpr,brcpptguve,-156,-0.0785,-0.3935
pvzbajiqqr,-0.0495,-0.3005,DOg,-584
awovozciqf,qqubnjxyts,pkamrwdrrx,-0.1955,-522
-0.3315,-0.274,DOg,0.248,vvecurspiw
-654,sgrfcugqds,agnsfhsfvf,-0.1785,351
