ltqmdkwewf,cdalesywty,vbrbyezpjd,dklfpwuexv,dmutqnpysg,gvtygwyzyb
213,-0.2845,-0.1365,DOg,-126,634
aazmukyodh,pszplqzoqf,0.472,0.3795,kcyvslijkz,-381
gkyjflffvu,chzwabjbjk,178,vrlzwzirgk,0.2585,-0.0895
snvwxahpdb,-470,CAT,qrywlvnion,ajscjfetyc,dzvjzsyrjk
wxmxsawvfk,CAt,-706,yyrlfjdjuz,0.276,-548
cAt,-0.4595,cAT,vphorrvywi,-0.1425,awccreeunl
0.285,-0.0655,208,ucdcdyqkbk,-231,Dog
uzwvwrywqk,-354,Cat,-313,-945,caT
-0.256,192,0.021,yfsnjgdkku,cAT,473
qtnezijtmn,cAT,vrqipfomwz,70,174,358
mhbvmjrfmw,0.4645,0.296,hxeenxzqiv,axhaucfibv,cAT
dog,0.491,quxaytywoc,775,-146,xotzjydqci
-485,CAT,0.057,0.238,rajlmvoqxp,-904
vhyolbpyxm,olfuoxuctu,pwtiddheky,-0.4945,dog,mzxbcyxsto
msyoyejxij,-0.242,CaT,922,egteiwbdws,CaT
uxbvdnnebv,pwvafxkvxt,671,dOG,367,DOg
dog,CaT,0.499,-0.4775,DoG,-0.097
zittoxdqwt,-0.159,0.2925,0.3555,0.3495,60
859,0.4175,CAt,DOG,CAt,-996
zmqzroqacv,ihytgsqbkp,-403,-0.3145,753,dOg
cAt,aqpxpgtyey,-0.491,-0.4145,0.1385,250
0.4335,evwdjybjmk,Cat,rxfjvhpqti,0.276,-967
-0.1945,fagevwxdsm,CaT,gppkjzmufe,Cat,CAt
caT,cAT,gggbmrhpfx,928,-0.408,envwhoaflf
utivecsvxe,948,-0.2435,230,zearenoqsy,-371
0.198,-0.3655,-0.192,629,-0.123,slpguxwokw
-59,714,oeunsjdyay,CaT,hujyksfznv,cat
dOG,yhknnstwlx,CAt,sosrpokkyw,0.29,-711
tgbvbepxrp,-607,qgckmkmfmq,0.4665,-563,850
oxdbylaizt,0.282,eqkekohlkt,641,ruygupguqp,-68
DoG,ypgplojauf,CaT,0.34,vtcclmvsvf,-0.4635
CaT,kctnbnkjuq,pvyvemdrfi,ezktgpniwc,syknroemgz,0.053
-0.277,jnftawezjp,528,isjpdygwog,DOG,Dog
-605,-402,pzkwhebqwg,-310,DoG,-0.202
499,238,vyuozcmcqn,0.2285,0.372,doG
dowrdgcvwq,0.3015,CAT,-0.4335,-0.2525,0.392
-0.1355,muemqvcdkq,bfpyxdjnwg,ejbrybxzbr,CaT,0.407
-271,-0.147,msuiznvcqg,-0.312,0.415,DOG
tfdpsdxhza,108,cAT,ylflqewewu,933,fcgemzuzxh
svdaktiokp,105,cAT,cAt,-851,caT
dgbjsfnlfz,yicwpihejt,-0.385,hlpecoqnfm,dOg,962
0.3735,0.233,-49,qrxzucvloo,pxmjonqkgz,ghvhzjiydo
187,-0.0745,836,-714,599,-471
0.388,0.249,caT,0.406,htamkdnhfm,mneptugkmc
cat,DOG,-303,0.0695,-0.3235,dOG
302,550,-0.186,bwpgjcvzta,0.125,-426
DOg,dog,-861,-676,btluhygmlm,0.138
-0.4585,0.3895,-89,mirnmmxdse,0.4935,aatkqflspy
-0.2585,hbeluzlwxc,DoG,0.4025,-516,-0.46
DoG,eqnyuwcxgk,0.465,zvtapwwqgl,ggucsmejzj,394
sjwmisavzj,-804,yaqcgchpzx,0.3235,-802,-260
DOG,-0.188,meqrgtlnlp,120,iuxoieufvh,vildgzinzb
31,edglkbxenh,0.422,406,-834,256
102,niznmjvxuq,0.2945,366,CAT,bwpbcfkwdd
19,wwvjldpzmc,Cat,Cat,hjxyzousgt,cxmifqzkqv
qcjlkulxlg,CaT,0.0335,-688,rqgcatslep,lkyofidkav
-85,-135,-0.248,-742,0.0965,-0.0735
ymrfzfhfjq,310,agwpbguuqc,0.27,-338,-869
-0.4575,youonyizkn,cat,253,-165,683
bngbembbzu,210,caT,lzmgpepumk,0.108,0.2775
CAT,doG,68,osiomnreyi,0.431,214
szcupuyvgv,198,CaT,0.213,dOG,160
Cat,318,-453,0.0935,dog,0.1765
243,-0.0875,-0.0895,-0.153,cat,-328
Dog,CAt,919,bytvouuvxh,caT,joyfaccsok
qpzcxhdzry,talrtpgvyy,ocbhmjmcsu,-523,-0.1085,-790
-818,erfyamdaue,-0.115,dog,ytyxoubmjo,-218
-514,913,Cat,-910,0.144,fsvwnflvao
DoG,0.345,0.384,-239,-0.299,0.283
-329,bakwhjckll,Dog,0.1565,leksghwvft,140
yduestaxkt,614,DOG,391,0.4815,ffnqoxpvzq
DOg,-0.21,-612,0.3955,0.0215,-0.3725
zhcxmzriez,751,pogwcccknj,DOG,-0.339,-440
ddokpmfeyy,pwckpehlak,0.4925,-0.445,-0.488,0.36
933,jdxscibhrh,-0.0145,-0.225,aodspslgzc,cvarwijfxd
0.051,-494,-248,-730,lkhbtwopqv,yvipozcnuh
-0.326,0.1395,0.381,460,cAT,vwhdrzqont
488,-617,kecogkzjuy,420,725,xhtipndmey
pvtmdlnzxb,0.261,DoG,792,20,sapxantxqg
-535,-464,0.103,ehupvhqral,-889,liuujbnhft
-0.184,oeohyvhqgf,-274,-0.382,-0.3365,xodwaeysce
ubrjzxljmo,dog,-908,-182,ndfsgijovy,dOG
sptsuylrrb,caT,mxazxnkdto,DOg,801,60
825,-0.342,gnmfdjelsj,lkqeqwwzeg,-0.3735,edcldirloq
bnjaymkbba,332,857,-0.2005,qhraklcozt,-0.213
0.1105,947,-0.3665,CaT,0.3705,474
dog,dOg,qzvmwjyhon,0.0455,caT,jgezzhebho
325,954,239,-916,cAT,qroyvfaoeu
-0.4445,gdvxhvxxix,-0.4095,-266,-0.238,-34
-603,0.162,-363,gebqtoqlfy,-382,-703
888,-106,-0.3185,291,dOg,633
-712,cAt,dajchhxnsi,-4,cat,-0.158
-0.164,-0.3205,Dog,-602,-0.5,-606
atryjkyjxx,-0.4905,CAT,-864,-0.0195,CaT
0.25,qqzrewuxdm,caT,0.3515,-877,-0.1535
-0.2595,dOg,-343,-0.095,axoupnewfv,-0.1665
dOG,mqzgjkypnp,-744,0.098,-0.4285,rtfvdlhvqw
rudlekpapb,doqtkxwhrx,cAt,Dog,-0.329,579
320,CAt,ygqrprbtyq,Dog,hhfrxpmpyh,0.192
-0.3625,fhtrcnjqwb,pybmmvcmpi,dOG,DOg,uybffctmfc
