qfamorotwy,ebwyxcydvx,dmyqhsxlnt,fwbutlwsds
dOG,-0.427,0.316,-601
0.3745,0.057,DOg,0.369
povgdaeifd,192,0.048,852
-777,dog,DOg,0.2605
dOG,-511,801,ekgkhtfped
miekmqzhye,-835,sqkaflgeij,0.204
meudtygatz,-0.3245,-822,CAT
gorwegaesl,cAt,DOg,631
0.033,0.377,0.106,ecqtbxqxmm
cAt,DOG,-426,CAt
794,dOg,0.299,-0.0215
dog,koaqhgjaoy,dOg,738
-274,214,jcwttvytgu,-360
-726,-772,ogkabtdfnj,0.0205
zvwnvxzvnz,byjbiwgsnm,-0.473,tpxemngyva
stxjeerjnt,0.0495,cAT,hmdkmezznk
-0.174,yiarsbglns,ppadztzpar,dOg
ttpjafmlgx,cAt,152,bdiyhirbcz
-473,-418,0.0455,-0.3685
awjobblrje,qqqkpohxqx,cat,-165
jpplznnyto,cAT,ptjknjdstw,doG
xakazgcoke,-0.248,koouhdqgyz,0.029
ginapqkzpi,101,julbthihaq,doG
xifpxzprga,dog,vmnizbvcda,bjuazjuclk
0.484,200,lgxwjydycv,chtcuzxahn
DOg,-543,jovgtixmzr,Cat
-0.2155,tpvjejulcn,901,-0.418
0.23,0.157,-481,-266
0.3675,ypmcwifejk,976,caT
aaxfwuzumd,jrtkaawaky,-0.3135,-0.1745
662,ubberzilys,-274,-0.337
xuithhzynk,-463,uuiylrhjbs,caT
471,-0.357,0.159,416
-217,pikkittiwm,670,-0.438
DOg,-565,vllzpmyqll,0.1305
684,777,-0.1725,0.189
niwhocrxum,-993,-245,DoG
-0.3315,pdhytlzqpw,ddcmmejvig,dog
ybidpkktyf,-0.1405,-590,-643
CAT,67,jlotatojfz,qpxgftamhy
41,dOg,ssbnjwhwll,CAT
