bubdicpwcc,kzarizksds,fjkgclnzue,gdmvghinhc,dvjuweyxqn,vbwrzonqcs
DoG,CaT,0.031,Cat,-159,cat
hyyegscpcw,rcirxcwquz,gkpboylxms,-0.151,-0.2835,nxkecsucdw
687,-368,dOg,-0.0935,0.239,vzzqgrkmrv
-0.294,966,-0.373,0.3475,Dog,354
CaT,0.0705,0.1515,jhgwdjwilr,0.45,doG
nkbvpnhkhd,-0.08,cuxxunzwfi,-0.2505,dOg,-680
0.266,0.118,-6,0.4025,-312,cAt
sqewwtrinp,CAT,bpoltgmdqo,tdwqpvqucm,hwdvdkvsty,-0.206
Cat,0.2935,-0.4195,ouarfmkixt,-197,cAt
-327,-810,-0.4375,512,DOG,CAT
-9,ryhreehvkd,-593,-0.194,dOg,yaunvchjfq
eqstawwxmj,-890,525,Dog,-0.217,-0.3915
0.3855,0.45,-0.465,dOG,zaxobmodxc,DOg
0.1255,cAt,0.3885,caT,0.218,caT
caT,0.207,0.1185,doG,412,ehndomgqny
-689,108,-0.4985,-533,caT,afkyfgynsm
arywwjigun,jqdlxpposm,-0.0765,-50,-106,ugqlyalypy
-0.4245,0.373,vhhnxwxsca,322,pcdzpuvvks,DOg
dOg,587,zstpwuuqkw,ztkoihnusf,-0.362,DOG
-0.305,bamcwdallo,0.2275,ckarbsjaeb,-0.14,lcdkgflbhw
rxepefbzgn,-0.363,0.453,cAt,DOg,udaruxddxr
0.4925,-610,rtdwidttll,CAt,896,-755
uymasdcehb,-0.318,caT,DOg,-0.337,-0.164
0.4335,kpzwueihdr,ogjuilnfao,367,ozmttvbyef,cszdllbumf
dtuudigrft,-61,okxfoqpfax,-0.419,faeqzjripc,-581
dog,wspdddzxdz,-250,-0.016,brvjwxlfeo,0.3415
-0.2055,-412,-0.0065,-0.0245,dOg,cltohmfqlw
dOg,0.258,zmfpcoqcwz,klmsslsldq,Cat,0.477
gvghrgiqye,nozgzotkbg,-0.4105,0.109,cat,-12
DOG,168,1000,-0.361,-512,hmnxsxwpuh
382,DOg,735,CAT,-190,rlhrgvqdwk
0.261,zboulswgaj,dOG,-0.1385,-0.23,napivtkzzg
0.148,493,-0.467,okwluwrmdv,CAt,siuhowacvx
cAT,-888,798,wnqlyetiwj,296,233
783,CAt,-201,DOG,-0.4695,260
whydovjbsf,-268,flcwuuawxu,cAT,0.1165,-956
mcbedihzjf,-0.1045,bmozzlbixs,681,-600,ofygyaudbc
0.074,-0.0665,-0.176,-0.233,216,-596
szwwdimyax,-0.4695,cAt,838,pevfmyviee,dOG
dOG,doG,cat,-0.0675,bsgzltkywj,fbujnnkmdu
proprrljbk,0.4845,-767,doG,737,0.0995
-600,470,715,gucqfsnpef,CaT,nkjjznmzlc
doG,auqihdyevq,0.026,-0.3545,wwtvrnbkhj,0.0205
0.1275,310,dkzqrtwcfo,752,-0.225,-571
-0.3705,dhqwtbheql,enjoeaywxz,0.1025,lkrmofjotg,bhhwsdyqun
pfdgxqdquz,-254,77,waciiwwkql,cAT,CAT
