svqlxxkrgv,equmaspcbu,eommqyqlay
doG,-0.239,-206
0.224,-0.4905,0.44
oczwewewbn,871,23
dog,akarwugmmd,gxhmwfvxaa
grrjagfvwu,rhtisgolik,Cat
lwupcrbhmh,mdjwkppgfx,CaT
DOg,CAT,cat
0.239,tvxljdqtzk,-312
231,0.4555,lgaxqqtfsp
tcirxegmae,821,qsrdgpteds
awbzullpvh,DOg,eqtwxeubzn
-402,caT,-0.1975
ajrfecjtki,0.072,-82
fpmfmsyrkn,qgvqwowwpr,gprxgrzurm
wxjmlmmgsu,0.13,-0.387
431,xfwigbtiqg,-125
0.0835,spmmpskkja,kuwgfcohya
91,-84,yoqsxrdqmf
ufcwevmlbz,-0.041,-574
doG,npbrjikcqa,ydqekcuzrw
jgbfhvpqjs,-569,eeadjcfjqo
xvhyatmndr,0.457,157
