rgweidlwui,aoinsbytdz,jtaydrijcs,Pet,yyhqrykifu,qttbiqbpuq,gwmyrzteie
xnvpfnouar,322,610,cAT,0.194,0.306,jawlnedkht
0.078,-717,350,CAT,ftguhqwtdh,usunjqomew,qaivcbnhlv
572,vackvadcke,zrsobrjhsq,cAT,cAt,-0.328,0.2925
551,vibuajvuyc,-181,DOG,kyrivnpxae,-0.092,-518
amhrxunltt,-0.386,-674,DOg,axlbvocrhy,CaT,caT
0.2175,dOG,-0.214,dOG,DoG,wiuvwnlixu,0.269
dog,939,0.1935,DoG,-0.15,-0.1715,hsgbojkyus
-403,0.406,-204,DOG,837,zaeripqbpn,smsyzwsehp
dOG,523,0.477,959,80,0.495,DOg
-519,jkyjuqrjjn,-327,0.186,0.0755,-0.2695,wlgluslxuj
ahtdqwmdlm,-0.3975,-441,CAt,-997,jiflszzefc,lmafkhsdpv
vvzrajxxvy,0.16,DOg,CAt,6,-0.0265,-0.18
-867,0.131,0.1305,cAt,doG,0.0955,797
doG,anizvrjoib,lomwmqvpkd,CaT,gjfrochddr,-0.1815,0.3865
rczycyiejy,194,dvlnjszndg,CAT,-378,-0.05,mppvdhwgxg
-855,0.0985,0.3465,doG,Cat,kadieovivy,-0.4645
zkozctbwxd,-0.263,etsvawpfkd,dOg,0.2365,-0.0705,ogselsxarp
-238,-0.029,knircrzepu,iuvwlgqswp,aixytegeln,635,qrismxfnil
ejrvpsblga,voebbtieed,boekwhzsvk,caT,vpciwxuzxw,-814,DOG
tcfeufrmiz,byabyztzno,255,DoG,dog,667,DOg
jeyedmmhzf,-0.367,rvisylkyww,0.3225,jzgjsdeunz,-0.1245,0.196
890,dvdhhasmwh,-910,sjrtccpfmk,0.3365,sellpsgxhp,DOg
96,0.196,20,dOG,-239,-303,ieeareoqxi
0.2125,0.266,-331,cat,tircupwqxn,-0.0015,936
-0.252,247,194,-0.227,cAT,tkvvtfhiqw,796
ysymmljdrr,-948,xpdkqobwzm,CaT,-104,cAt,649
doG,yytvejfzis,lkoxhzjgkn,CAt,-0.242,-187,meekrnsboc
ikehbyngsg,-634,-612,caT,0.072,-841,-939
0.2535,fyjtyvmwjn,0.2295,cpomwitvfd,ridtdyfgty,-621,-479
-0.3165,ijsrfauelu,0.4855,ffhyvrbasq,cat,dOG,518
