qpchfyuvsx,ndqchnkosy,htenorshgm,xbcvtvelnm
0.26,ymjuocfccq,mfqqwssgjg,0.332
dog,180,-84,sfospikfoh
595,scoaqcquye,Cat,hojyzaazgv
0.145,-768,doG,-0.0495
djsvyyirus,0.3325,664,-0.4095
119,caT,caT,80
-874,0.24,-0.036,Dog
522,-202,zuyfxkswsc,-0.2195
dkndfjoqsu,cat,-0.37,cat
-0.3745,jqvcxkwywd,-96,doG
ilxvsqyvxs,hnnmoolxiy,ndpqzdsbix,sulcazhmcr
0.3495,Dog,0.4135,0.1065
yafhucjozz,0.2935,-0.294,-968
0.351,0.326,-0.101,DOG
-0.4195,eeoysspvbo,CAT,-513
-730,-0.1905,dog,94
dapwupssmb,-0.286,-0.346,0.329
-831,sqoxtckjvz,-433,947
-0.255,CaT,caT,-0.4175
ktdecvbjht,-615,cAt,0.257
0.224,-0.1495,lqufvpbpij,CAT
rxgzkrbnce,778,zdpoqjpovd,791
qnmdiuwcfw,-680,-716,616
dvxkwmcrnh,fjfdxzolay,-495,-0.1655
573,CAT,0.367,471
590,-848,CAT,-0.2495
Dog,ovryfbqtnh,-777,-0.387
0.22,Cat,-0.1965,0.043
ffipbnzvwk,-0.4195,0.454,0.182
auhtxhmkyd,rymyqaseqf,0.4825,-174
-400,eubrzkjsdi,DOg,dog
399,636,dnboanmxdw,0.117
-0.139,0.397,hgbfpjkaxr,317
DOG,hvixfxkrdt,-5,htcwaypgsz
snesqbobwl,plxflvkiom,340,doG
DoG,-740,ijczarvfey,dog
pviavxiqwn,206,zdktiucsjm,rsmqmspzku
-146,-862,0.166,0.3595
598,kwptfsfezx,aaqfvckemn,0.112
cAt,559,xneaoudzwd,clsgbtgfku
qppdrjrmgx,vsjqtvtwqm,0.013,-602
-473,-0.321,0.4195,swyjydhusl
mvniydlcse,0.3205,0.2865,-558
ymgnrfiqai,uubmxyquly,DoG,-0.044
