pEt,xvbiqwkepb,frrnrcajsb,wudhdzknot,bnrrojyzdw,issezghyyt
DoG,-770,-0.0685,-0.003,631,0.4585
Dog,0.195,-854,dkenezptlg,-0.1205,-577
CaT,-331,arpcchjqji,-0.045,-724,-727
CAt,odfogctyim,805,CAt,DOG,-0.342
-358,-308,vonbdznvfm,937,443,-0.4165
cat,-0.3275,kmjcwdvuuq,iswcxijpum,lylkvfebvq,onmherbmjm
285,277,0.2185,dOG,-0.1205,-0.1475
zgembertuj,-0.362,kjhgickfoi,-0.4545,0.09,0.309
CAT,-946,-0.0815,gxlgwllaro,-887,-0.454
dOG,yahdbvkhdi,0.372,cxpeymnltj,629,-0.066
doG,0.0855,-62,doakpfspkp,-0.4625,577
-482,xzwyxqlotj,hfjyfplwxr,btbquzcdnn,xprqvqarzw,-246
DOg,-0.4065,0.158,0.152,609,uqqoensepk
cat,448,-0.426,0.1335,-0.059,dog
DoG,908,-676,cat,qgsuaoqisg,-880
DoG,cAT,uqgjvdoqzc,qxvtrpswit,-0.089,0.452
cat,-0.4755,-0.249,oqsmuqgmfj,135,-409
0.1215,-0.254,pzkgtgkjwg,dOG,-0.136,-0.2435
-0.051,211,-501,-636,ckxkybwqpt,-217
222,ssowsbcupz,-776,-0.187,-270,mmyrbfjalh
dOG,-60,jcgxcqaugp,jzmpyndliq,lkvicmdoir,gxwgpqavzy
-831,795,DOg,-893,-517,-0.0275
CAT,gwnoxwzrst,-0.4165,uqpixliluu,-0.321,-0.0385
hgwpxiewir,973,-250,0.1035,-0.0935,0.3305
dOG,Cat,0.039,0.326,-869,hchssridqb
-654,vctsxleyms,222,-0.041,882,0.4185
doG,cAT,-0.262,ofzquaasfo,36,uwcnicpabj
cat,rzxithkzpz,0.494,-605,xzhtsbckwh,-518
Dog,hfvhrjwoji,-0.338,mmnxfrhsev,-0.3105,ufqctudayo
pvopcnjoxe,otluhyqbpi,dOG,-0.0845,0.344,-0.185
cAT,DoG,jsxyowxerl,0.0435,-263,kmcgdavxna
caT,cAt,277,mmciqdxafu,-548,nikbjomhoj
doG,CAt,doG,-0.3155,DOg,niqomvdggf
dOG,xenetvwpfl,CAt,qsxvnkmkuv,zykjnawfdb,-0.164
dog,-0.2555,0.0485,-720,ovjuluhbbf,782
doG,CaT,hukiblkncb,732,lzfxobdutt,401
CAT,-0.241,niseyddvww,uihwqoinei,DoG,-141
CaT,843,CAt,27,-0.0735,78
-0.1395,-0.013,wgrwgpvnjd,146,pqgyqciyhi,0.119
cAT,-336,0.0715,dog,0.4505,bpdrxizmao
164,0.1345,caT,mzmnmoaxih,0.096,-905
dOg,-0.3855,-615,0.05,cAT,CAT
CaT,-0.063,-842,htpgzzbmhl,-0.0435,bxxfawlvsf
DOg,468,0.463,-678,-0.0635,0.4755
DoG,CAT,15,544,-886,DOg
Cat,hvgyviqjjt,105,571,ujylndcpnf,952
dOG,-85,205,-0.158,ryidhgmvuf,acppbuulzw
CAT,cAT,dhezlcyebs,hknmelbpve,-0.098,dOG
-0.3655,686,dOg,-777,CAt,dOg
-0.497,-551,bwykiawjeb,hypjfqmiqn,0.1285,Cat
-649,mwovvdulbn,0.0735,424,qimsvlxkwy,964
CAt,caT,0.188,-0.49,Dog,284
DOG,fnyphjwndh,DOG,nqsclfebjt,DOg,-971
CAT,DOG,irwtbnirrb,531,-144,baynbpntbc
Cat,-269,zgvisafqad,dOg,CAT,dOG
caT,utljqlkcal,-0.3475,jqqyvzwtol,-0.1315,qcazcsxjpo
cat,givcbujcmj,yocuozcfts,aybbgohikn,-0.0345,bncdqtfkxc
DOG,600,Cat,-687,-0.298,-0.325
cat,dOg,0.098,dog,-0.238,0.0045
dOg,oyqncxopae,-0.3775,-0.358,CAT,jgivqbvvbe
twdvdfrkwy,-0.446,tltqjgbvwd,0.275,vapjvwuilk,dodurosjwq
Cat,-278,-0.3115,cAt,-0.2545,qmxxuhxqrg
caT,xuvneruasr,dOg,Dog,DOg,876
DoG,srnxpzddhb,abefvmyqks,466,knibqahvon,-0.317
0.2795,vbdlnrmjfy,CaT,-0.2365,804,963
CAT,nygryeluqq,vgigngxzrc,-129,470,cAT
Cat,DOg,-288,CaT,474,313
Cat,640,lrpgpgixxe,23,-0.27,-0.234
Dog,mxjkzrlkym,rxztscsljp,0.4405,849,dog
-0.309,0.418,-959,ztbtvkdvrv,fwuwqbxttu,-379
