wkfsuwcmzg,entwubvyis,vmhbyzniqn,ekjvkwktae,uopaupiczr,PeT
dog,0.396,-0.0615,750,-0.018,DOg
428,-0.226,668,-0.204,DoG,-598
-0.386,711,nifkrwkmwg,-0.4745,225,caT
-0.1715,qvtkpozzag,urdhjxzdti,237,-0.4375,651
-953,CaT,0.216,Dog,247,cAT
0.4435,-0.1555,cat,0.3335,dlomzgumfb,DOG
944,0.1775,-536,433,mnbhzrtyaz,cAT
758,0.074,0.132,-152,hdxdpvvimh,dog
944,gininzaudq,516,bvxehjvefj,tdcdlzzzed,dOG
tabpnjuepz,210,830,720,cat,Dog
-0.1145,0.475,wpdrmgjuqp,Cat,-0.139,dzfcruxihe
qbixftxhko,Cat,-0.3315,-959,84,dog
443,tqhlziyvqm,gsqtuitbfk,-0.019,-489,doG
-738,0.443,0.2835,-0.495,hwiezrlxpo,Dog
jxxeueuqne,-377,0.029,403,0.169,dOg
cAt,0.22,laktlikvsx,185,-871,dOG
-173,irjgbhhpoo,Dog,946,dog,-513
-359,DoG,ipkxrwtttx,gqcjjrwhnj,DOg,doG
dOg,mndnficesu,868,0.339,-0.2385,cAt
-0.373,612,-0.3465,-0.166,-0.0365,0.187
-985,DoG,pdpdrplums,CaT,-0.263,CAT
zopdftidtx,0.0745,Cat,Dog,-0.244,DOg
doG,99,0.3425,mynvnhgqzr,0.375,mpzpwmykcr
jsiiawwndw,-91,574,scdcjscldk,izqsavkkbh,0.37
DOG,-0.068,114,-0.461,dOG,cAt
mtsimhjmyk,CaT,gtjkuyiibj,148,-0.072,-0.0035
xfnnaesedb,dOG,490,dOg,-0.3115,DoG
oolhigymqd,696,gmdeyqmisp,qsyqrjrfwj,101,Cat
46,-0.326,wpcsdqcgwa,-0.0335,0.0155,-0.06
0.1895,0.298,-289,0.1925,0.331,119
DOG,-975,-0.378,-712,-880,Dog
835,pavdmhmcwj,caT,-829,DoG,gbnasksdkv
-398,943,-0.2205,-36,-0.4275,dog
452,CaT,vjjfzibcvr,dOg,vuhbfsdymo,dOG
0.4155,-0.2965,-671,-472,lwcukywrel,nvklclvrob
cAt,0.324,tvngmnncha,-556,CAt,caT
eauawbuybb,-0.412,DoG,807,-454,cAT
-852,ksnmxvlsfb,Dog,drqhlujvcs,uroqigubha,DOG
129,ptqvypexiy,qswqnuiokm,-339,aqomjwsliv,cAt
-276,0.0445,DOG,-641,-431,caT
dog,-871,-0.399,195,CAT,Cat
584,iktgrfpbxu,251,lzlzontogx,-479,caT
doG,Cat,-808,DoG,-0.0885,DOG
0.057,-0.467,0.0665,idwassuclh,zejyuwbjek,znxejipxyw
dog,-0.0755,-426,41,CAt,lrehpukotn
0.385,ajphopbgmx,-273,cat,fbnxosbspz,dOG
0.468,CAt,dOG,85,-0.1055,DoG
dOG,dOg,0.454,712,CaT,cuvmfbljnn
vjtvcpzaqe,0.349,0.172,dOg,173,0.0385
