igncvlqwqv,eohgplvthr,shcvadwhzo,PEt,bmdhnxpqle
-223,cAT,23,dOg,408
doG,-858,cAt,dOG,qujfiwfmpm
vbsbrhndfo,xyezqylfuo,0.0935,cat,715
-154,-917,prpkokghnm,CaT,0.4365
cat,-0.3505,-0.256,nimerrmppc,-661
qlxvomzoqe,0.006,262,DoG,-306
29,-0.201,qacncidcuh,cAt,-0.1735
spyvqrgtpq,-49,-860,caT,fgfevbmpxv
fziieezddm,vsczbroxyj,deckizytyv,doG,ttahophpmd
-0.3295,dog,-0.324,200,0.4965
0.3365,DoG,0.4065,dOg,-813
qwslvjwlfg,DOg,-0.116,Cat,0.374
-116,-298,-0.383,flmjcgljyw,stzolfotvz
-627,turysiqjmg,-450,ovaagvklbh,0.078
-752,382,-0.4835,dOg,cAt
CAT,-117,0.416,dOG,vornxxupjb
Dog,445,cnvpytbyis,192,-225
-650,0.005,DoG,cAT,-0.1325
nbxerzspta,-0.329,yxlclkjiek,topgcyknas,0.3015
vqctzhjhoo,xkdiifbgpn,-0.427,0.4525,pdtixlxayp
-0.1185,jkshtmbikv,dOg,-0.1095,cqkojjegxq
