jfjrmjzcct,PEt,wpzmqoenlq,jmljpendwc,gdnnqjlxaw,ssszdsxeut
CAT,dOg,-0.031,0.218,-0.48,yijbiatkvo
uqohworbqe,cAt,taabvwqoxe,-0.051,86,-736
udjxkdpzoa,dgfnpgsfuh,0.0325,cat,519,-0.271
cAt,0.282,sdjqgqlvqd,-0.169,jwocuqpxsr,dog
caT,ocpnnolknd,xeerxazwmq,970,gjoprpbfus,dOG
760,dog,768,lvliufkrvq,CaT,xvjnhqjetd
660,DOG,jyxppxpdfb,svpwwouosz,ztcbcfkbso,DoG
hgctecxbqu,dOG,gsagrxdtme,cdmgckvtya,kkjspzzyvz,866
DoG,dog,710,-149,0.1385,0.4375
514,DOg,5,0.4555,CAt,0.219
cat,308,bggzqfysmo,0.3535,cAT,-0.007
0.309,652,-594,-908,gkydqupldy,CaT
dOg,cAT,-0.209,Cat,352,csozhyzgfg
587,DOg,0.1975,DOg,0.422,0.3785
-537,ibeeqbwmdu,0.1825,syqpodavjd,dOg,-0.487
yetbfopbjc,dOG,dOG,dOG,-661,DOg
-624,Cat,-813,0.1065,eofzoykiff,189
cAT,CaT,-787,qgtlchysca,xszdsjmhti,-0.01
-0.001,Dog,adxfgnhkiq,DOG,dvblymwshx,dyedepgspb
ubneyjsyyh,zpmfgdgyyo,237,zslhjhnrqn,0.3865,0.456
-0.0505,csdzdlxlyb,tzrjdwjtzn,-256,0.2865,CAt
-583,cAt,-0.1585,doG,DoG,-0.359
uemvrdrqil,0.1,envcnvqrgo,dOG,dOG,-0.3885
-0.436,DOg,0.1065,qzmjqyhofb,dog,-1000
sxvfygmttv,229,cat,-0.238,-0.492,-0.039
-192,doG,0.301,-0.1745,wzjfxouclh,DoG
34,dog,xyuxlicask,caT,-0.396,-0.155
mqahjuknxq,DOg,-0.4625,ceejkqyxtw,maokgxvaer,jvukebndlh
towqllwsln,dog,ujndakbkza,chdbgbaauh,0.3545,rxxcbebequ
zbrsbdqtfs,dOg,281,-0.276,-0.4775,sltgynaxdv
-163,cAT,dOg,ffqcvllvaj,45,956
0.482,CaT,0.315,0.1305,-116,529
399,DoG,816,0.4865,0.2825,DOg
doG,dOg,-515,575,Dog,czlmfmlrrd
-0.379,CAT,-0.176,-397,-96,dog
0.429,dOg,-0.3615,cozvyjrsno,839,fdrtxbzedh
bogowkevqp,CAt,-695,-0.101,-0.061,cat
yqydhztkfl,caT,cdnummzkrs,DOG,cctbnqoxne,402
-0.2105,0.043,utuzfhvgik,szldougrwl,CAT,-0.1435
dog,cat,-176,-0.0435,-0.148,pzczsctnol
cmmauefjho,CAt,-396,0.406,-0.288,-592
0.086,caT,727,0.2075,-478,-417
vwfodchccx,DOG,0.4655,-0.0175,0.101,790
-249,-151,-0.087,719,-0.1715,doG
Dog,doG,-922,0.0865,rrdjmzhaqu,-0.1555
119,dOG,806,371,qyrxiwparn,Cat
-971,oejvacwrbu,-0.432,lopxuwyclp,-0.465,-232
517,CAT,kmmgfaemgg,-853,-0.2635,0.247
439,vswdyiletp,apwftqbres,0.425,892,bwgzvljqse
dog,doG,fddqqlqqrc,pnxwbkxvpq,0.0665,vwllqbrknu
843,DOG,-117,memlukruyp,-0.2225,ldfiofhjqj
-0.1385,CAt,zipzrrgbny,0.0345,-0.332,-0.0145
639,dOg,dnqbhdapwt,0.383,-682,-0.084
CAt,DoG,0.0715,cat,0.466,-522
-15,cqejpplsfe,-56,173,0.2155,396
qcjjopwjsj,DoG,0.487,-874,-0.1835,iebysnrnol
-657,Dog,-0.473,-376,68,uuiqeebijm
487,caT,-0.317,livtnyibtx,ceyxxsdbef,-182
0.403,Dog,dOg,gydixgqjbi,-21,832
0.178,CAt,0.441,0.1245,857,0.4965
rupwkbpmra,dog,awdckvqkfl,511,0.0275,fkrsxiipcl
cAt,dog,aypejtqvvb,ytojrsorin,yqvmlgpcqd,0.31
-0.1485,cAT,vpsqyiorcl,-304,-516,281
lndenwqpuf,cat,-558,wynedkhwvf,upsdekgvbe,908
