uciwukkwjd,dqsvvrmflp,dalrkbxczh
-0.092,814,147
cat,DOG,vbwmqdgwaq
dOg,dog,uognfzrjeh
-440,-0.428,jfcbcwipfk
59,-702,CAT
-379,itxtonfbaa,-946
-112,720,0.0995
0.2345,-529,caT
-0.338,edcmcfhhfc,-0.3555
469,Dog,sydwakagyv
cat,811,0.1805
-0.226,225,fzchewgskc
-600,-0.375,0.157
thpckugzhm,0.2355,-185
dOG,vfxdmqncwc,mjndkcrepi
xlmlgowfvx,-0.1785,-0.3985
ttvirsmcyb,0.0495,pxgixbxytv
-709,924,-0.098
cAT,vmvaxbzijh,ywandihzum
566,CaT,0.2915
417,dOG,CAT
480,cAt,ztibkfflkz
-0.3255,284,CAT
-0.136,duvappkwgg,dog
DoG,0.3835,CAt
224,jnytzuqsmp,aifbdkbwdx
dog,zdrjtkxjjy,-505
DOg,dOG,feoraeynhh
mucykmgoje,raremmctbk,0.363
-430,cAT,336
leqxqfgkvb,-733,779
-667,0.3805,CAT
-811,peqipvytxx,33
-309,-0.2835,CAt
561,943,-421
238,qiouzpsake,0.296
tbbcweowkx,-510,106
-0.297,gainmfykxd,DOg
DOG,DOg,erihxjrnjc
-914,0.3465,-0.2115
930,335,0.054
-475,0.2705,xqvpearyvm
844,vrpenvfies,ijvwswoqkx
-458,gjffvqszte,cAT
0.0395,162,-508
-954,-0.334,cnhropowvy
wcgzedurnj,264,dlngwxazhq
-0.3425,-580,753
-360,iejzwfcvtd,-0.033
-0.2,648,cAt
-0.327,-0.384,DOG
-0.476,mpbxsyclpx,Cat
oauxtyfucc,vesdltetmz,-0.2595
qddwmcbjac,607,xjvtwedrzi
-612,0.002,-563
ejmlkqnvkt,-0.284,55
0.3405,-0.2595,0.2215
cAt,344,Cat
-0.2455,ejmvdlkkcu,hmisfgqnoh
-96,gpfmaknszv,0.4725
DoG,0.4575,-926
doG,xtfsmwdllk,mjffcgzvei
cat,263,nsscgeuhmy
891,-0.36,npwbbtbfgt
848,vzlvevmadn,DOg
0.1965,caT,353
0.267,dkqfjetykv,uglgrmovrl
Cat,ewuowwcmfe,irajvbptfs
bdpefigtzm,-631,-467
-0.398,cAt,-729
caT,qpeermovkc,243
842,0.4895,gdcxfwzfua
-0.421,0.1595,468
cAt,DOg,zpsbbnjgor
0.0085,DOg,0.0555
849,risqprmisv,vxfnoevogb
pnjopgttnm,DoG,dOG
0.2905,vijcrsdhsm,560
cat,cat,-464
-0.434,agrbjcbpek,78
-0.428,437,qnaejzsfqb
-0.1405,Dog,-0.1485
0.201,hoowkxobwm,0.0675
-0.263,-0.328,0.4225
-863,-376,Dog
