eugwofooeg,mjkjnhwgcs,qhmjccpmxd
-453,524,kfluucbqar
nsegvlrkrj,-0.295,-0.2215
712,-654,317
jvqeizihwt,owxgaryvau,738
CaT,926,0.168
-844,cAt,716
0.0255,kjazxyilua,pdzbbivikn
-598,cAT,zjieowwrtk
0.333,doG,CaT
ncamhatwsf,zbzuffwpcd,pkycjvsujo
0.3515,-0.452,dOG
DOG,0.322,-0.3565
pddnozmrvu,igqvoyrwog,srextnrjmn
byccnvdcqz,mwynewxryj,-191
-0.462,doG,-9
-0.4775,CAt,723
-202,568,tuymwfjmpf
0.201,jhkzqdvbzi,Cat
914,txoqvpterp,qepcyvhalk
0.2145,0.477,cAt
CAt,-0.2595,DOG
faedslmcbu,mhrtmlmuxp,Dog
0.109,DOG,-0.0105
Cat,tthnetoreq,Dog
dog,jmidikcnov,959
CaT,-0.1575,-0.219
0.0565,-0.4265,brgkjhqdca
708,-0.446,316
-0.2135,0.216,dOG
-421,tbhhuljcvd,-776
rnrblkmxus,0.4855,-213
132,207,ecgngteawr
uqtvugsffc,cAT,0.062
452,dog,-229
doG,0.392,Cat
-0.1115,507,-807
-538,-0.3115,tmiltzeirn
kbddzwklsr,-0.2685,-592
prpbdwoxpo,tbyltcgous,cwzwfbbuji
-156,qshsaraodj,387
yqofqiqdxo,CaT,545
0.387,518,35
DOG,874,0.3625
mzmlzvuxtj,vjvcmmzgew,3
230,ppkcccxdac,0.2485
CAT,jsocznkcbz,-0.037
797,364,0.2775
-288,523,0.018
0.1,981,Cat
-0.335,-789,-6
135,77,514
-0.2825,-0.084,-151
dog,cAt,htpcxvcehu
-0.3375,pcnsqadezr,0.3835
dOg,116,DoG
-0.084,-802,-590
rsfwgjujed,-177,atvxdgtusb
tqbyzhaxwo,0.0415,21
igavisvgnz,-0.1865,-0.35
imqfaadgcx,pwskzllxmw,-577
-839,0.454,-796
lpcgbpqkea,DOg,253
-0.4395,kpnakqtwuj,0.0325
spmatelnxx,0.201,DOg
0.253,0.05,-0.259
cgeuovownu,-23,bzartzegth
