nrcyjsqpyi,oivrwqwuix,kmltjvgiuo,iilfyxcuwu,rhlrzdynyq,mnfuvyejtx,bacjjaecnt
0.003,cbyfflthpa,-856,zfmxitghds,DOG,srdfmucive,caT
dOG,-805,vujjlftjsz,anbvkhwvkb,bflpbfdfdl,-0.3465,CAT
dOG,caT,-0.4425,176,0.2875,656,401
-0.0485,-815,ornqnjwsdn,56,0.3215,-0.4795,0.341
hwedxeaoko,-162,akddmiigsz,668,-0.2655,974,0.2665
DOg,0.3725,sxwdlxbkek,ypmsokqbcy,344,0.053,-983
-81,jnfotupkpn,xgbtvoubah,254,300,-495,836
631,852,0.4675,-0.2105,-0.187,-870,-645
0.0785,-781,-740,511,pyvqpanuym,cat,opsqapsruq
doevgfxsnl,Dog,DoG,-0.3665,caT,0.1575,agkwytdpmv
vqqzmymuar,-393,-954,0.0895,CAt,Dog,cmdehktxki
lwunjztquj,-0.0735,-0.3915,0.063,0.3495,-243,536
tcqnaveciu,kyefwpltat,waeebdmmvy,682,-908,-0.0045,-91
-0.4715,jxiyftjcds,DOg,tojkbyiirt,hesuxqagtd,DoG,-0.306
602,931,131,hwbhzwiykk,314,-0.0405,-746
djrooyyqhg,nxubstocnm,jnsvlltnap,940,cdopnafggg,852,-940
dOG,rzmoxfajkp,mcgjklsosn,0.372,844,682,ccpxrxjfbi
0.29,-383,-0.3145,-0.0185,903,-0.233,bqsdoasqvn
493,244,0.015,-562,-0.2455,-0.2235,-871
cogtejcjoi,dhkcgrfkbw,0.112,jmtwbkdjbc,690,-0.4145,915
313,-0.385,0.468,0.3045,-0.496,xrstvpoadl,-402
dziudsmqjb,760,0.489,0.1555,doG,dgahjeckdv,814
-369,-959,141,ijpfmlsjxb,500,ejsqndevjl,DOG
484,-0.4765,dOG,385,vsxnqncaod,190,elocubibgv
dOg,-75,dOg,0.047,-0.17,CAT,433
kxzhubbrlp,-0.4845,cAT,-640,-0.2145,fjocfbffmb,935
810,zwfdpubmxh,-314,0.053,0.2785,-0.0745,fwuaggtzln
655,-0.2205,0.28,Cat,bzqcjjfzec,63,DoG
CaT,-215,CaT,nthgbhyfec,-0.046,-0.086,273
540,0.0725,0.136,DOG,adphyjzwof,CaT,-0.058
-0.288,0.3995,40,-197,rxoaligzsr,DoG,dOg
Cat,-329,lbabrwwlgh,glaibgbpck,0.4075,491,mjmsxomzhj
0.181,ehbuxzpffo,648,831,jwpbgdcowd,cAT,thglhetnwe
0.353,-0.021,CAT,0.2905,-0.3075,ptgwbhyuqm,325
-556,0.2975,ftbeecmvlu,0.0325,-0.1745,-0.0515,297
ptawvzkwdp,0.463,Dog,DOg,428,ihzebsgsim,DOg
fujcpntkjf,-0.1445,-685,dOG,-0.2555,-876,cAt
dOg,0.4125,ujoqjedgvb,Cat,doG,cryqyfhrao,-315
0.128,-278,-181,804,-0.1295,uwlgbqcfji,0.468
137,cAt,-0.197,doG,lrhdnxifyy,cAT,0.2155
idwatwvfcr,-604,502,0.1555,oplizobcob,DoG,-745
ecgpegxpiy,-0.451,DOg,0.3915,0.3,137,caT
cat,-0.2695,caT,-0.492,aghkbethvw,rcygdfrcmt,-795
dOG,nwvebnvabe,keslbubhmr,605,-0.3695,Cat,fadpzwjyyz
joxhqybwkx,tcfhrrkvbe,434,cAt,0.1375,0.4175,DOg
803,-0.034,jwsdnbkqay,tkqfuqaqgi,735,0.4415,903
-0.0105,-0.003,CAT,-0.3,-44,dmbkifoxbp,-0.1205
dOg,-296,-0.287,151,-474,522,-654
yeoacmxvdx,qpioyaioab,cyhesoqlbi,cmcxolnocj,qcagfapmov,ovqbxjpqny,unyytusolp
dOg,cAt,jwehpkpruz,dog,486,738,-266
0.2465,-0.093,437,Dog,ouvoocbabk,sgmgngtcfl,0.471
CAt,0.355,0.3305,Dog,-324,-0.16,146
lwlilbjtba,jjpfzreyct,DOG,okzbythouy,dog,-0.043,ikvxgfrhyc
0.393,0.375,-889,neykkjhxtx,-445,tfvwhtzdno,-32
-805,fpuqjblvlo,-0.243,360,uyqzpxpjcv,-0.193,0.0125
rfobmdxfnu,gpvheqcyax,jhtwdfqbht,898,0.269,nlgubwaazn,0.2965
cAt,726,45,452,cat,72,pxyvwgvsqu
teasbaocpt,-0.016,0.0175,rgwflmnrmu,-0.412,0.1875,Cat
caT,kkmxzagqxk,bknadlshhr,100,-807,382,vogeprzarh
dOG,zunfapywmj,-829,837,194,165,-0.1605
782,fauwuqpend,-0.375,-0.375,-0.2505,830,caT
-0.378,CAt,545,0.419,CAt,0.378,750
cAt,-0.1075,-0.3755,-0.01,-0.266,lzxurcsewt,rvywwsuexi
0.362,0.0355,caT,amiwzfevhn,-0.372,-0.416,-480
spkxevlcok,762,bgdyivntek,0.398,-0.202,-0.1465,ohastnxzqr
CAt,-0.3,-500,739,-805,497,dog
uxytfgkbpz,dOG,0.3355,253,-0.208,-385,ijfcytyfow
xaavlxavsd,-859,71,kluobymuar,572,DOG,-0.22
ynfwfyhlur,-0.3595,cat,DOG,xgzbobvhdk,qvmpmputkk,Dog
bnoqokpqyo,CAt,-0.008,0.449,cAt,-0.334,-549
dOG,gqszwlgbac,vgvrhgiukj,ggwasmoffo,vitkloshim,-647,-16
CAT,-0.166,323,safgyrnump,rthuejqijr,Dog,CAT
0.112,186,0.4605,0.4785,2,-20,-0.119
637,-205,-0.483,0.4,iymrfjrwoa,cwixgjuiqm,0.447
zdflidxuds,btlvtdioji,doG,tkhapatoxd,159,482,vugujhmczn
josalyoilm,doG,385,255,0.409,btxwffrrwy,-382
355,446,hjlmskyouv,310,0.4345,cat,abbjenqwdv
-0.2225,-0.0515,emibjccjnm,fzsmdxppym,212,cat,mzfqqssgyp
-0.1965,67,-0.1765,-0.4425,833,-0.079,679
-0.336,-0.1475,520,-0.198,viiqrskcex,-295,321
0.264,Cat,208,0.4415,0.429,ilquugprjp,wakaytftvm
903,bmestcquge,-0.364,216,-0.348,0.004,zzfrmicjzd
-0.0755,0.033,0.288,0.3335,-0.241,CaT,-25
CAT,-445,cieddbsjrx,amrnlscngk,Cat,577,-817
-637,dOg,doG,CAt,lttxfokxfv,eiozzyedfd,-0.474
-0.4855,-0.003,-490,ffschryesn,-0.245,CAt,hzwbrjesjl
