necbyklnxg,pnkxvmfcly,ixutktisxp,ofjmizbjhx,xvdssbqeop,dpdwntrpcm,sobpyqjsvk
0.329,newxyouynz,0.4335,jfmxgtsrsq,-0.4745,iunuhqffsw,489
okfivutonr,-0.0635,0.009,DOg,-810,dswvnozthf,133
eewpgurotf,0.274,cAt,-642,dOg,zjdiuenyoj,-0.472
-913,tuughffmyw,icunrpbuxg,qhyxtzxfvc,cAT,-0.1915,-153
CAt,cAT,nbmeertnog,yzpghuczee,xtvumfcczg,-843,CAT
0.487,0.085,-0.209,438,-0.31,-0.328,373
-0.3515,talvyhoftq,xnhsjuyabi,-279,940,-0.1355,wgpekuwazx
hjkxldlhas,-0.257,290,-372,cfeotogqmo,-737,caT
mnygncuhsf,-0.4525,btqaxbplxb,-732,0.0285,qrolxzbekv,0.3885
0.3625,-238,-0.196,vzltccsatp,-273,gzlstwvkzi,75
ezrcjfgone,cat,630,xybrermrgj,clggvedmsw,252,-0.2225
Cat,-312,dOg,546,967,0.2875,0.1215
-561,547,-625,dog,-0.2835,0.0255,dog
0.2485,fzjntdfjyz,846,-826,ernyuonqfb,dOg,0.46
hojifbcnhf,caT,-822,-0.4445,-368,-0.464,0.238
dog,-644,dOg,DoG,rpqpbsyxlx,-773,0.5
DOg,megqrzbydw,-0.113,ykyadiizmd,nihrptgnts,-443,274
105,CAt,99,-264,-982,pgjjipmsep,ialzkrernh
0.3725,yulpaodmbl,0.476,587,-0.4355,peglapnlif,misvelkqin
DOg,-0.3735,-53,-0.3385,caT,616,-0.328
dOG,hforvqxike,dog,whufbdmgdw,hiwwknjjtf,-0.392,sxypdeunsv
892,-0.482,981,0.4245,697,0.1715,dog
gicetnxdgv,922,DOg,axetgabrkf,0.1875,cAT,0.0215
CAT,791,-0.491,txxmwuwnln,Dog,DOG,-321
509,-0.444,-0.267,-185,215,caT,jzesuiayth
DOg,501,-384,-0.4315,0.122,cat,-0.2715
-427,-524,DoG,-0.009,CAT,smeauymqic,txnxdfnkdt
ekdblduhrc,0.286,0.487,grhptngxkg,-711,cat,ielxmfrdiz
Dog,79,vlntqokvhq,DoG,-367,0.3535,dog
jbbkjwgxjo,hnhjbhwhyh,-0.008,axgjyxbabg,sceubxwufd,0.149,jrdjfnylss
-0.2545,-0.0325,-0.342,0.449,0.2645,194,-0.496
zpacqzxxwu,CaT,559,CAT,0.264,ntmtugyihv,0.021
947,yhknxrdiiy,kihszdorih,-62,586,653,hjnqkccxie
ozduyavymz,DOG,-0.408,-631,-0.3445,-332,-0.377
wolmebqpbz,0.471,xlgdawpyrg,-0.374,0.32,Cat,968
-702,fpubgfzqto,-0.274,nstcnlgrar,889,qygfbcbfdc,ugtjzqrhcc
-458,gttetfwfud,-779,ypwqqgybwd,-0.377,0.1935,cat
kuvxclqwqv,uewphsnbti,zbqybxxptl,uqxjeieqhb,267,-589,wbygzyyghu
-988,cjxfnkrhgk,953,CAT,0.216,kkseyefcke,586
0.299,tvheryhnvy,CaT,cksyiakkjy,cAT,-0.0075,twkmjykskf
0.105,-0.1125,-744,-0.323,ccwggqtmup,71,hfennuccgr
cAt,-0.23,dOG,bygovyqvpq,emahlfbmhz,0.1675,doG
hqhvvxickn,539,leezzphdqw,-0.2835,0.014,-0.4315,DOG
xdxxntiayv,0.23,-0.22,-0.011,llpiylwwsr,ooaegmwrfr,etxtbdtzsa
xeneimfktu,-160,0.1345,-599,0.2,zoauojzahs,-175
nbyvesfxxd,tslvshosmp,-951,wmrlofrzcs,-556,633,-637
crhmqfwlym,dltvpfjotx,563,gduqwwvsuf,obzjgffrdw,551,cat
dOg,0.2165,-331,89,-414,856,-0.4185
-0.3915,eucbrsvgny,0.1295,-690,dOG,DOG,fqqkzirgum
853,-174,-43,260,jlfsqnhcsi,dog,fgremmfltq
-0.384,cAT,0.037,0.263,qzfgxmdccm,331,CAt
