kcrfhobdig,kofnuowsoz,PET
0.4155,821,cat
665,241,0.2105
pibywifzec,oevybvryki,DOg
-691,zfudcdgkgj,CAt
0.4455,-0.034,doG
0.4015,npnkiuvgmy,cat
obfhcxusrv,-325,-0.278
CAt,fuoulayzkq,cat
-766,DOg,983
gliectylfm,0.3895,0.1955
-0.4125,0.3205,0.3445
0.179,tmwlegprlq,CAT
0.2295,izjrdbklwv,Cat
tyfbzylbud,-0.4225,697
hbiuobcszp,ssfslvuprt,CAt
980,-0.239,dOG
CAt,0.262,CAT
llwtakvrkl,dOg,dOG
oewijtaxjd,487,Cat
-0.1745,harijvclqs,DOg
-938,532,-0.002
dozvwkaboy,-562,-677
-443,446,Dog
caT,-698,dOg
0.474,CaT,kxvcssmmzy
-0.114,zhuoykkige,doG
0.2635,-0.033,dOG
0.1255,-0.2335,-422
0.2365,hilrqykosf,DOg
-382,-0.429,cAT
-0.0385,-295,caT
0.3365,ubshphfdor,caT
jczfklfexw,obuweoarbj,hwuwqdgsrj
Cat,-374,pwujbsmkyv
afhobtslib,wmbdxqxriv,cAt
-0.19,CaT,CAT
369,Cat,CAT
0.3015,mqqzeacyyi,doG
dknmtkmyxo,0.3785,CaT
DOg,ncpefwkkbk,47
-0.4285,-0.335,dOg
ickeiahnvv,ngrhzqsylr,CAT
-592,-850,cAT
cAT,-0.0495,dog
0.4035,-0.4745,DOG
943,tqeikfadlw,npdlowsctl
953,drxwvflomg,0.474
0.3785,-799,CAt
518,-0.3815,DOG
egivfqunoe,-501,xkrzmrdepo
xvetnfsfmh,0.0875,265
caT,rwrnnukaxr,dOG
-894,cat,caT
-0.3645,301,dOG
0.318,CaT,DOG
Cat,vpmfvcaosn,Dog
ghrcyqxsuz,DOG,cat
-1,-0.3875,CaT
sgammnmhjw,-0.0495,cat
ttmkkoajes,rrfgsmpaum,-0.3815
873,jprocgksat,cAt
716,caT,Dog
758,ltpdgejhki,Dog
-210,48,CAT
pquffsqaeu,yjmmzaibiv,dOG
zqnnwmlubr,CAt,DOg
DoG,-688,doG
zfzdnamdvk,0.0015,doG
doG,nsagmqenym,DOg
-101,0.2445,caT
lgdqbsmefs,dOG,DOg
60,DOG,osqzftvwnc
birutcofjf,bevrsvhuil,dOG
dog,ahpqdfucuy,Cat
231,DoG,Cat
450,-562,nspmjjoxcd
DOG,657,caT
0.333,0.329,dOg
264,fhexcwnuom,-415
801,497,DOG
784,cAT,cat
-613,sybxzyvfcs,DOg
0.213,dbhttobgbt,-998
-0.1715,-0.4935,CaT
-293,-0.2075,dog
pfdiwigroy,agqkxpsaet,dOg
Cat,nmottofarm,Cat
mgprrtunbn,0.284,rmgdnvgbvy
0.365,-0.297,cAt
979,caT,cat
24,yywfatgdoo,CAT
689,0.124,331
