wzsulrlrtk,rltrclrjbq,dachbgwacq,jkjzavaria,sagigsjmqj,jkzkjesxmx
glsghwrloo,uczhroxdtw,0.0955,-484,-0.4995,0.4805
991,-0.1015,0.1075,0.03,970,doG
-606,zubmgbaaey,0.125,CAT,566,0.472
-863,heyopxxaje,doG,-135,-0.225,cAT
230,592,314,-583,-386,hluzjwthyh
-838,-187,-0.0415,dyvdievuzz,-11,clhftkgksd
-0.29,0.3845,ztugrqfmup,CaT,-0.1965,0.2935
370,gaoaoafowm,-280,dog,xeuhfnwdsh,alszfrfjsy
dOG,-369,dOG,580,0.1525,kndzpfutww
fvzsrgvrqn,656,xoktjxajuz,272,Dog,-741
-0.045,gsymjufsob,-662,-785,-381,DOG
ptaqwlbjvx,CAT,-171,-295,doghsmjaun,jjzozkzqkc
eyriudbgtt,-531,0.2795,260,-0.3855,-917
0.1135,bvfldpavoz,thltthoadb,zolnfvtppr,-443,-861
dOg,aqawgisbjk,axbgwyrzra,jaauwgjhad,0.0865,-0.115
0.116,993,0.008,109,bxxyitwxcy,0.339
DOG,DOG,jdkwbktsho,cAT,esglikmzsc,-0.4825
cAT,CAt,kslxhbemhe,xkqadadzzw,-0.352,-0.0495
-804,-56,okffdkiuvq,-0.436,ztcbjjwhne,355
-495,-0.3145,wwnplslpzt,qrzyxgkbsc,0.099,935
0.4525,uvimahipem,dOg,0.0485,-784,CaT
-0.2345,0.0805,955,siqzfmcljx,-0.241,0.1975
DOg,nmkxrkdzfv,-611,gscitqukfl,264,-0.218
438,0.228,egfergkoov,-0.3655,-0.462,0.199
536,lhglltisqc,xovpbbubhp,wcwqneaxfd,795,0.475
-0.4105,-0.4535,-0.3905,593,-580,CAT
144,619,0.182,-303,caT,0.0085
ccblbkkhxd,0.418,-0.3605,0.2685,sahqmrexqt,0.231
jvcvkzjfcd,-269,dOG,ubbsmtosex,827,caT
cat,cdjwspyxhu,wjlvmzhtpz,-663,ahqmnmuitu,0.464
myezwiebcv,DoG,akgieqrvyh,969,-3,lwpebnqanv
myngehpfyo,-391,jnqdskvzwk,doG,0.483,hgzhqnamne
-408,230,CAT,-0.132,0,187
-0.036,mterexlrrt,642,cAT,jtbeoodazv,-0.2325
aaskuxiuig,-301,0.023,qhuyrzdecg,232,0.384
-740,0.2635,CaT,DOg,-0.2165,ptyxpudqne
edevvbqfzk,wvvmdxwznp,-380,unrftbrorv,-835,-0.406
-416,-0.484,xrrdujyyzm,635,9,ttmsvaoxll
0.438,hybwmtvkxv,-479,0.222,eyiuzsgmni,niyycjbkzl
-37,-0.4025,hsbycueixg,0.2635,-0.065,vlfxwdivly
-214,ifdolrlbhv,Dog,-467,972,0.2525
-145,0.2635,-0.0435,717,doG,ritekhjcxq
968,ptqdaqllgj,-0.465,-817,ngaydqgtnp,hzlcmuqzrl
deckvvdxja,0.4895,-0.1505,dOG,0.347,-480
0.057,hxiqxenxoy,shnxpbrwqp,0.4975,-231,-0.465
dOg,DoG,376,dOg,gjxbzudkpn,-76
-845,fqtbybxyiv,0.256,0.452,mbqivunygg,-0.3755
dOg,0.2635,DoG,0.27,nynjgirwhr,-0.336
-4,yiktfeqynk,986,0.3715,doG,arnnumzgmc
-0.1375,-0.4975,heekcqnxpq,akxfvtsjkq,DoG,0.2565
cpjljhzbsk,-0.129,456,0.0505,-877,nejsoqqjke
-0.4795,DoG,DoG,0.039,0.024,0.142
122,dOg,vnslzyjluf,259,-508,-0.041
-825,0.335,cAT,-869,jvgvhktgyh,0.1035
cAt,0.3545,660,-233,krkvbajdva,dshbjtmamh
doG,imdoostzky,cat,-0.279,evlrxqcchs,998
svcvkmgxwn,-0.0585,vbyiljomky,0.3225,-495,cAt
-886,0.0075,0.348,-212,kysujehbzj,vuaslupuwk
0.053,0.307,-377,CAt,entcmtcvbm,arzdfyplfr
kukkjoaplu,evjegnsxee,Cat,Cat,DOG,416
-0.309,caT,-793,-112,0.0455,uraximzzit
tryeblqpjk,-0.2245,-0.2235,doG,0.0425,kulseegnxk
-438,-713,742,ohvjrhjpte,-0.1695,-0.378
DOg,0.1425,866,cAT,0.1625,vbgjmqtvxb
kkidrgaajc,0.441,0.0185,fkhjdvutwj,tmuybwjlae,-0.1915
DOg,gsjumucgmg,cnziutbyrn,xnryezshoe,-53,oaqmreoazm
