wmawiskwsg,pEt,phemlgfklm,jbgbcwdxci
zvcqeprexz,DOg,-0.331,0.1635
255,dOg,-230,CAt
cdtsdxnqkd,avbjbasojk,-64,clybkngceh
tsuxkvwzia,caT,607,-0.0405
-0.43,caT,0.2015,-0.2225
-475,dOg,-788,ruyhrjevhg
ianhedkyjg,xxbfwlvzxw,gofmylynpo,qrznebusmh
CAT,-0.4305,202,gnkibysiim
tcajjrrukg,doG,zazwzlsobu,ocoqoasvum
0.2225,caT,imygvbkcak,0.2615
-97,Cat,0.0925,CAt
-637,DOg,-0.4065,CaT
-377,cat,wsqzmpyoxi,-701
jtfaaigyqj,caT,CAT,hkxgilvkzz
360,CAT,750,ltuhhkfung
-0.1855,DOg,jwlkuektag,-907
hrrbegvnjd,DoG,jcjssrtbsg,0.1085
xrmpgjxqzv,DOG,ghgyqcibwr,iasmdyzolg
dOg,323,930,DoG
cAt,dOG,725,cebzbwiebl
-0.267,caT,cAt,-0.0715
dog,CAt,yippjrdmev,ynovtfalpk
CaT,iqzkletxxb,DOg,-359
kwtyylpmhd,-0.0085,dog,0.4995
-60,caT,DoG,ztwxwmlsxd
-0.177,531,caT,-0.473
-133,CAT,0.2755,lzjdrkbxnc
-248,doG,-0.3685,cAT
-0.1325,cAT,dOg,0.262
ofybzakjzq,hcxpngsaqo,-151,-797
-917,Dog,0.167,dtlemneaas
0.4825,dOg,356,dozfvxvtmz
72,0.1055,Dog,kgnpujeipd
388,DoG,bflnolphaq,-0.0175
981,Cat,-265,dOG
-0.2645,DoG,ruxpinvjdq,zzsuuaqvgd
646,DOG,0.349,ffpznwasip
DOg,Cat,0.278,cAT
461,cat,0.1515,DOG
-0.325,wlwyqejczz,caT,caT
-758,-0.402,-0.2325,-61
-416,dOg,-644,183
-740,DoG,wmunwexqab,-86
-0.114,DOG,yizhgemzfn,0.044
-745,cAT,0.2555,Cat
DOg,-468,vvrlpsphnl,zhelxhadqd
qojlxrqnyr,960,CAT,-0.361
-0.378,CaT,-446,-437
484,CaT,Cat,lzitsmwgkl
xhkrhkktdd,DOg,-503,-64
565,-68,0.412,bvjzgjwrsw
-506,Cat,CaT,DOG
672,cat,blidovtfcn,-418
0.328,365,-437,CAT
Dog,CAt,dOG,0.1885
0.04,-0.4465,0.038,-0.3975
0.3675,DoG,-0.247,trcjueewwi
743,-0.164,0.053,ldpqcfhwmx
prkaeyunhk,cAT,-396,0.0435
-500,-524,520,cat
DoG,0.413,-507,yukijndhls
642,CAT,-0.379,-48
0.184,115,sefcyxsoud,0.048
CaT,cat,0.278,tzcgndieem
148,-0.008,pbaxgezydx,dog
-0.1875,CAT,-756,yfsmqchdey
-678,0.0985,0.4415,0.2445
-0.037,DoG,-0.1185,dhzmgzibxd
caT,cat,-0.1455,dog
450,-0.0725,0.03,65
-0.364,Dog,-521,445
0.0815,-247,251,uffkfjmvab
-0.3175,CAt,726,etrhlccomh
yjrbncbihk,Cat,ykjukdgaub,DoG
-966,dOG,pbktexpajl,zqglhjpbxn
lernbzjbsu,-0.1915,0.2895,722
qsipqmydad,0.3595,-0.2005,298
509,DoG,-0.2685,fctpotngll
caT,-584,gtuusyosgz,0.35
