dufrnawwda,skkbekwbje,vjjpndeulw,kwxzctyhvi,wkfhotszlv,ejvuxviwbq,gckjpgrich
80,-547,opgrqenmbm,-0.063,-0.302,pgwyehedpb,0.362
-902,fbpxxvcyvp,407,qxfxcbyjvs,crrkuimmsw,CAt,vrexoojzhk
lscmrykbbe,gthwrlykjq,-0.2025,-0.1865,12,zjrrqcqali,603
-236,-0.3795,299,cat,-862,0.425,xsqyqgqvhm
-0.164,-526,whkdmtgbpr,-963,-0.087,-195,0.228
kggxgashbw,700,0.433,urndhttuqh,285,-539,0.011
cAt,-0.179,-0.481,tbqrtuvery,-0.01,dOg,15
yzoemyhskr,dfftxaamzr,dOg,-441,bkrkocidoh,128,776
-0.498,caT,DoG,pwybsoxqbm,aanaoellas,xtghlblvwo,-0.1145
657,caT,0.4615,250,dOG,dog,-359
dOg,1000,0.047,-43,bjanrbncci,vubvcbeuxr,-971
-864,0.0505,lajrngdqxh,Dog,bbucpijzph,0.2635,252
0.415,0.3945,doG,DOG,-0.2875,yyfjjavags,902
doG,tcnlhvwkbd,doG,0.1245,-183,dgkbvcrfqh,CAt
239,dOG,-485,982,-708,-0.0335,-0.334
xncsooudke,cAT,liinfkdnxv,-368,0.1875,420,-0.3115
mlzhuzzyax,pkhzrgniqo,DoG,vpffjxoudq,zinikalvmd,cAt,-404
guvzpdfazi,svngrtnfzr,Cat,jqqcyvfwnb,0.0885,dOg,0.065
-0.3905,708,-0.476,-511,-0.2095,0.0535,0.3485
461,-6,-0.157,0.0965,164,-515,qccjxziuei
yxkolgshim,fkvfmpefem,0.431,ytuemqcsvv,eojpdpuynq,610,sijxpkmwlr
-471,762,-0.4205,piszquqvfz,cAT,0.0635,ployxqlsve
-0.202,-0.4325,kzsqlwfmkc,fqngnuxauy,vrwxmimtbp,0.337,360
dOg,0.338,-937,-164,0.355,DOG,fxudxcxdee
uzdslzzrsu,xnagmgduiv,-0.177,-0.2135,cat,394,-897
