pet,kbxfxveuja,vloqrlhkqp,vteutkzttg
Cat,-0.096,-421,-0.37
DOG,tjygftqzos,0.046,aeojdlyjtg
dog,cvsegaajis,0.113,tqzadtbanm
DoG,dhthtlfesh,rbmiqryeey,-0.305
-360,540,DOg,gksoelcebs
cAT,xmqippplyh,-139,zxcjipfexk
doG,0.4585,vwinnepelw,508
CAt,0.179,-858,dog
dOg,CaT,0.3055,-0.2695
Dog,lggllmmnjm,ulhulugcbh,633
DOG,386,-610,0.4915
CaT,pmfdjhuzjk,Dog,0.2385
0.157,3,auknkequtt,gfruitonvq
DOG,-220,-134,0.1275
DOG,353,0.3295,ipipeutlcj
CAt,0.2765,-713,0.15
CaT,todlahburc,720,ciexwillws
CAt,-0.356,43,0.284
-198,-0.201,-558,hfajfitzwb
dOG,-0.231,398,0.206
DoG,-395,0.056,0.328
CAT,-524,CAt,391
-0.0415,198,CaT,pzlpogphic
DOg,0.178,hoffoaujow,0.168
DOG,-0.464,prsqzxvbxe,ulhlwyxxwg
cAT,0.243,0.278,0.336
dog,drowpcqfac,0.3065,uwfgnblbro
cAT,-447,0.276,vnnzjughxa
CAt,DOg,-347,fpskewpmhl
0.244,0.084,-120,-699
cAt,975,-905,jhpitxynvp
aasrxsmgdn,-467,-809,bwbghpiieu
dOG,0.1495,ppjbpofagu,295
zejxegqxjl,-599,-868,-0.491
CAt,-335,mfephzmrkp,0.4845
CAT,djnopeieym,690,0.292
mhbenulawp,0.1745,xlanpnakkj,ittqkygfns
CAt,-147,jtiydjcotl,-0.1835
0.2835,cat,-939,vsjoorgaon
dog,-208,-0.4955,hthzatqymy
dOG,luhvgaeasl,524,-993
CAT,ibkrqndusq,864,ojzgezdnjq
DOG,728,Dog,0.099
dOG,aglruhnejz,0.1235,zutfgueisf
Dog,ofnwxiszil,-0.2405,-0.2955
cat,-86,631,-0.048
doG,803,cat,DOg
-549,cAt,tawfgzcusu,Dog
caT,433,cxkkyanmut,-193
Dog,-0.169,0.4005,xkgkmusted
Dog,cat,-0.235,vcmthluefq
cAT,dOG,bclfdiivmg,-285
vsmlyhmzpe,kwsdozrhsk,-0.063,-318
CAt,vljnqyeogm,-208,cAt
dOg,0.4395,CAT,-0.3315
DOG,806,cat,0.1025
dog,DOg,-0.011,dwyfwkerqk
Dog,xnwsmbwqrj,0.4835,rbnyzkeftx
0.4985,xkmarhwnig,-851,Cat
Cat,0.1695,doG,DOg
cat,-0.356,0.367,txqgfohobj
-706,Dog,-269,qfyrgcdpkg
-0.4305,0.34,gqhincduqk,-0.4505
cAT,lehhiskoxk,-0.284,788
DoG,-0.2295,-74,404
0.406,0.202,-0.02,966
cat,cat,jqmxgepwsh,-0.1575
doG,doG,0.287,hlupukpwil
dOG,znkmcgnile,-0.139,-0.338
nibjvyraid,-0.339,umulclnetl,-916
740,dog,-889,evrkbkrekj
doG,-0.3555,ddyxxbixbp,-813
-650,-0.146,-0.2335,-0.15
CAt,DoG,0.225,-0.373
cAT,-268,-0.418,CAt
-0.2095,ufeggwqknu,0.314,-0.118
DOG,-0.1955,mkriytaykl,61
dOG,cAT,ecgylrvlti,eustzkixsu
doG,-0.1065,dOg,543
Dog,-735,0.2135,0.192
