swfppzeegb,ejdleelhnf,PeT,jasmpmhfzw,arwcuuptex,fnvsnqzyvk,gybycewkmn
-0.494,bcoonzqzwe,dOG,dog,royuimqasg,wvxwtzubye,789
-0.407,wocikxadbp,DOG,0.019,DOG,0.309,427
cAT,-0.372,DOG,-683,-348,-335,0.466
453,-0.3755,yxiygtaqch,0.456,0.055,lfwfnhaxok,kjlxifkrhx
-0.0025,xlzjyoahot,dOG,736,-59,ysgbjwtlqk,0.3995
720,doG,799,pfedstuahh,CAT,566,0.2205
-0.4235,Cat,0.2215,dOG,565,0.2285,dOG
vkcrbrwnps,-0.201,caT,fpnqorkxih,rcrpbdmjlg,gcnvddniwc,tyicwpmvzr
35,-353,-503,0.371,280,nrbiwjsjwx,579
Dog,-974,-365,bybztifnjs,mqfdxrpisr,-0.125,szcrwxzblx
jpjswgbvvk,-0.3835,0.3145,0.091,591,-800,562
115,-0.4915,CAT,Cat,jueyhprqmn,cAT,695
vjukeahgcp,ughudlucdj,0.483,dOg,ijgqlikuwf,cudktwlrgc,itjbxoljiw
864,DoG,dOg,61,cAT,eehoqmhoik,pctamkujaw
0.3015,dOg,-0.2005,-0.077,kblfzskjvi,-0.453,-117
0.1335,Dog,mmyxjcgnsy,koebgclnkg,545,jcyyoettfb,-0.028
mrgkhidsrs,mdidoksrkn,caT,350,-0.092,-697,CAT
