bbjswukxoq,heafbzwpkm,xktnewriro,deseenjhse,xjokqvache,airsdpxfgh,miqjgbpzgo
vacreacrrm,74,-544,opvosasnmt,DoG,-0.1505,xxufriwgkk
cAt,dog,Cat,121,0.047,297,197
0.044,-938,0.3705,-0.024,dOG,Dog,DoG
-862,jhaxuuxeca,viwrjzlojt,-384,-0.051,0.104,0.2735
-0.1165,cAt,0.3495,knoiljvznx,cat,bayadrdvfp,210
4,-0.4265,-0.234,-0.31,djxfjbozvi,dnzmfqbjwe,541
DOG,gmjtkyowiu,0.0785,-0.009,0.078,zbxsomosyw,-0.4845
-459,cAt,-0.102,0.03,Cat,-435,vzibkocpyk
fmowwuytlf,jvuchrjskv,CAT,0.2575,0.2365,0.3945,dOg
xbcmwubzzk,193,-929,jphziayhwn,zkmrcfyawk,rwrqumiqgr,sdtmmeylkk
0.306,326,jathbutrvf,287,0.376,-0.05,818
-0.449,0.4435,-511,162,gkfpcslefn,afcnscsgby,-0.3245
nqpyhwrssr,208,dOg,905,-0.1775,-596,axbpsnkopf
-0.0165,0.236,-0.1445,0.05,snzpybouvv,-402,-790
0.4615,-0.2725,632,mzucmdfyly,0.0145,zxzqnfufke,498
797,599,585,DOg,dOg,-0.438,gnrsvnceij
ytqxvfodoj,DOg,-445,-0.0615,cywgywtxsa,Cat,seibrudkdi
eldkjbqmab,-0.168,pwjklypgnk,-0.102,633,2,-0.2565
fpktwjkpug,80,uxalqzgtkq,DOG,0.457,yhvgdzcjfg,lcxwbhsgbi
cAt,-463,0.027,CAT,kjevtghrni,0.213,747
rkaogkypvd,0.1235,-0.1795,gyupbrjzrh,-113,673,0.2
-0.1225,-735,-0.104,hyndokjwym,228,uyhaiqqgpi,-0.0365
817,-997,rkwfdlfyob,0.265,uzrlkqmhpb,0.055,xxddhziqmm
0.173,ahstdmdgan,-401,ysqonzfftb,xrwluuepxh,fvdnvujpbn,Cat
-579,649,agjmupbnyf,DoG,-0.4215,vkoigwkeud,gcncnsahsq
877,782,0.4385,0.286,CAT,CAt,0.428
vzmwlbfnoc,fcswomhrqx,caT,qilkuxcogm,-0.3165,DoG,-0.163
hymtajmjuz,-651,408,tgpxpffcnh,-154,-0.133,-0.3545
bzeslqeedq,248,-428,-466,775,CaT,-0.3285
261,dOG,-452,vojttwqyux,dOG,-7,-150
-926,owhymshjwg,0.2775,hnrhzqywin,cAt,xtvriagwxi,onqlvmlxte
agljpciubk,-0.0165,sfjpmsjrfr,-0.495,-416,cat,wbmycookhl
329,677,-0.2585,0.4795,lfyojukoum,jvhhqdufty,-0.1845
vyiyjbfswl,uocexyvjcm,-22,Dog,-0.493,jgonpqxpsy,0.4625
-0.1255,-936,tkcsxblzoz,-0.36,-0.243,-0.3235,abqtstnmaf
752,0.481,-397,-334,caT,366,doG
-0.134,rzbxnpibox,CAt,csikmcluua,-0.248,yagiathrmk,-96
0.2265,ervojpohbr,-0.101,196,doG,qcpgkpiuir,-226
262,618,-898,igxsaryxzg,987,0.135,669
tbboygawau,666,-564,lclhrjkenv,-712,doG,-0.0065
uabialaqyt,DoG,sbuihpevgw,-0.0575,DOG,0.0865,-754
0.0755,0.236,808,-689,-230,crouunocqz,hwgbfhbyuf
-0.0345,qujfrudnsj,872,964,cAT,-0.078,aeetwggumg
-385,-734,-0.1,0.0065,531,-0.2725,cuqdmtflkg
0.183,448,-0.309,-64,580,474,0.2825
-165,kambkhwnlu,dog,-197,uhgwenhdub,tyaivsuwjb,-298
aadbnxalqg,-0.174,922,cimlujbzqi,dOG,328,0.3095
0.201,0.334,caT,0.065,CAt,-115,0.3065
0.1735,-614,nowlhldhlj,CAt,roksshamqd,-0.181,-0.471
DoG,rjrzzlotxd,-0.1215,rwnyihxfhk,-0.052,cat,158
ufqzefoiwh,-0.203,-445,uarcdhopxv,nmxrqsddcd,CAt,DoG
188,344,CaT,904,392,0.2675,evhnplqthq
Cat,dqiwiyatbq,-667,-462,0.3795,bchaasaotj,-0.0145
-745,-90,zwfdxrcclc,0.2945,dOg,0.3885,429
63,674,dog,ilibmwhtyb,490,0.2415,hahvwtimhp
pvnrkmsmsp,caT,sculdlabva,-770,mildbbebws,kojtdkxkvj,632
kzfvdbxbfo,tixndpvxcj,-0.072,0.2235,hjcrkxrkwi,wusmjmkziz,0.4965
Cat,-568,-833,0.073,DoG,-93,-0.344
otkliqiotp,bjaoffcqoa,mplnkpnhwg,Cat,100,dzfdhlejmq,-0.405
swuqimyvbw,-0.1525,caT,-712,ehnzzzmhzk,957,0.0495
0.27,cbovuabuhz,289,0.412,npzlgspimo,-368,avdmosmfkc
361,woshhcdqvd,0.258,-194,0.127,0.439,-0.2645
gxjelbhjlc,dOG,-801,stclmapyzx,dsgzlpmnsb,0.387,0.35
DOg,CAT,dOg,cfdngxyyhk,0.198,0.202,-212
-309,-368,377,DOG,CAT,scglhfnivx,kzhmvhsoor
knvczrngmg,caT,peztdkacoz,urxbaxejvw,0.4825,0.286,pikovscusf
nmuwyjwlzy,290,126,dog,nboskfhxti,326,dOG
-0.193,-0.226,doG,-922,-0.022,CaT,-310
982,552,-0.271,0.227,167,swchxybvub,0.002
otuckbvpyu,dddwewueyk,tezzwhosev,CAt,-892,-0.066,vcrgpudnvy
103,0.0155,0.2125,kmrvaryhds,dOG,DoG,-0.374
dOG,wncjgyurbu,CaT,Dog,-236,owbojefkmd,qjwngjbcva
berjtnybjv,uzzrxijzlv,cat,-369,tstsyzcvha,929,513
CaT,0.2505,0.422,-0.3765,CAt,-0.469,0.065
cat,385,-0.271,cAt,782,rlhbbqntyl,885
0.1475,rcjbbezljs,lortiwcste,0.3435,-165,-0.188,-299
qtljbmfkdj,wqlvwrxtpg,-0.273,0.3175,agrduwobox,-0.1375,hybasfimpn
ehbfyowwfh,cgxselmyda,xjpkirlnzo,0.482,dOG,-0.0425,cfezmmkayj
913,xyibasknaa,0.4945,caT,-0.0355,802,-592
pufsjiqogn,CAT,-0.234,CAT,-157,-963,-326
-555,zppzzbcsfn,-273,-550,0.0725,oytcoaimrn,623
tvaxpnfeyc,CaT,12,-985,-0.1135,0.265,doG
259,qfseortcja,cidwrucybn,286,0.2255,pgglxgoshv,ryovftclhy
duudnmjxjz,cAT,drcnpiwlmh,jwqcodnihv,-374,0.109,-124
-502,-0.2765,CaT,-406,ctqgtxuauo,-900,-420
-0.2,0.183,0.213,0.1555,CAt,cxrvqftpde,0.392
