zdgukujxpd,dpxmtvpuqx,byzfmsksyu,wrsuefllry,kcwncvduha,obxlcxizjm,guvzjkystw
kscecwmozb,qcuelucgun,-924,dutjcuipzr,zjqcrkowmn,DOg,0.068
84,-0.3935,DoG,trvpymwhen,0.1415,cAT,-602
427,15,-0.4015,-753,cAT,-130,vnjnsqjxga
cat,caT,dxbpfpuaar,cAt,uxtvjzupck,cAT,ovnseeoohg
httjjwankn,xjobrqwhoh,lejprvjzlp,0.3255,sdvqdydbsy,-31,188
Dog,dOG,kqfmoqeqfu,svpjwmksui,944,DOg,-144
-0.2665,klhypqxisk,CAt,-0.011,0.275,888,atxuqxenem
-0.1145,lxyofdsxcf,0.196,0.024,-0.306,0.2215,trcdwsczwq
CAT,yzfvbzldii,cat,wcujhtpvcz,-30,660,gnpxpejkvb
-509,0.494,-810,0.4615,zpnjhwolux,iyfytfuctg,mrcinnbhds
-0.218,-0.0325,-0.365,535,818,CAt,CaT
-764,ailehslkyj,cAT,-767,dbibvjwotp,-860,0.284
DOG,-903,kuockikxaa,lipgeycxom,gyzdrqttrk,cAT,0.4865
-889,CAT,cAT,dOG,bedyhrdwez,0.3535,786
163,dgkflciryb,0.1165,vyiuzlvwsa,fybbapumzu,-0.419,-672
-299,zlzrpupezp,123,-628,mffzkwicvz,cat,-894
CAT,ltjbmbfczr,413,fywmdehqgq,0.1165,izeqqvokzm,0.3845
dOG,ckwlwwgbck,ibidtdwzha,107,xwyqlgzyld,doG,446
tatoskndnv,97,itnxtakdvr,vdcvsrxvow,-0.163,golxdlojhy,0.399
0.278,dOg,0.4955,-580,-968,crttmvdivi,837
852,-0.1385,CAt,shufhrmrgi,-419,74,0.2865
-0.061,-0.4365,cat,xkpfbqkgez,-0.442,233,-885
moqzjxfucv,fuetdpgoct,Dog,ndutkwdlby,mzwahspjly,ndwfryegrp,biqkroytul
591,CAt,dog,-0.4365,Cat,-938,CAT
0.482,0.234,hacofjydol,CAt,-828,-440,-172
dOG,-0.211,-535,182,dOG,0.3435,aziqmtxvga
-478,cAt,-793,cAT,512,-0.326,nbnrqhqwbz
Dog,nntblpkhgr,-0.1475,lyaovbwhbe,ymchnborao,0.179,Dog
0.2435,0.111,Dog,0.017,-924,CaT,msrcqndatg
-0.1335,-619,0.1775,-0.405,itmjgfahqk,xskewyebzp,jwvaxbofwf
djtjizhtyj,0.2885,zfaggtrbbd,-0.2805,-0.0425,-307,-0.071
cAT,cozgwhxhmj,0.4215,520,-0.317,zaoouwxjqy,mnauyerysg
-845,676,-969,-788,42,kvclypigwt,hyhcebihfe
0.218,0.183,DOg,caT,caT,ywalmxkipp,otuhttbndu
sftjakivcd,0.358,cat,-527,rkhomnaosh,wssliuqxrg,DOg
vhvsgjxite,-4,dOG,-716,xnuvljynuy,CAT,0.2605
-0.328,sndeuebvbj,242,311,0.4545,-319,-0.0585
doG,-0.4505,-0.314,-117,-5,0.249,-4
-563,0.148,0.0435,-0.087,0.1705,-0.0915,spxohwxcze
DOg,128,497,-223,0.4855,920,-0.3515
xxizvkmmst,bpnjzsowcd,xtkgmabjyo,142,bptveyvniw,ugmglvzfny,-255
-0.1755,-0.3475,lynxzogwer,280,-0.336,dOG,-0.054
560,-753,-0.406,cat,0.067,0.243,kgnfmwytsg
DOg,dehotarrox,491,DOG,fsbxdjlchv,caT,vkjbbuqkwv
cAt,apbgnpikwg,-447,-0.4995,-0.181,CaT,sxfsbakusa
-0.074,caT,ptqotcubui,myrkuhjnne,vgklaiusku,dOg,DOg
508,-781,ofojycvqrf,0.4435,ivcjgtdqqh,-0.482,382
tcncihmslx,zsaimmnskt,0.4955,-0.3105,CaT,564,-303
0.4985,-689,huugaslpjk,caT,dlwkcehcmp,-0.077,cAT
weazpveibe,702,Dog,0.08,-0.1025,-0.084,0.007
boguuhxzem,vbdqxvrwgz,-0.0835,-226,DOg,ougvbszylb,elwjsreuhp
dOg,0.391,-870,-715,pqocanzxtz,nwbvijjwif,-224
CAT,0.078,dOg,0.3405,dOG,DoG,-0.0525
cAt,mtzryevetd,fszsdjzdpd,628,-330,CAt,-0.2625
utngrxxsok,-819,0.387,-0.166,190,orttvhissr,-176
cat,dqvaqekgfm,CaT,DOG,344,ydhxrbiojv,-930
-959,-0.046,anudaazmgj,CAt,704,-839,598
klsycbbkfy,kpyvzoeovq,653,0.177,0.4255,-785,adsndfinen
-102,-928,-0.48,qffukwipky,CAT,CAT,ohsqltuhdd
0.4575,-344,atjrwxsxbu,596,-482,585,DOG
DOg,bnkoxskmdp,679,40,DoG,cAt,caT
-0.014,128,qwjcllmfoo,0.2515,gfwmzyhxzv,Dog,-0.468
ontqakzpjv,-678,vhnbzcqkdg,0.18,dOG,-0.4995,-0.009
cat,0.0215,924,-178,-952,-0.454,649
0.122,76,xnqjczoqny,dzoogjlgov,vcgaowwyho,330,817
-0.498,dkmgxxwsgd,-726,0.2645,-394,-0.0175,CAT
CaT,frmuoervix,641,brqrwhcvvf,vouypznone,-0.245,wdhojbsido
0.0485,0.273,dOG,457,xcqnvzxnvf,187,-454
pjlfnmyrht,300,0.4125,-0.334,0.114,0.071,-625
uioqsrbfne,-0.388,-945,-648,0.045,-0.2355,653
