gzjtuuxity,peT,bdwidpcxez,eicyqepuxc,mygplrolak,glyoytbryv
CaT,810,-0.037,yyvdfxxsmi,0.396,cAt
-0.2705,Dog,-0.0385,0.072,-531,metvjsnfee
cdsimhwsxf,-0.4945,viafpjjcke,zjxgxlqfnk,-0.2875,-0.1925
omkcdskqqn,dog,-0.322,-0.204,-296,996
-0.2775,cAT,-500,cAt,-647,-0.348
204,CAT,Cat,lyrndcoozm,-848,DOG
hhhzxfexix,DoG,cAt,dog,-757,0.3485
rbpvljtcam,dOG,jjvbshgigs,-751,kligrdigcq,-557
-0.239,0.052,ynajtidpst,0.142,0.339,-0.1115
-0.1015,Dog,-341,DOg,nijwobdcns,DOG
0.1665,cAt,Dog,367,caT,dOg
swtafojfpf,dOG,0.3155,jfpsqstfqz,-0.397,dOG
-43,CAT,-0.443,-888,tdabbaeiqy,0.2635
0.1605,DOG,rryxugrftx,260,CaT,88
tvgaojfvat,dog,967,303,0.319,dog
doG,DOg,946,CaT,845,-639
-172,DOg,cnhcfahtqi,0.4865,-801,cAT
DOG,Dog,0.328,932,CaT,CaT
54,caT,-0.326,0.1695,0.338,szzbjawevx
0.159,DOG,-0.317,571,doG,-0.4785
dOg,dog,301,-0.2495,0.374,Dog
0.4185,caT,znlyljtuny,871,-819,-0.205
-0.0305,170,odnbhnvexe,-631,fuihcmsies,403
-0.2205,dog,-0.087,-905,0.0625,0.185
0.2755,DOg,lvbgzoipgf,pelfyaffyl,hywraruydq,DOG
CAt,cAT,221,-345,17,459
-46,Cat,-0.1285,-0.093,840,vogsexmhoe
dOg,CAt,wukqrdtvjj,-0.1855,102,0.396
-0.005,-731,-0.0545,dog,iayxetnsnj,696
0.023,0.0775,xakziygemt,-29,-0.2805,Dog
guvivkjdcu,dOG,20,-599,0.4815,0.4395
rctaeljtrx,551,0.0535,-0.3355,524,-0.1075
pupcbmpani,doG,-274,ohturlqxyy,-0.339,-0.425
cat,fjedqiumne,-0.1065,0.2765,CAT,dyngmdytek
CAT,dog,Dog,otqilwitup,0.4815,372
CAt,-72,yglzbleotd,ydlglahkbp,-291,qeciizvuvk
-466,510,480,wrrsnfxoaj,653,-725
0.39,cat,Dog,210,0.4025,doG
dOG,Dog,DOg,zjpivysokj,Cat,-0.3365
cAT,doG,0.0385,dOg,0.053,gjnmbgyjlv
DOG,cAt,cAT,CAt,0.2515,-0.0905
-0.2635,DoG,-859,wgaegfqvkt,929,uzuksghxwj
-0.0545,dOG,CAT,-717,0.021,DOg
0.306,dog,DOG,-0.1835,ilppifagzl,0.24
ujoijqftjn,doG,0.4075,0.369,rjsxtcicec,941
-0.481,dOg,-0.3785,264,0.4005,doG
cat,cAt,-0.0435,jbtolpupll,Cat,ukappyaiuz
0.08,dOg,-0.3585,-0.0185,0.2305,aipxewtagx
DOg,3,ngtgmxyfet,-197,152,-0.3585
plyokbkrzk,CaT,doG,235,-837,-0.364
cat,-470,rxaqfzajtn,-0.05,qjullhgaim,piqawvwuca
-88,cAt,-608,76,0.1955,dtswbhwrxv
bahbhczhns,-0.044,0.3425,dOg,xvntlwmqxs,0.2135
mzlyzazfhu,DOg,qhtvzkrrpm,833,yekqbasdtm,CAT
0.004,cat,gyblefbbxm,0.0455,0.0915,0.3075
nqauwvfbek,0.176,-0.4915,rdzoehmstm,-0.2325,caT
dOG,dOg,-0.436,766,0.0185,0.496
0.3935,cAt,-0.0615,igwhjizmed,cAt,dOG
Cat,dog,cAt,178,-0.1455,dOg
avyfivcubi,cat,-644,msicskfkjt,okhbyfwbde,0.417
kmbohvgkcj,uzpxqiczsa,-0.01,czhavexhcm,DoG,dOG
466,505,240,-0.346,hgqrrngwbn,alzinemuke
-0.223,CaT,yakhmstlkx,bwjxabaezj,ejvwvmbyze,-960
90,caT,-0.2915,0.272,167,DoG
cjxipbrtyb,caT,-0.0265,0.1505,acoshghuho,0.37
0.093,cat,-0.1915,554,-0.0915,-0.3305
dog,0.16,-0.1095,-658,0.4265,-0.2225
ayhjdcnctb,cAt,cat,cAt,-0.313,0.156
zyrymjlapi,cAT,cryizhqogn,0.292,0.2965,-0.3985
0.482,dog,585,-817,0.4465,-892
DOg,DOG,0.4265,0.4645,0.4465,cAT
-930,-0.0335,0.4125,cvwhpuvilt,-0.3975,41
