Pet,etvzwoaspl,jytipqamcd,ifjxvounyg,ftkqwleqth,wqvgjpvhxk,vybxhuhmkm
DOg,zxwiqfwnqo,dog,0.174,573,CAT,-0.4305
CAt,502,DoG,935,-364,jazbwgvaqf,cAt
-289,qwuuxrdnlf,byqnpgorde,-0.0015,DOg,dOg,fyvuvchvbn
CaT,471,-0.222,gbjzxylrwo,ijjwwmlczi,jjjkzzhrzh,0.4045
-0.264,jkshvlqxpy,0.4435,ukpqnhkkzj,-859,196,eimkdthyht
cAT,eqhymallqa,-0.423,ketgplfooy,-0.2445,0.0015,0.4835
785,-0.181,767,Dog,0.497,-0.4565,-104
Dog,0.3455,-109,-0.294,Dog,-794,-783
CAt,CaT,736,afkqtlwxuq,-564,fzmezoncml,-0.2645
DoG,dog,671,-669,-958,0.2255,dOG
CAt,677,-0.3655,285,-917,851,0.28
htbmhrbtfv,fnohylthym,rupwwrtnhf,-0.0055,-0.458,-303,eutfjbvsjd
dog,xakyovuddc,tmxqygjjrb,-561,bocwaektgf,-0.121,-0.4055
-0.16,544,dOg,439,0.4065,135,ngmzlfzdsc
-423,pafkngcmcw,-0.24,xlpksfbxmh,dOg,caT,-0.309
CaT,pocupdwhzb,gutnenzgld,976,-528,-719,Dog
0.2005,-0.2035,kncpcvtgqz,-0.002,0.116,mxqdkoesga,nvenuilzph
dog,oasqjuybmn,-0.3045,692,-530,cat,730
nplzlcqdfk,-0.39,0.376,CaT,iegqqiewce,730,ppdowhckuh
cat,233,-314,0.4965,rlylfxdsdl,325,esfdtvqnip
DoG,cAT,CaT,DOg,-446,704,0.1545
cat,-316,-0.0885,0.2015,-109,cat,sxaainqrdu
DOg,qjikaljaxp,psuqvfdpoa,jfbsyjdciy,cAt,cAt,axdbtkcmyb
DOG,-437,592,dOg,185,CAT,ccpnrreokk
dOg,-659,-0.326,fxfamkscli,537,bnkuunihao,otfpluxjwq
dOG,582,0.1035,yaafiazcbw,0.2675,jhwszjbopr,872
CAT,ysjgqsaijq,wbyvfnnzag,DOG,DOG,-244,351
dOg,dOG,0.03,caT,mebyizonql,-895,127
cAt,231,-311,djpneszdfl,0.266,jvnzqieywq,-312
cat,922,Dog,puyvzjlspz,kkpfeoinoc,fhbkgjukmu,dog
dOG,lecrmeeezl,0.2425,-604,900,-0.4245,856
rqvvrdeukq,160,304,-0.117,-0.139,598,iwylrbqxcq
815,ceylbctzvl,-845,cmpyamqdmb,353,-923,CaT
-381,108,CaT,orbvafredt,xdcpupobhd,wlnwexkyhb,hcxtsjzuwu
DoG,CAt,0.3455,ngxkywphkf,0.219,801,381
DoG,-0.311,0.24,-736,797,-0.2895,298
dOG,trrmzekftx,921,73,Dog,gmipqmewek,-472
dOg,CaT,-858,-0.4485,ujiglmxysq,yabeqcriyt,-373
doG,Dog,CaT,-968,rgprvbpaaw,-716,0.0755
CaT,dOg,uluridllmp,633,-210,rkhyqksvwu,Cat
caT,-0.375,0.282,eyglsfodhe,0.028,-0.414,cyowvwbcpr
doG,280,788,-644,0.348,729,aknpwtvgks
Cat,cAt,-0.469,0.1745,CAT,sghlfehwmd,ayagyudpfd
caT,CAT,154,hhrvzcrxic,-0.3705,ibfldiqnyr,-64
qcxrjuhnke,148,0.44,DOG,uqhqfmhmht,-0.0735,-0.2265
cAT,-0.442,whabcwkpsb,637,0.195,aufnxgtlyl,llliozrnvp
CAt,doG,wppyolffyc,xxqnyynzpv,CAT,vslszzfysj,-671
dOg,Dog,845,-0.0015,462,-0.0845,sxtnvspwoh
CAt,-323,0.1225,83,0.166,-0.4335,0.1375
DOG,0.1415,-127,doG,0.1735,-692,yjevmyooop
0.467,gqedszpzcd,0.1345,-932,snrmeteitz,deqmcbeeke,0.1445
CaT,0.0405,-893,CAt,xlrqjjpyxd,xtfogfiyqi,oyrtmrcswe
cat,0.496,fvdggnxllc,-0.447,-67,gaguymowuq,olzgiwnddh
doG,-0.4145,-0.176,-559,-559,0.0005,361
DOg,341,212,mchmkwutzx,-0.329,mmgrvxikor,yfuiinvxzz
CaT,-0.002,441,0.0645,dOg,mjgfbtvdfs,784
CAT,onuxlcnbmu,ttwyabgjyj,caT,-594,qkctbbvpuv,caT
cAt,0.2075,DOg,DOg,zjrpduekun,537,-435
cat,-837,jkafobtoui,bushpnysmr,oycyfqucbp,775,0.4285
dog,-626,iuscbupiiv,cAT,660,-63,pvvotoobmg
DOg,422,0.4315,doG,332,-817,gzjoabxkgo
598,-682,yqxqkpwsdg,-0.485,0.4635,dOG,-0.2805
dOg,-0.2895,-910,zhectvlico,-154,550,257
cAt,kqcwvtlxsc,DOG,0.237,nwsnwyghfx,-0.419,131
CaT,-0.113,0.486,zwugaujuoi,20,bxsttbcgeu,CAT
DOg,-0.04,-203,-94,0.249,0.1515,0.1675
ajtkzemilf,191,-924,caT,-885,CaT,nesdgvpirl
doG,-0.286,uvtvukriqe,-948,0.3575,DOg,cAt
CAt,149,iywkdgithm,-0.3865,0.494,xlgumeajwr,mxgrolspcx
cAt,636,0.4855,CAT,230,dodlebgoqa,653
Dog,CAT,-968,-0.3955,536,0.411,qgpmsjamom
doG,-349,efczxzrnak,-892,0.0695,0.1925,-285
DOg,-0.4325,dog,caT,0.411,citxnxmrrb,0.3425
239,566,seiapuanym,dOG,krywytmgyd,kwxgnwwcyo,cdutlwgaff
cat,-70,admpndkfmw,nlgkxsrkfk,0.2695,838,caT
804,-0.326,676,dOG,dOG,-849,0.252
CAT,vhcbtbfokz,-0.175,handdfpawf,xilubsipmr,-0.327,-949
-107,lsawjcejab,oyznjoizqe,higltvdajp,cxfsakdugm,0.0495,dplpbkidxi
DOG,ikjbfwnvez,DOG,doG,-0.2435,okilqefmxo,uoppnkeqkl
cAT,tfbigjecnn,unduzexzpy,ilhjypcmiu,-0.3,mftzbibwct,xashsmxwrb
Dog,32,gcxbicvgnt,-0.1485,48,DoG,mlyeqloudr
Dog,uxsffyvtwq,cAT,Dog,ptgpnduhhv,0.319,-0.321
-581,-0.1425,CaT,0.4,998,81,uilaskxujx
-0.3675,hzkfkcazai,353,rcbvmdqffn,-0.4225,Dog,0.074
604,-0.2405,-0.033,uqumyicvkc,-0.0855,Dog,-0.083
DOG,twmqffbrfm,bbshgctelz,bvuvzhidjw,qcmezckimt,DOG,cAt
-355,znqxmznshj,caT,0.2595,hryfbleijk,caT,-0.2205
CaT,DoG,dog,bylssezqsk,qfbzinocny,0.1225,0.497
