gheuclbjdi,svgbgjtula,nmjfandljb,pEt
81,DOG,0.4245,0.1885
Dog,19,-0.424,rqwdujhnys
0.4885,-220,cAT,cAt
314,-784,doG,caT
-609,-216,0.162,DOg
ganiizdjkw,liezadyrfo,orydklriwz,cAT
-0.4235,iwtbzepnvd,-0.154,dog
dOG,jolunzqdwa,wtdhrrbqhw,caT
dOg,-0.099,CAt,DOG
0.0565,334,CaT,vtlusefqnk
iktbckiifb,648,wlgrgzgmdp,cat
219,Dog,ktfrevqusa,CAT
983,-0.2485,-0.33,ohnqnhwdpb
-0.063,0.2785,217,0.1195
-0.4065,xopatfsnxf,380,DOG
opbajfwbet,-587,-0.2355,cAT
iqowuyuons,pednbyagbi,-270,dog
-0.407,-0.3675,219,cAt
zyhkvppatf,-0.192,-0.4625,CaT
0.052,79,-364,Cat
590,ktzftpmzkk,vwtnvqzbnq,bwrfmqlcvj
185,fshmxvsjmq,rvuybitpkw,cat
985,-72,-0.4445,dog
cAt,603,xmziowdxgq,CAt
nvmguudccn,-930,jjklrkobts,cAt
hyaxlhmcpc,CAt,manijcvlcn,doG
exswsyxxjj,-0.4045,-962,CaT
zasusyburb,-740,-0.4215,0.014
0.403,doG,-0.3985,dOG
-0.3245,425,dOG,Cat
CAt,0.0595,0.2905,DOg
-555,787,Cat,dog
CaT,-0.1975,awfdqebmcc,Dog
mlvbmyqana,-768,427,-0.1285
476,683,zftuwtoluk,dog
arxoyniviv,fuzhblnhda,-0.323,rtskanrilh
119,lohyvjmclj,rrcjcxzfrt,-0.2225
doG,ofnmqpionk,354,CAT
pfuynkrfai,0.108,0.256,Dog
pesqxtrbwc,0.374,-0.39,434
-0.4525,tajcxcywao,0.226,uztpgtpeyb
0.068,0.138,-0.1885,dOG
-938,57,kxvfjcwvmp,CAT
-719,937,cAT,DoG
-348,wgqrxgwcvh,pcebezicvt,wxtacwjbmq
DOg,353,-0.0955,CAt
-0.4485,0.487,-0.1445,dOg
245,kedeufepoe,746,389
-617,311,0.4855,dog
-0.0265,0.044,636,dOg
DOg,cat,dOg,CAT
-0.443,wzvjftfaov,90,0.239
xrjufgmlma,945,175,cat
0.4605,dOG,821,dOg
980,0.288,-311,Cat
zrhlusurdl,0.5,ahqmdrqaox,dog
339,htqsjhzact,cat,-0.1775
706,qcbyytjzgv,87,Dog
lqvuuuaotr,184,-38,CAt
245,645,-0.4125,DOg
DOg,CAT,CAt,gczhcvlesm
gfwfxcroij,-0.382,bxrseklxkd,CAT
-0.1835,DOG,lwbbagmjsn,cAt
petlwsamks,337,959,-508
0.06,572,CAt,DoG
-0.4825,-0.409,CAT,CAT
0.1475,dpgrssdtxs,-701,Cat
-0.0285,941,0.4765,CAT
-203,dOg,-0.164,hfloewohnh
-817,pdvbfglyfz,DOg,-570
cbzkjvxnmp,0.19,-199,DoG
344,0.3435,DoG,Dog
0.159,aoiewtnsip,-881,DOg
-0.2875,Cat,-0.4495,DOg
-435,-901,doG,pxgvxdvvmi
654,-0.4875,bawjqfhwxc,CaT
-0.1355,414,DOg,doG
-0.304,0.1635,CaT,dog
0.2095,0.1435,-864,DOg
-185,-309,dOg,-0.0675
gsmxahnymf,-0.4715,vddisocyho,caT
ajzzwzsmba,-0.251,vuhnbxqzlw,hhqrdnykll
-0.3265,DOG,ssbboqjwex,cAT
-0.4785,-0.102,tjlpxgpwbc,DOG
mrabsucsrm,cAt,284,CaT
