ayywgkkogq,sqlzbwektb,xvgcgklzyy,eyqgevbvtt,wegxphbkck,PET,hpudbqalrr
-0.3525,CaT,0.2675,meorklrmrt,249,DOG,-238
-596,513,399,-509,-815,cAT,0.3325
psyatmlgjm,bwgzryvffp,CAt,dvxlnujtof,-0.0415,dog,-662
0.129,-0.044,0.095,-0.105,-905,wifgfvtkpy,0.2635
445,sdvbjguwta,dOg,Cat,caT,DOg,vctsyrwjlz
44,-47,-0.3325,-0.0425,0.388,cAt,cat
dOg,-0.171,313,413,-0.3795,cAT,pvsumazdpr
cat,343,347,CAT,DoG,dog,-267
-0.3065,kobkdqmvwx,0.293,dOG,pqvghhhyrd,jdtnjcseqy,674
xbglhwouat,grhcvpeppx,vrdyfziokm,609,-0.243,CaT,-0.126
-0.356,-175,585,nndqjuoeyz,281,cAt,bxehkfdmpx
-0.2875,DOg,CAT,hgaetdrmty,-0.11,cat,0.0995
lqbrgifvyt,DOg,eojthdzhpt,-0.3895,-0.223,Cat,anlwobmdab
-0.1255,0.3515,dOg,-0.138,-76,DoG,doG
97,0.495,dycljubujo,jhgyftnkvl,nrttdhgqlp,-0.4845,whytyxvzvi
0.2065,0.333,0.2695,-498,531,Dog,-981
175,dhbtzikuxe,-296,DoG,jroignfwfi,-514,495
dog,jsyqoogtbe,Cat,DOG,0.018,CAT,-403
-264,dfmnicrjig,yidjzvgdbe,-972,0.015,CaT,-436
-0.0155,cqbtufgikl,yaqohmotoz,304,pywhyazpss,475,winljpdyet
97,-0.1625,0.468,-771,-100,cAT,-0.2935
0.0995,0.4765,-24,-0.0885,517,-0.4835,-943
yambdceiqj,-0.475,ftgdqflpme,DOG,-0.4405,dOg,nnqxyqenjd
CaT,-197,-820,-0.041,-124,DOg,yienjtzbqa
0.03,Cat,-381,-780,xuvwylraao,CaT,-867
loxvnuitjm,-860,DOG,-0.2375,znobqygypx,DoG,-47
ggnirafcrt,0.4455,925,dOg,DOg,DOg,-875
-485,svgsgeaapz,-504,zcwgxmjyft,cAT,cAt,0.0525
-0.3795,cAT,0.3315,adncewmxph,0.1295,dOg,-0.1225
-0.054,dog,cAt,0.2485,-0.064,cAt,sbytxwpkfu
0.121,-481,kyqphtiyvv,-133,ymbpomqnws,cat,0.1605
-0.29,200,DoG,0.172,qfgivkknbm,DoG,728
DoG,-0.005,dog,Dog,uklukwlubw,DoG,0.3085
hujzlahrmo,-0.2815,wtfxgzsmtu,xcpwbcfskq,-0.4455,Dog,0.0505
-363,0.472,812,ngbnidknbl,-0.3445,jqybudigix,fyudjifvpm
-866,299,0.039,doG,-0.31,dOG,dOG
zazpszcuza,-0.0945,wvzyoauryx,139,0.1875,585,318
681,479,0.01,-0.052,0.098,qtetnjvipz,120
fraxwmmcfq,-0.0065,qvensxadmo,mhbiwfcrda,-0.374,pfqqfesniz,Dog
-180,0.3985,CaT,586,glnkzaubbh,DOg,edadqpgoyk
820,Dog,-290,klzbthynna,-177,253,mqbbguewtw
0.4535,571,zliblfkwzb,-881,sooiypswzf,cAt,0.4575
-97,-0.215,0.36,581,0.145,754,-634
pczpneykdi,-675,-0.4465,-499,765,DoG,725
-249,-945,-993,-974,kloojotflm,CAt,0.274
-0.1455,370,-0.305,281,892,cAt,-0.4605
-0.4855,-0.259,0.2385,242,-0.0095,DOG,101
rdeqxelnwl,Dog,-0.455,cAt,-48,Dog,434
cAt,-0.132,nquzmeyzxf,xzludabrva,oyetqqwddo,dOG,ytkzhkazrx
caT,-294,-0.168,0.472,Dog,apatrvapnt,-0.393
0.179,-0.3725,882,ufxqfxuzec,xztzrlwilj,DOG,bxvimaeity
