isbhwokvoh,sppzidfzai,kkorsuxzft,ccmseznidr,qhsamwjzhv,brnovswvnf
-514,ogjvmtoret,rlycwrvjdu,DoG,doG,458
-0.018,lzufcylnyc,0.075,dOg,blkfcqgjdw,153
eaivyvbgdt,zphiwtuskg,DoG,-0.0285,-784,-889
-0.023,anwyvbszew,-0.4915,wcxikfkcyw,-828,kkiejizfix
-0.129,fklskxnywg,DOG,544,-0.0955,yvcjjuawpv
doG,147,Dog,0.459,xqceoxctsh,-865
-405,0.3095,doG,xdczlinodl,DOg,-0.275
dOG,doG,bvyjtrrmzd,Dog,gnwhhpklis,kclgwtyrci
yvujrgwyyp,-63,skocagfdaq,123,icdeasmbxo,caT
-118,tqbypiilmv,udcenkzahd,788,0.09,-0.4335
-134,jyypkzvosq,0.279,987,zhwtzlujzv,-898
DOg,0.277,dOG,0.1865,CaT,aglcbahrse
DOG,wnfpcbyqqi,CAT,598,CAT,45
0.2045,-0.0365,110,dOG,vrcfgbrwnz,xlkgthngkz
766,-0.132,0.3275,narmxpplyd,0.087,153
896,-108,tdpysxvamy,-0.0125,Dog,vhqpwaooaz
pwgyrqbipy,CaT,-0.1905,hoticalpvr,-0.0105,mrgbqrixse
stkuvxtylz,DoG,doG,dgdriojgvj,556,-0.4465
0.404,0.1035,564,514,grmgsftfgq,0.0205
0.1165,fcocgmraqg,DOg,0.109,syhuxjatpz,athawxyzcj
-0.2125,0.3475,CaT,cAT,-125,0.404
Cat,dOG,xfyljnjjko,307,-752,-0.142
nelpyhiyfy,305,-0.1125,DOG,-91,-0.2555
CAT,Dog,DOg,-0.046,0.3335,caT
juunafvsyw,kzkyptaugo,gfrtywxdou,dOG,igeetjxqln,-218
166,nqevqlasiy,0.048,105,wtdjbhezmp,0.1745
0.1615,cat,sjhdwtulpv,cAt,-0.1235,tegtohgxxu
-413,-55,0.031,935,Dog,824
-0.3365,jywsrxxigj,DOG,-0.128,492,zcaybpzsnf
-300,cat,656,205,511,-910
doG,DOG,cAT,-0.3915,664,CaT
910,ranzhztoam,128,749,DoG,295
dOg,-0.1375,niotfbuwxc,-0.333,vettoeqhot,-0.4985
0.3155,-0.372,350,avdumsdyea,923,0.4585
0.068,-547,-68,983,316,0.258
159,wedzsqgjmr,iyplbexryk,-0.372,DoG,-0.114
0.251,CAT,0.361,502,-0.1,0.426
ivqussvzlf,cAt,zyyjwfaybg,0.171,zlxjjsnipj,-0.3185
0.3995,0.1385,0.351,CaT,-3,475
