zxjgtegnto,shsbzevxrx,bvjmeuswhi,xjybdpvlaa,vgedywfudw,reqhywfeho
jaamvsujsl,-0.3155,wvtrrckpgy,0.269,Dog,kmehtiuwis
-937,CaT,-0.275,-0.0245,0.1585,-0.239
742,gmgypkyvlu,kjzbyerrnk,ofdpjnetzi,-809,irmpvhbqbv
0.4605,dOg,703,-0.249,fbcptzjmxq,juyxromrcz
0.106,ndpjnrglty,ejodetycog,srtptheokh,-0.22,10
lwhrdrelfp,CAt,xmaqphjppg,cuuvdvdroz,0.261,doG
caT,-541,bdzmxhegwg,Dog,-0.457,dOg
0.014,40,yiuerjxjqm,0.276,0.0185,goeseezbgw
caT,822,zcvipvmiiq,-753,CAt,0.362
-384,0.0955,-933,gmtmitcxbp,-402,-14
lfwbvditxi,pphbkcxbyr,Dog,Cat,dog,0.275
-692,-0.35,bcugqscuuq,DoG,dog,940
379,smxchohkby,jkmzlaazgx,smfqtyesfb,-0.3255,yzgveioykh
qddpoxcaot,0.1295,23,ihmlacogyw,-0.463,556
726,-384,-0.2775,0.423,ztunjyynfx,796
669,ujxpguoxov,-0.358,325,0.337,cofstmtjkf
jsrhbubfzy,553,0.3655,0.081,-780,681
0.469,caT,ampjuvvpfl,-393,-0.3235,knsmucucco
doG,128,doG,0.24,-791,775
eqwwsbbaav,-259,CAT,usobrdaxyy,ckpxuskvcy,lyhbhjrjqy
lvwcgxeqwv,0.491,-983,479,0.0455,rlbilnogky
228,520,-48,ldztszmtjc,-0.178,-0.2835
-0.0415,-513,855,588,0.146,vhqemtcmvm
bsncuvpycl,0.1775,yyhvghotmq,0.1345,0.4275,cAt
890,cat,-586,yiqaamyffn,xqwxdzycuk,-0.092
0.2585,xodzfplifc,196,0.15,-937,-749
246,zwghctizql,Cat,cat,cat,0.38
0.154,581,Cat,0.1985,0.256,-630
ixkeivqztb,CaT,0.2395,899,0.2715,nxuscisnff
nyfijlaykg,-907,ocwtgnuulw,jnaliyxfqx,-755,dOG
-0.222,802,0.0725,-697,zmrezmiqtt,0.444
gkuucevepe,zdakdftbnr,-902,dOG,-191,gcrkundjoj
cAT,-780,Dog,dog,fxtkelmdtg,290
fadgoibsnq,-178,nfppiltugg,mflxswezrg,0.188,0.487
913,-51,0.112,-0.185,kuvxvgqxlq,-727
bbdjyslmfi,dOG,lduewmdgtv,njhfuzhsav,0.026,Dog
774,dOG,cAt,Dog,0.364,-0.029
-198,-0.13,ckyvcbblfd,uthkkeofme,-935,813
94,917,-0.3785,-0.067,CaT,-741
cAT,-280,mwbwsmtsrp,12,xvyfagbgxh,guwmcnihzb
mwblpryfbu,Cat,ilcomwnnia,159,-47,-0.0515
363,lflnbfowqg,647,17,0.405,0.4905
0.486,llwbubfknh,hzdllrzzdq,DOG,-0.2165,0.459
uwxavhwwfi,0.2925,codpajsngb,ervjsixyuv,vraeewuhte,0.4905
cat,-793,CAt,updvorinim,dog,-0.052
-690,44,722,doG,-0.466,udfyqbtoqh
0.0285,CAt,862,caT,xprzgontae,-0.173
0.0615,mplmvmtstt,htnzwxlocq,424,itmkluelyp,-0.0485
0.086,0.096,0.312,trmsmpdaif,-0.173,lmxgltijvk
cAt,dOG,79,ixdsghjdvz,149,caT
CAT,-825,-0.341,utxcppjhwf,0.31,0.2135
0.3175,eedajibdcw,qcdrlckhrs,-749,hpvvxxnkkm,veafuoemxs
rpxchkblmx,0.308,mouafudzdz,64,-0.236,145
CAt,0.361,ejxqitrvgz,74,opopruequl,CAt
cAt,dOg,CaT,123,-573,0.102
388,0.1605,0.4035,dOg,mfkkrlxtxp,dOg
jehqsrotrt,0.224,195,-942,zofqyoleuc,-0.3445
0.3245,CAt,DOG,Cat,-0.1655,mhtgeyznrq
xrjzmrajii,0.412,dOG,-0.114,xzziwchbjg,0.1985
151,0.293,dijyotucsj,jbboolddpf,560,gjgpdphgga
kmsvyasmog,-0.031,-0.0545,215,brnniyyylj,jqcyfmbene
-0.1855,-466,cAt,-13,0.3975,cAT
-673,0.288,-0.0605,DoG,-0.0585,doG
-0.2685,-510,-210,0.1565,dkdqqbvuop,srxjcmmnct
-0.444,0.202,jqgsiorotm,-0.0205,jyderjoiks,251
kkjnjorvoo,-220,714,-0.153,Cat,ujvrpnfwhg
bfphocfsnl,dhrzwcpwlb,zyfcpuzzgd,-903,0.0425,CAT
smymjzqkyi,Dog,dlpoyosnrt,CAt,867,-0.2655
-166,809,962,abnrrjtddm,Dog,-250
0.3005,CAt,-573,-581,784,0.0255
0.4355,0.131,-0.22,DOG,iwcneyignm,304
0.399,-0.283,-0.2155,DoG,-310,hyuwvysodp
csmpslduka,-493,471,xrsrqtmrhc,-897,moriwdqowi
CaT,-0.177,-700,dog,-0.245,Cat
doG,865,-492,lypyykuffe,-533,368
121,843,kxuffphzoc,757,rjqmyyeitc,202
caT,zkeyxijtcc,xdnyfkfmrp,dgdljrshvl,-33,fjtmufktdf
-689,knchnahvls,-580,0.012,-0.2165,Dog
0.2085,-0.3075,0.463,-202,pandzcxixf,cAT
cAT,0.214,-911,-83,pqtaaxxaxm,-706
skuxzoskvj,tkihodxifn,sownmdnckg,DOG,dog,-648
905,jfgtnzhhge,DoG,-0.428,641,dog
