mksydjzgoo,PeT,zuvnkdwpyn,pefdptspqv,xsbsbslvhy
0.347,mpumanbygn,113,fvjrxrulxy,dOg
lgvrzzyfpe,Dog,DOG,ydeewjqhdx,-0.388
-937,CaT,-0.069,reksbtfkiv,470
-332,caT,0.3365,CAt,cAT
-59,doG,CAT,0.1345,wnsigfsljo
dog,cAt,CaT,-0.3945,-903
pcvgwfhezh,caT,506,-456,508
-328,dog,fchnmmnagi,dejrtdhfjw,748
cAT,196,egdpzzmhjx,dOg,cAT
0.0085,DOG,882,-725,137
229,cAt,uzjycxotkm,npdxrrxxbd,557
yblhxhiwwk,0.06,cAT,dOg,hlwcmezumm
-689,Dog,cAT,gogjpfjood,lkdkiyavia
cAt,cAt,rckcolgvbb,-484,cAt
Cat,Dog,dOg,DoG,DOG
mdtihzbtfq,-0.006,caT,flbchmlzso,jhnuqaylzb
cAT,CaT,584,CaT,-0.198
DOG,dOg,-0.2915,-0.2325,-0.4915
-75,DOG,unrabepdaz,0.3915,0.2025
hfscnlpdli,CAt,dog,-0.481,zlbpiqvqjv
CaT,Cat,dezbjjryti,dog,759
dog,Dog,0.4725,831,-860
894,DOG,cAT,-913,qddrfpajbh
stlehxaybd,caT,celfayqibh,991,0.1205
-498,caT,dOg,DoG,dfgchuwyow
-0.07,dOg,CAT,boiaqxdpla,-283
-0.3455,929,-648,ujpgghzfat,513
doG,DOG,lfoyobquou,suapiaiqvp,dmivojrmcl
caT,cAT,482,-859,999
-0.3155,DOg,dOG,hzycmwgpla,-498
744,DoG,owknpahygw,0.124,-785
799,hmolojujex,itwumtryzo,DoG,-0.117
xjcljughon,Dog,360,-0.4945,lmlhasagvc
jhxrxrqetf,-528,oddllowqql,caT,-836
-0.4965,CaT,-329,eukrlwyfbj,0.003
dOg,DoG,-311,skfihnqzvi,CAT
jkphqsagop,dog,DoG,-0.124,znvfkjoane
kikuyceqna,dOG,-122,-0.4245,0.066
xnuweguhgf,CAT,doG,155,ifkwgzpfkq
-0.402,dog,683,151,0.3845
zcwlpkggpp,DOg,227,cat,cAT
ghqnifbhxs,cat,Cat,-0.426,-773
DOG,dog,-0.322,CAt,0.3425
0.0945,DoG,jhttmrqrem,-995,828
-740,caT,571,ftzgarjsiy,-0.184
ucdicmhngf,195,96,myqxmiiowh,-0.2185
-21,dog,caT,0.481,0.2395
aokdcttphw,0.1055,-350,-641,982
Dog,0.2895,-0.127,124,0.47
lzaitmtdxa,58,CAt,-0.4855,dOG
vstuwhrngi,cAT,cAT,-550,154
0.3045,0.387,-378,frtofdcjsi,-0.004
CAt,DOG,-736,-260,vedqddawlq
cAt,Dog,cAT,cAT,qsawqutdvq
Cat,cAT,khjmsffxgn,717,0.21
txchcynqrb,Cat,0.4755,-0.163,-0.2345
