pEt,sfhklddrtu,erayhaoqqv,mqkxoakvlg,mjjdvwokmp,dpxynmpcak,hfoaggfraq
cAT,0.3395,0.0225,-890,gvitvtaxgn,rnnuvcivfh,0.213
CAt,wsxzkrvsoc,-0.2425,cat,dcbupzmkjl,-621,644
caT,-0.1815,0.051,dOG,dOG,-655,0.4405
cAt,0.425,knuunbulko,doG,215,ljyxbvdoat,zyflreukxi
DOG,CaT,jmzahffmnf,-0.1225,163,-957,nmqeaoqhel
288,mlxyfkifjl,pwxosremwx,dOg,cAt,0.0635,syrgzikhft
foudwycqny,266,prlkybzenp,-775,trsiixkcgg,tzrynwbdvy,ygcjtbhdxx
cAT,vospcnftge,mruobhpcqx,523,-0.144,0.2605,DOg
cAT,-0.4815,-0.139,xebbvdwfyz,-0.1695,kdcspbccjw,Cat
doG,0.1715,caT,tkbmuqmszp,DoG,-0.302,-0.3435
Dog,-713,0.174,CaT,DOG,66,939
DoG,bffuijozqh,-534,-0.333,-0.115,835,CAT
dOg,DoG,-26,-17,-0.389,-0.1825,0.313
CAT,ddwhezpxaj,ibivofeefa,DOg,-840,qsshbivomh,292
CAt,644,wjmitdebtf,dtvjyuxaqg,-0.3265,epvalspeca,0.1435
101,qmzayrsnqq,trklfprliu,caT,dplbfmojcq,cuxqttnsxj,-601
cAT,-0.022,983,-0.101,-0.348,-0.03,burlwvagfr
120,-505,-0.1455,-0.0835,DOg,823,kzspprtayy
dog,CAt,xuekgcftvb,354,quphpbdeob,431,962
109,dog,0.4135,rwaeidajgc,612,ywwaigzxmt,-915
0.4115,-0.367,-0.0655,zaexwnougc,-0.3705,0.459,-0.091
112,zholvuellg,0.457,-543,qbeqoxbbml,549,vzlghykdki
DOg,0.0175,-686,-440,DOG,-352,-745
-799,nokptwfmgv,yoensyiiwe,-24,580,700,Cat
dOg,0.285,mhijndbdbg,cat,eswsxmhbcx,caT,ciksydmacx
Cat,-634,dabdiiyprk,-51,cAt,-0.4515,0.4185
Cat,cvfrcvdctw,hnudxqilyp,0.1075,206,657,-760
DoG,txvurfmdrj,-0.1485,-848,dog,550,0.0725
DoG,uoczuxmovk,pjprkcrysv,cat,0.1215,-648,zqkmjqaeqd
dOG,Cat,835,128,68,-766,0.4305
caT,0.2475,782,968,dgbwhacext,tfhpmuwfcs,-0.439
caT,-0.448,-826,-544,-0.403,0.057,-786
caT,-680,976,bpzlhgluhe,0.1,mkgprqupbz,rgscvnlnur
0.0745,fsfpxxdeno,ndvjudxeya,0.0465,-705,kudibaijpe,hbjpzcncnz
DOg,-0.0455,otrygxgrtp,-0.3765,-0.1835,nzqmszdsqk,121
nxsozrljlh,684,-732,-0.051,553,rmjpgcrbbn,-853
CaT,rxzdelwugb,Cat,-420,0.4585,pzhsudpncv,dOG
411,-0.358,gfrwcaczyh,0.3315,DOg,aptaqgcfqb,cfaaiedhdp
bispqpwady,-878,ejgralyqqh,19,-680,-601,cAT
cAt,-687,788,64,Dog,904,920
dog,-641,uinjiduaed,dOG,-0.373,DOg,Cat
Dog,0.2635,CAT,-338,Cat,14,-0.128
dog,dog,DoG,435,rhzaorzpyq,DoG,0.441
94,0.0035,inhhxmpimb,entixmuzvv,-0.046,91,-961
cAt,187,DoG,uffaevyljr,CAt,cat,myqjnmldue
CaT,329,-932,-376,-0.2275,efdkejawrk,-0.3775
dOG,-0.151,974,caT,-0.283,-43,-0.08
CAt,-297,471,didhbxavza,pjdomjlqnu,0.0155,-0.2085
dog,tijtvotvtt,cat,-0.32,0.445,-443,tumnctzjio
doG,-882,tmxthogcck,-0.083,139,rhybmelfwk,683
cAt,-962,0.1385,-0.4665,310,xsbdwllgbu,0.384
Dog,eedbujgyyt,CAT,oszsduiqkw,DoG,-0.427,iforlidknv
dOg,128,kguwfqwnwq,Dog,-0.315,ftjsdlvsww,-0.013
0.0655,-75,cAT,zgzaekcoin,-635,syvvgpqyok,0.3225
-287,-456,996,6,DOg,-0.1855,gmpyjmfmbr
doG,xflgqfhziv,Dog,-0.2755,-359,0.064,-0.0065
0.1115,xvydfibeny,lgegmgamrm,-538,guygmcuiaz,-489,-151
doG,-292,DOg,rwqyoedlho,181,-0.3195,414
