krblqyclmi,qemppzelci,dmlsyuizfm,uxiafwlmgr,peT,xcyqohseuy,znprwoahsv
0.033,aoborywhik,0.407,0.216,-360,507,81
-855,ynglundzwm,Dog,heokjtdosv,Dog,92,oiebjnhzcu
0.3695,-1,998,0.2835,doG,413,385
454,745,-635,-0.0095,sqqfvhpjyo,-103,jglehsjsaq
nkhimefpam,cAt,uugmuucfte,dOg,-0.393,-0.164,-0.4605
132,DOg,453,nvioygnbtm,doG,542,cAT
uwntgiuxsi,jmvhjwkzta,-599,dOG,caT,-0.079,-192
CaT,-0.4465,0.2265,eloxnshsyp,dOG,0.4655,wngxsmykmj
edchagszai,926,iptfqpxnhk,-0.255,0.163,agsmndsdpy,-480
igkxsvbcdd,-80,0.1575,-680,CaT,Dog,ihrxmoqlni
230,doG,13,ckxrfifcna,463,-0.12,-735
191,-24,pkysbazjfj,-0.3135,doG,-866,-0.01
-932,CaT,-0.1815,dOG,dOg,-608,-0.05
-0.3605,0.217,0.0455,jqtvbbxwza,cAt,nuberrzomz,-0.31
cefuuunwut,urybqxberf,Dog,755,Cat,tyvpcgpjir,-0.076
-365,-219,CaT,-0.316,gteccyjcqq,0.177,qpllqcskif
0.4675,-412,CAT,848,-0.075,dyohwqutno,-0.337
jsatywvkvl,caT,cat,cat,CaT,lcoownmfoe,-792
415,ueflynzxru,DOg,mxwfrjkqqm,rzvhttvxgj,wmrpoisrco,cAT
521,cat,DOg,ofeexkdbmu,dOG,-0.0255,697
812,caT,-252,uzsdrcbpms,dog,Dog,dOg
vocjtztfiy,uzilcrlkkb,fbujuzjuhq,wnxqnmhgqi,CAT,cwrzfplxxc,-276
mzislqqbtc,cAt,0.4405,trbysdtpjt,Dog,0.415,-533
-461,0.4575,dog,301,dOG,Dog,caT
uhrrpeizxf,CaT,-692,Cat,yzhljfzelz,acspadjpve,0.1125
-0.026,rpemcognkx,466,-0.078,DOg,-0.1895,291
CAT,0.3665,329,-759,CaT,0.296,0.402
-0.181,371,0.2635,-655,doG,0.2635,0.434
-0.028,prrowknuoi,-421,-236,dog,-670,rxyxzasjky
-0.4435,-135,-686,-0.3395,CAT,631,-1000
-0.3135,-0.359,-270,ywvozclbrx,dOg,-194,dOg
395,-0.2015,0.043,amadrdszfo,CaT,otvgnucksw,dog
gashfiquof,0.3415,DOG,0.009,CaT,-0.029,arvpezxykz
mtpcpmaawb,425,CaT,-0.418,dog,kucisjbpqf,203
279,0.325,0.484,ladkwonflf,dOG,201,rynlnrznfe
