dqvxmntesa,otybaxmyql,tmbpkbagbo
obdlfoooyh,cAt,nmvyyzambe
766,edekxuavyi,602
-747,-701,ebxtbsaean
cAT,kbxhnuumyb,DOg
-0.094,DOG,zihpaogxju
khuexhlcbc,ylpdpogknm,-0.1395
ikvdwjcpqa,0.001,-694
400,ykkhtiwkyc,0.0035
idbrehdwrz,0.11,-0.493
CAT,uemeajxvrm,DOG
-842,cAt,-0.3075
Dog,wahnescvav,ppkqsltmve
-0.351,967,-0.3065
153,gpyvhfrqzl,-0.364
dOg,qfslzrrnkn,-0.1635
cbesowdjhg,384,-622
-0.3795,-0.363,Cat
-0.159,ipdtcnpfgv,10
xmzkxeimif,718,-0.429
CAt,cAt,34
qnrgbzgycc,0.367,-0.147
-990,-803,yxwwjmffdb
ujteugxuko,0.305,-127
365,-0.3955,wxntgrgxnz
0.0475,338,wkrkbpqbhq
0.112,rwntfgfaei,ghlbvracll
-0.0025,caT,dOg
-386,caT,CaT
cat,orjkousgiu,DOG
badkhvhjni,sjzecmlfie,0.245
-0.286,ynruqpcdjz,-0.0925
0.048,-0.3985,0.1055
