Pet,mhsgkauqew,odamazgczf
-770,cAt,0.171
cat,caT,-402
0.214,-155,0.1205
-0.335,663,127
cAt,-0.5,848
rscwjuqxgt,0.256,dfqzlnxpka
cAt,0.276,caT
caT,-561,nzmrbjtumz
doG,cAT,exegcstzuw
cat,hbhzumprtz,289
dog,enzvdfugaj,382
cAt,-623,-320
gvfgubzsxd,792,rtvwulwagb
0.4585,cAt,-952
bsbdxzdnks,0.293,-490
edxylfavue,-0.305,-0.3905
caT,mdhbkibtsi,-0.1175
qtgvuinksm,-0.4965,372
doG,858,dog
dog,-372,-0.228
DoG,dOG,0.463
CAT,-0.1225,0.0875
-185,knykdonwlu,-0.0985
569,muiqxrfwyb,0.455
cat,cdngvdzhxf,dOG
dog,551,caT
cAt,0.471,-907
DOg,226,tntckmcmsm
946,0.082,zphtskcuqx
-0.3375,DOg,CAt
DoG,-898,-802
doG,CaT,0.458
-0.365,Cat,0.3405
Cat,503,-0.1555
DOG,0.1615,-435
dog,CAT,0.115
igvehzlhhc,0.363,-0.499
dOG,-38,819
DOg,0.2875,0.0835
CAT,-0.0005,0.371
-310,cAt,tavfptqqbc
bgylttlvrh,-843,obhdtmfgty
CaT,-0.046,-808
270,cat,-472
caT,becrijzbiu,CAt
0.3495,0.136,-544
dog,wqxvymhhph,0.2015
-0.423,-0.3845,-430
dOG,-220,-909
CaT,mtjftsrggg,476
DOg,bzcginkaqh,naziudaqjg
cAt,cat,910
dOG,cestoghxjz,-0.0095
dog,DoG,-614
DOG,oovyfhjoao,594
cAt,sihtgboqsz,0.067
DOg,-0.153,-592
cat,-0.294,cAt
dog,331,aihoehqqjj
