abdlgzxhyn,pgarxqttht,rdusczddld,cjmfhsulwd,akskaazidg,kuxkfekpxl,utvntymkcg
cat,cAT,dOg,cAT,hjqeuxbszc,725,-843
-808,451,0.233,-0.103,0.1655,pxdxtbxboq,hxltcxhutr
tumsygmxhv,zctxzdwcfy,caT,-56,dOg,-0.192,0.1015
yhlzpifyfo,-20,cat,0.329,cdfzzhndkq,cyyzxjlrtu,aqcnhtmfem
gvjlrrmssf,-0.176,0.436,595,-539,uklpccdnzb,-0.0455
cAT,lbtkxcmkal,cAT,hlufnqndqf,680,320,lodcrriwom
-927,258,ditxkchvtg,fxxiqsslfi,ukohwedwiu,868,968
-0.033,0.0205,dOg,cat,sslhpqcgar,-0.316,0.0035
0.2655,41,0.1965,0.189,166,490,-357
755,caT,0.395,-78,dfmzguyuqe,dOG,DOG
zdtyfhgugr,-486,dOg,-762,CaT,0.0225,348
-0.485,-0.3595,iarspfcocp,0.33,dvvrurjphf,210,-660
668,-0.0015,-0.2965,tsgtdacqzx,xxzvkmueeo,0.278,Dog
DOG,0.0585,zejuyfjxll,jboowgrmxm,CAT,vqpkqjocff,caT
906,CAT,579,-726,CAt,-932,dog
686,-0.371,-601,xorzchezsk,0.4685,570,552
iqzyfdknlh,CaT,-0.346,kbmkrmjvpz,dog,Dog,0.3375
33,-799,-625,hkyngwvgfc,0.259,sglcpsmqjn,ppfcsakpcy
-241,xensfectbd,edfezkjyuc,-0.4455,-140,zrccaxpidt,dnncpizuiw
0.3225,0.342,lfquqnvhal,-99,0.2455,-584,0.155
905,dOg,Dog,uefdsteptz,-0.0175,0.3635,yqqkzopyew
300,jnfisdphll,-0.202,-0.1665,0.3135,cAt,87
-870,vmmsfdrrng,CAT,CAT,0.3345,cAT,befvqujjrz
678,828,enshjojgxb,damwupkwbg,-0.0035,699,gdyttqltxe
wwoojtarmz,-0.198,CAt,221,-0.4075,-0.0185,0.474
-869,483,CAT,vxguvrnpsl,0.4635,cAt,tqlkgtjryr
-0.387,-0.0495,doG,-0.452,-0.117,-0.06,erdmngozyc
