syaynwldkt,tmlicrfjgv,uftgtnwssn,tgrrjswipe,uzpfcesqdi,kyvublidxs,uzwaemmpwr
dOg,shdcbwkjbj,cAt,cAt,0.133,-976,-326
svoyyunxcs,ytprvnfcdu,-434,-64,-0.3355,khsppfliwr,-165
xvoqkwsxvf,-561,vgkzvjlizv,CAT,cat,cat,jizzrajdgn
uuhsukxpuw,zwzdqdgfyr,iuozwbyphh,-0.4065,utshmzwrjp,cat,gnblzftjfi
sifokulwqz,-0.33,knxhbdwxiy,0.3605,CAT,egcgbkxktn,-464
yzgypdfuhf,agkfuugiyg,CAt,kgfmlmgsoo,CAT,DOg,-419
-981,Cat,fsjqfcvolv,bgijqvjfhn,0.468,0.278,DOg
-281,jidleplesc,sguaqgzyap,DOG,-0.402,-0.44,cAt
jmorniiwys,asmapabkmt,0.005,eytyegmufb,caT,-623,-670
-0.2015,-0.051,0.012,cat,-574,-134,mzbwxvgzyg
-174,Dog,28,0.2065,gwbkohuxvv,-849,cufmlifbme
plxiogqpku,-322,0.206,-0.0975,cat,qbsvcrappf,0.292
ocpruivaxr,-0.301,ogsoumkeux,-877,dOg,0.166,614
tkbheredgo,0.397,716,0.4335,886,0.232,504
-0.2495,CAT,mqypynqucc,883,dog,510,hqymkkdduh
yubqwcxamj,-803,-0.4275,-0.481,-0.3555,-892,772
-987,jjszdpidnu,vhoahgbyzz,rtbuttfvpn,-0.313,DOg,-257
dswmbkxsmo,zyqfngxerx,0.3115,DoG,tohwchqzgi,-0.3795,xqhmtshmxy
0.162,966,DoG,-500,-0.1405,Cat,cAt
0.2015,-942,-811,jtelzhnzsv,mfhtpfzujd,CaT,0.4475
rapbdqgwtp,799,CaT,-825,doG,0.0505,-0.3845
-0.0765,0.4055,qmvfjhepan,0.3565,-565,0.1685,0.133
lqwvyeanab,uwufxbresh,-0.025,caT,421,0.3335,nhqeimsibl
caT,wriqgjprew,Dog,cat,-460,-0.364,nmqwjowccl
15,jhjbkmvbfw,vyrcrcujjn,jgxuwwzdog,-0.42,qpnsmtrcgc,ebeueppewt
fafcjpxwvb,-0.4845,tzbqoobaab,563,-0.2265,wgwjavoyrg,-0.4685
-0.395,aqoagmqmcy,hobxlyxqft,cat,lfvsnhlrap,Dog,422
537,hwqnfxaekn,-0.376,Dog,350,0.3305,sgmtvsquxq
zghwtwwise,mjyvhfcmne,-0.178,upjcjshtkb,lpshndcbnw,emthcxhkfk,0.2175
Dog,699,-834,275,cAT,341,-0.191
aqinffeuuu,-204,qmzpqllxfx,wrnbimiove,Cat,nlsvzqquhr,-0.144
dOg,-0.115,-0.073,yuxwwdnouv,dog,qfdfzqnrjm,-693
Dog,-999,722,-55,-0.108,cAt,915
voadulvfjj,-539,cxervfnsdu,hsrouimhts,wzfpjwghig,DOG,-424
DOg,caT,667,-748,qswtqsojvl,0.279,988
395,0.209,-40,-61,iwmzgwwrzr,-0.0275,0.319
cat,-0.195,0.012,-645,-805,0.11,142
jmrtdbehhn,pskewujwiq,atmumwyyej,0.2965,0.45,199,0.156
ugbptwjnxv,-0.161,tjkdywyarg,640,-0.101,pirnftdher,rejhnwsnps
