jdacqrvvva,gpkicqbwsl,trgnkmrhqt,ufxwrvugwf,plobnobnmp,peT,iqcmnzwyxr
cAt,-0.292,-290,paeqsapjop,qexkxvrzdp,doG,vywnbmagvp
-0.4065,CAt,jefvuhfymf,-0.11,Dog,cat,-163
399,778,0.3995,shcgfwsdch,550,-0.162,CAT
964,hpabjstnot,ierqirdulo,DOg,-524,cAT,jppyrxcyfz
-335,0.474,cat,929,kkcnltjnhg,CAt,0.278
waxalqcxfq,doG,hkcvihfwqe,ejpdoiusgi,dcbtlonutn,-419,0.469
DoG,0.04,DOG,0.1025,csdvacawpq,219,tavrmpdjqw
-723,hwbkzqruez,0.3255,ffuxybcayj,-117,DOg,-556
jqxcphogak,-384,-0.045,222,-0.3435,doG,mnkacvnrnz
0.226,hqtkouafkj,-503,Dog,-0.405,CAT,0.0715
