wetwnbwpby,benckllibh,zjxjoochxw,ubjcyiimeb,tbxrmtduhz,zcgtctyxmh
-635,245,-0.1065,-514,568,-0.0455
-657,ofwfcexldd,dog,dOG,-31,mdjjtoaffa
-785,657,CAt,0.1,0.35,hrcgxslmug
-856,501,-0.1225,0.1325,670,dog
-0.2955,-0.2705,-0.4995,cAt,hioxfqtfun,-459
0.405,cat,qvdvdgmcox,xacogqljqs,DOG,-0.45
287,bumdjmykms,465,zafutjlern,921,-0.42
-0.0655,-920,cAt,doG,0.24,-630
Dog,ppqzcqhqpm,-0.0735,fxxxtgajcl,yaasnvwfrl,sjczmhimok
-0.041,-0.4355,0.0635,wvkekdbuaj,hcbqkqyinc,saasdozfww
jpquxgvpfe,uzviufidcx,pgfrvahdhz,efburellwj,376,724
400,taopqlqelf,0.2055,393,lpvqgsuahq,gkkvkjhpzb
zistfuuvoz,0.483,-262,jgthepbtuv,rldtikjabe,hywyqhwoov
grjebtmfyi,0.146,napofnjmgw,wvgpwfyzxt,khsqpojjzc,-0.175
iickghabap,661,0.424,-0.031,aijrlqmelj,dOG
-0.491,exiuvmknkp,-207,poxofolbxp,900,nyqdjgkkkf
157,DoG,bkitztvbbr,-0.446,945,-360
-866,udwsdjtzlm,ktvyvdfzci,0.136,297,wogdyqhrzv
-0.392,-0.0955,-145,Cat,jhmgtooowg,vpzjnycbpt
tahtzaqszh,-623,CAt,DOg,-815,enwiwvnqfj
0.0135,dog,-407,-0.339,-0.141,mepdwojnxt
0.4265,-940,-0.383,-692,0.124,920
doG,-238,-0.01,0.103,arplrjjvle,-0.116
-0.401,-0.4535,Dog,0.0525,679,bqsqriqbvb
-460,0.367,744,-968,584,abieffmjjt
-672,dOg,DOg,cAT,164,Cat
Dog,Dog,955,umqmqqeajz,0.053,0.42
911,-210,-247,0.368,-686,956
-125,200,dOg,550,kggwdokwrc,slrgwyjncx
262,-933,0.3085,0.2645,-0.2575,824
uekhxwkvfm,kqjdypafsq,-0.1285,0.157,CaT,-0.228
cAt,0.067,mfnlxvackp,0.3195,DOG,njubmkcbnh
-78,-667,-0.1755,zixzfshfyy,Cat,-0.1445
dOg,-739,0.1335,ckphfcomep,-0.162,-860
-917,744,105,eitbeqynea,0.393,64
mkmuhuwhnm,-0.0095,cat,frlemqdmep,-0.177,-0.076
421,0.018,0.252,-0.2345,wekojugxkh,841
vqndxnsddh,-0.369,-852,30,wsjygfcajt,qqtwisaaam
-334,0.4945,-273,0.4745,-0.0355,pyfgcyhdfw
kzjsildwew,-89,dog,-25,wkcjfcexnz,-730
0.161,omoxanobog,zbrlrlspfv,0.328,-0.229,DOG
0.192,-191,503,677,DoG,tzsvkolhtj
-0.4325,-0.0825,199,-0.302,ycckmpbbtd,0.001
876,ztjccdrncj,-0.4755,cAT,wjihoyzbcd,211
-769,jfjystksop,946,Dog,doG,47
429,vmwtxtodsr,245,624,fvsiutgkxp,0.4875
-297,-440,731,auoclzsflx,-2,cat
zcmhvmxaia,-533,DoG,-0.111,dOG,-0.1515
kyyqslycwo,341,-0.262,-0.4445,DOG,cAt
0.29,sxgwxgrulf,Dog,doG,urpkfmzipa,-0.1015
54,doG,owsxbyjcud,-0.349,0.247,0.0805
899,-0.1375,-0.1195,mdyciogibb,doG,CaT
