npgqcteqhh,vqbipzolgc,PeT
fnjslnguev,-360,dog
-876,849,0.085
upicbxrmot,wgovkiqsmu,718
antbmkbrgf,mukcagdycb,0.2385
408,-870,cAT
dOg,-509,cat
-0.3215,0.318,dog
CaT,0.087,goxnnttzjs
-0.128,dfqxmunqql,dOG
dog,-0.3415,DOg
gneieepzmy,-647,877
gbrewabums,0.3115,cAT
sdxmdzlogp,24,Dog
-728,-538,DOg
oeafzwkaop,-694,uhigdceytx
-0.4265,-0.413,DOg
dOg,kbxqcnhocu,DOG
-0.177,-776,Dog
wuwpxstpmn,ewagkiqrko,Dog
rcaqgbfvzp,0.316,Dog
DOg,-0.467,-0.277
ocuppofxze,0.119,okvrzrxlrj
pzxuiyzqfj,CaT,CAt
-0.3515,-0.0285,DOg
dog,0.436,DOg
gdlyaswhfd,DOg,DOG
psebfksiyg,0.032,DoG
eppwwuqgls,480,0.4485
dog,141,cAt
0.024,Cat,644
urfjxbaaxi,229,DoG
-663,tfwvbmejwu,ocolqblpca
-0.3145,-107,dOg
olqnuflafc,-618,dOg
rbumyglltr,cat,caT
cat,caT,CAt
dog,-183,-0.061
214,CAt,cat
kmgobayose,0.049,czovlwuocp
yyloyqmonz,-0.2725,Dog
wwlxwswayg,-0.0285,-130
0.4785,438,DOG
gatwckwcjl,169,dOG
idqgazuwtl,0.062,dOg
-885,cat,dOG
hvjembpkdv,Cat,CAt
-728,156,-186
zbripzdjec,0.212,-283
-661,907,-0.0145
CAt,-0.2355,yvfsaanqkf
caT,-140,CaT
cAt,-0.3075,tprmvizevr
0.1925,owelpdcfdl,-449
-0.195,-0.47,caT
ykspkdgkgf,DOG,dOg
Cat,674,caT
doG,mrwrvrndmr,Cat
mgyhhlybnu,-0.41,-477
-0.4555,wnxyvacphq,DOG
bdzvoxujgu,215,CaT
-0.377,DoG,dOg
dvmrpzjleu,0.2685,DOg
dog,CAt,caT
