cfgjknfvvz,pet,ctkjfuiqhy,gzdxmixwbu
zzcvqnduzs,doG,962,CAt
308,dOg,-692,985
-0.453,dog,-0.2875,-0.254
hvvyegaoyd,cat,fgzfmplrkl,594
-202,CAt,-159,CaT
dog,cAT,-0.166,-295
dog,dOg,cAT,CaT
825,cat,307,doG
0.3265,doG,-0.175,-179
0.4175,dOG,oevlpqvuyo,gaqjugrwac
-664,Cat,iejbcmkbhx,-0.4595
-0.1055,cat,0.0835,-660
nmbfcdvgim,333,0.274,cjbkdoazqy
0.3245,-0.141,89,geqxgbqcyd
eidnohzvbu,CAt,nftizsjvtt,-0.2775
qpoqwnceol,dOG,cAT,xhfwpypzbh
-228,987,0.2435,liqcduyzsl
-0.3235,-0.198,nbhudtkqqn,cAT
mlhvmexknu,dog,0.4285,dOg
vxpgjgguxf,caT,0.0895,bhmklnqryh
xhcktywhra,cat,CaT,hxcjiahbof
0.27,DOg,0.254,uivwtgzfbf
CAt,Cat,0.0935,0.3285
435,CaT,mvubwjjcpr,-0.0525
doG,cAt,Dog,513
-0.168,CaT,ghjtmbsvph,0.4465
-327,cat,sfsfrtspsy,0.181
-354,CaT,-761,-449
-746,dog,0.075,cAt
0.3525,-0.0065,dog,-239
-0.156,ruppjvvkpc,cat,wthxmtmhot
312,CAT,CAT,-0.3225
kuhjoisbiy,cAt,970,128
wtnthxjtar,CAT,-971,459
0.19,832,0.3565,0.0
-155,dog,765,dOG
DOg,dog,nlykbsrnry,599
-0.201,Dog,0.322,cbreowffgm
-115,-155,CAt,-0.2035
418,CaT,-0.016,1000
CAt,dOg,560,rekztwgyjm
0.217,-851,ajigmcxomr,-0.344
bbrgzlgdhs,cAt,caT,-826
-0.0805,-0.0975,nknyitdpzn,-505
0.3,dog,-0.444,-780
795,dog,curgpequwy,aqygertlir
489,caT,804,965
fblmyulkdz,CAT,447,-427
-0.0915,0.352,556,imbstspubt
cvmvddutsn,Cat,caT,dog
tgfscbxwdl,-171,onmzijjiln,0.029
-399,cAT,-0.3565,-0.3645
DoG,CAt,cat,0.0765
14,623,uppucsgeae,sbzswwizoj
149,DOg,0.192,dOg
iotoetgkfh,30,znabjqdwch,-0.1845
vytvpxsppl,DOg,-0.476,-0.297
0.0415,CAT,Dog,-0.1245
0.106,pqowuwsath,697,351
0.2045,dOG,254,339
caT,dog,vwyiqqkaqy,yokmnxjllj
477,cat,0.084,433
83,-411,-445,hjuusxhfas
0.0,Cat,-0.256,-0.0475
-0.376,wdiksgzqji,DoG,-0.1005
-873,401,-0.472,dOg
24,927,0.101,0.088
992,DoG,0.1665,osjewkisrc
673,-554,-502,-382
dog,CAt,-740,0.084
0.3585,-406,-0.0385,260
-707,CAT,0.367,0.199
704,DoG,Dog,gztbppgjtl
wnqtxyfktw,caT,-506,cat
0.0415,cuwaxibkqo,158,-791
pflxpskmel,doG,CAT,-411
caT,-295,-846,fmwtdsofpg
-0.1245,-0.432,-0.169,CaT
apishofbmk,CAt,147,DOg
xleqhvedll,DoG,-259,npkkyoydxc
wispehkfgy,dOg,Cat,Dog
ixqjcsjece,jmyxhbglpw,0.4485,-51
dOg,cAt,498,-0.137
CAT,838,gpuhowzvyj,262
0.3665,zymobmoxpl,DoG,CAT
Dog,dOG,589,dOg
-0.0595,CaT,uywytbbswg,686
466,Cat,iamewdslbc,-210
0.162,CAt,0.041,0.1565
-0.089,cAT,cat,-0.2365
mhtxuvsaiq,jiyxmxects,-704,oiqywdfjet
arbqfisntq,0.33,-0.166,-643
-576,poqlgvuzes,dOG,956
-647,doG,qhkncnztmd,lhpqxvlfej
CAt,CAt,lqlmtbnise,ppnlvireww
0.4865,cAt,897,Cat
