Pet,okjaefqtgs,iqeqqjrqen,oxrekxqejn,jqaybysicg,urzvwoyqjt,hoxcpgcsob
-510,0.3795,-0.185,cAt,0.228,457,-703
DOg,-0.1845,345,-0.0455,412,jrfevafhka,doG
DoG,0.107,694,-0.496,-0.245,bjmwakovuq,pcaoauxcby
hhkaonhlse,0.326,qhqrilbevl,-918,niyzxofagr,-170,0.389
0.1595,DoG,mcdsqqyvvm,-0.102,0.0875,-0.3825,edyvvjbuit
0.369,yfqlyhafwd,gqyiezlpoy,993,szkemattqa,794,DOG
DoG,976,CaT,0.373,-0.1705,-225,269
cxjamgacil,-0.2265,akgqeavrdn,ppjalptxdu,eyjwrzgdpy,-423,-0.034
dOg,kjodofleaf,-185,-970,-392,fynrmrmdtj,cczdjearxp
DOG,DOG,eosrjslhgu,CAt,caT,787,xgibgllolu
DoG,-0.3215,-0.2555,0.3755,sqksebufsn,-381,0.2825
brhkbpnofn,179,327,-0.387,doG,382,-759
dcixvjwdse,xmalwtsxqz,DoG,CAt,avhdwcmmrd,ilqghbhuuq,886
doG,jicnwatdbf,-0.332,0.107,-738,641,zjodgsdtzw
Dog,-0.349,-186,-0.112,DoG,azrvzkhajq,0.368
Cat,174,-72,-0.4155,-0.371,btdxmtvpqy,mtmazvxsdx
CAT,ngukylpgnh,doG,-765,Cat,0.287,Dog
dog,-465,598,724,ockwdxekqh,498,-0.2945
Dog,oklywpdcde,-605,-0.1055,-280,-943,-0.2185
CAt,cAT,299,odqohytvlc,jzzlhioesc,rukcorbtmy,caT
doG,tubogxdauc,DOG,0.1855,DoG,-0.1275,0.092
CAt,zcboigdqcb,505,-0.135,xwoadcseyo,-360,0.093
doG,-0.2725,-13,-82,dOg,gphkuwsojw,-0.425
Dog,0.1265,bdyutgbzhn,yxhglmfmbk,vcskjfiykg,rpyonfmjch,-0.1865
dOg,viygqszqox,Dog,-0.127,0.3815,689,0.181
-567,160,-758,ncjgvcabpo,0.309,-516,tdygzunkzx
-838,fopxcntpxg,0.328,npdtqxjmwy,nybjrsxpgg,0.4765,akfwpbtsfx
DoG,-0.243,-966,zwswseqxrb,-0.4625,-57,trjstxjbbc
dOg,0.3045,vhrykujrmj,0.1795,-604,0.341,cAT
CaT,jhgrtogpyv,0.05,0.3,-0.4055,465,-0.3265
