mblmjgqsna,iasodggmrl,fafuondjns,hrkpxwaavl,sdwypxowqg,dzqnihutsq,vcjbahzhas
CAt,zcljlxllzw,-0.188,-0.1115,wdusnxcxfa,522,dOG
lcwtpropsq,qpyulnmwga,-436,doG,cbswthsubj,DoG,-757
0.388,-103,0.453,0.377,-0.1605,cAT,-0.0205
-558,0.126,0.4255,dOG,-0.4195,ckwdipquxn,926
0.1575,dkpxrhqbla,118,-0.1855,-0.3995,-0.408,yukdxxrzkl
cAT,iobjahbuxx,dog,ngmzttvfix,acpoomvbjl,0.4465,-631
-0.487,-0.304,doG,27,977,pqresgtolg,dOg
odjiskqsbp,CaT,-521,qjekexdqpi,-811,96,facbinoeup
-770,mpdgyqfwsp,788,-0.331,mmdhqqkvpc,-0.3265,mipsxmewrx
-0.1575,cvucbliiyq,bbmonholqu,DOG,216,-0.0455,krdqtbfjay
10,0.4325,labeeayyli,478,716,howjaazajd,-0.3245
tdiqoayncr,-0.419,Dog,600,-0.208,wkkmkpjzam,ozgwbgpszc
twfzyatkzd,0.0095,opbssmipay,doG,-0.432,caT,-0.117
zoleghpdjv,cAt,-453,-0.161,caT,qggkcimqjm,Dog
124,130,hcgcvkwqrn,thfqjxpudn,-240,954,-0.4255
-0.204,-955,npsyfcgigf,muzalnurya,tkucjouorx,DOg,-860
0.335,cat,cwmpgrouub,llagxjjcmu,-663,-221,357
-0.0195,698,caT,-187,0.205,whadafxxhr,-0.1365
DoG,613,-889,-682,93,-647,vkncseyiqu
caT,956,DoG,0.1245,flhwlnhopg,klcmyizxol,103
DOG,-368,zipwkejurq,rebhyrpyqq,gvihyatvzi,caT,qjiabhdsxd
869,-350,onokxoprfa,548,gnghhhkgxz,DOG,zhoyfjvyot
-0.3905,0.061,720,irycexgeie,doG,0.473,czgrlukhuz
vxkryphvch,-0.0115,0.17,menaguafac,yntmwnofba,-0.0725,euwzyhcdqu
-987,-648,szilhnfyfv,upgtlmbqfe,0.1185,dOg,ccvupwvsfh
agrkrezgwf,955,-307,201,jpetagklcg,DOG,0.5
