emahugiazi,PET,zgnyocqcxc
CAT,-0.3995,-635
fgvklkbypp,cydtrlysnm,-270
-0.4205,CAt,-924
mbtbciwsxu,988,891
xdsgvzfdrs,CAt,tiflxazkxi
ashalhotyj,CAT,pvxsqcmpos
440,oaaaphuagc,-0.297
0.26,DoG,otzvrucdro
-0.0725,0.002,0.4975
-0.194,dOg,pktrdmuhbp
-0.155,0.2215,-0.2465
-0.09,caT,dog
-0.4455,doG,CAt
0.346,CAT,-834
-634,-967,-0.0825
ifduzjjeus,dOg,-209
-0.353,CAT,cAT
0.1175,CAt,202
0.4325,dOg,494
0.2795,Cat,-569
CAt,doG,-957
0.48,cAt,-820
tscvxlfdgc,-0.182,CaT
-66,CAt,cfcpxzbuvk
brfrqkcqvz,qlnqrmbrrj,0.2285
kzfaoavxar,dOg,CaT
837,CAT,ponosqqhqv
DOG,dOg,wqmohdqqsa
cAT,dOg,cAT
jdsgnpbzva,dog,-0.037
dog,dOg,0.1685
dog,CAt,zfsgltczeo
444,0.2485,-0.4705
-0.4555,ufbithwjhq,uqtxpdyjai
0.2955,dOg,jgbyuhritw
-570,cAT,zvgeslyhnd
705,CAt,-0.208
-946,dykrrjfdtb,-473
-0.205,0.4045,-8
esxvafuako,aobignfwpu,-93
-0.1445,DOg,jmhrjwlexr
duvmittrmr,dOg,nqouonufoy
-519,CaT,doG
