kaibpvrbxv,axurmbtail,ttbmwlrgdn,vrrsvuyxyw,PeT
4,0.39,DOG,119,CAT
640,965,-101,clxyfppxel,DOg
arxwqdwvnu,-0.1455,-0.118,0.197,cAT
odecqljvue,0.0335,yeyqmlrjlo,fgdyfvdzri,dOg
41,-765,-0.1785,-0.1595,DOg
gleoiskfnz,-220,737,0.4305,cAt
0.1,-0.187,-825,CAT,cat
Cat,-8,-0.2725,-0.026,-0.096
0.0185,Cat,0.446,dOG,cAT
caT,0.4355,CaT,98,dOg
nlrummqfsy,cat,787,mruyvrqdgr,cAt
ommpisawhx,0.4765,mjfxvlprqk,Dog,CAT
0.0545,cqitgcntaq,0.364,0.127,doG
-503,-773,0.262,0.4215,Dog
vzzdydyzfw,fswlbrqxya,CaT,0.338,dOg
ltmsviatui,ntksifniwl,ysrpewvsaa,DOG,dog
0.1425,doG,-0.376,-867,doG
ohafnzxdmp,-709,-0.1865,erlhxfikvx,dog
dog,CAT,-855,CaT,cAt
0.425,-958,341,vlubkbqfpo,cAT
-0.2565,-886,klyaurleiu,-33,DoG
222,-596,-708,54,-589
0.322,DoG,eutyjthdmy,-0.2165,DoG
0.258,0.2075,uvkmmzmvxw,iatfjulwyk,DoG
-151,0.1955,-70,0.228,DOG
qimbtqxqgq,770,cbbpfkulxo,-744,uhrzsotfpv
caT,DoG,-519,0.14,-0.171
692,939,Dog,cat,0.396
149,eqrnopkdoe,0.045,cngpwknevr,dOG
-0.0905,0.1645,0.4195,309,doG
DoG,eehjcicdgt,-743,prxxusedoy,Cat
888,cAT,0.4475,0.077,qxzdeytjfe
CaT,240,-0.4395,0.2145,CaT
szlwcdtsam,0.124,iizroquoqe,-201,caT
caT,-20,-850,-0.3865,dog
-0.0575,CaT,0.2445,ipvmsixtba,-977
CAt,zlmiczvfuq,0.46,799,ezrbkwbfku
hovajzgnth,rbvccxffzl,-337,0.453,dog
-984,Cat,tdqbqqmlge,-0.29,dOg
ogbglyfzmy,372,cat,-793,cAT
-0.001,-0.478,-745,lhkfzaoteh,cAT
51,0.1715,-123,-27,doG
0.4555,0.0795,0.0285,0.039,CaT
-541,zlruewnrdy,0.088,541,dOg
CAT,278,giqywiuyyi,Dog,turbmhdaam
-0.216,ucbgqfdwcf,lvuuviewkr,-0.28,DOg
cAt,dOG,0.4355,aiawccbumi,Cat
jkzlhodtnj,qhueooxmia,-202,-0.485,0.336
-0.0105,wsiqfugkjn,-496,-897,dOG
cat,0.037,fmcaqjjona,saguxsvcsb,Cat
-0.351,-0.077,0.146,bjqkowongm,DoG
ekdszxxwvc,-849,-805,-0.3555,dog
964,-264,-590,-0.4035,CAT
-0.0065,-0.0235,0.4955,0.2865,dOG
mzoitcmdbx,dOg,783,-653,cAt
zdacajbqma,cat,CAt,-0.0795,-738
-434,Dog,cAT,doG,DOG
795,0.103,pngvbimssj,hdsuccgejd,dog
cAt,xiukvpozdl,-154,-542,zvfrrxpzmt
-345,-232,-549,faiilxxawl,-0.2405
-0.279,hlcvubpcbu,0.0265,-0.1775,cAt
-0.374,-677,-0.3605,etqyurtcbg,Dog
hwxixgglog,dOG,-736,-0.2155,CAT
CAt,vubozilcsg,194,-0.1555,Cat
0.3925,ftzmlfwgzd,788,-0.3805,dog
-258,-253,pyysncptpp,242,cAt
-0.074,kxitodlfiy,wgjfjkskki,276,DOG
-0.4975,0.462,0.3115,193,doG
rtxqimgsby,cAT,lasqgodeiv,ffalemsguj,dOG
-0.5,-328,-0.092,ycsjdeqnlt,Cat
1,jvyxikwzpk,uusjoctovx,wvckwizbwr,DoG
0.256,-0.021,465,-862,Dog
-0.238,fztdpwdtzp,938,123,Dog
hxbjfvpksy,0.3775,doG,Dog,cAT
degmdxebfm,riakfolhta,dOG,hefkqkulwm,caT
0.456,-0.4575,0.226,DoG,dOG
-0.1135,pngxwiapna,-973,-724,cAt
-0.321,-218,-0.1515,cAt,DOG
caT,CAt,DOG,-0.3015,dOg
fynkrwjbnk,-681,-201,-0.272,-0.3565
-740,xrwajifjqn,-855,0.398,dog
763,lxpkurayhu,0.4205,jylsnhucxb,CaT
uxyzreuptr,hwcqgaaejf,dnwnzeecic,clrozmvylf,-425
qscnfxtinf,jspchyzzxp,dOg,irvcivmdvw,CaT
lsxydmlvuv,hdeswsizsj,-362,DoG,cat
0.282,dOg,uplyavdygl,jcivfzcpuw,DOG
622,217,969,xkrqglhjjg,-820
DoG,-825,asigemomho,Dog,Dog
njzefeudth,atsbyqnfnl,-926,-0.4925,DOG
-0.1665,-0.0465,szbjdhcbmm,0.0475,DOG
-0.1355,-0.069,642,CAT,CAt
eunckyxjdo,0.4735,387,iaxsycuifz,-0.036
-472,-0.154,xhtkggembp,0.142,DOg
cAt,157,jgknhpbwmv,cAt,0.36
