zkerxgfxhh,gjnreqesie,pafgmqrfga,hdlldjntgv,vydtwvdfbq,svylxxcrvg
-458,-191,0.221,0.443,-0.242,881
doG,uqrejzfjzw,794,dwwxdbymvn,17,dog
yyonclwxnu,0.386,766,586,caT,-0.114
cAT,CAt,rhibmgypkj,-733,-0.4735,51
wpllayzogq,dog,cat,133,Dog,-462
760,twifkkpdap,686,569,782,471
-696,-759,gspoozdmwd,0.4525,aqwvqolmqy,DOg
0.4445,-0.4755,dpotteflgb,0.4945,769,0.2015
oxfrzwoypb,-823,-0.165,0.1915,0.359,jxtbthfnsc
538,-0.39,cat,-185,-0.2795,dog
lwgddwqsip,-131,rrydndofvm,0.3345,dcotbuusfs,-717
-702,626,ibiwtagrkf,-394,0.458,DOG
xyntqblczk,0.2645,CAT,-0.3985,doG,-240
-440,-555,bsocmnpmvw,0.2445,dOg,-80
29,427,CaT,-831,qeoubmvwdj,gmyhoyhqtk
laednpcnfr,-0.222,-431,dog,wqlbxufwqd,xefelbnyeo
719,-716,tluyotmowb,864,-54,-361
Cat,CAT,-0.1415,15,npjfkgqrcv,CAt
ozdbyrrkou,dOg,-0.3755,okewrqybsd,tiuoolgqld,dog
CAT,0.0735,0.232,dOG,rgmwtatpmk,-875
-0.133,dOg,caT,eunaiutpwq,363,-993
241,0.0095,vqkanpamkw,weqqhgiljm,245,lznenewwva
czewmmwbzi,cAt,-15,-822,903,agddeigftu
blqdgtpygn,0.087,ssvoyoguxb,543,0.354,151
xhatwmeruu,DOg,543,jpwnigwixb,aqejrarcyg,-927
-736,164,verxgrfbxu,qkwiqdnfib,0.387,mitnwlfbxm
528,0.0175,-0.4165,-0.013,doG,nbjzaxbxrx
bweqkuehfj,yvudxlqmik,-0.49,215,0.071,deiiogcxmo
215,-896,Dog,dOG,iwqsylnmwo,0.116
-0.293,-321,lawezficdc,514,0.011,947
wxzjnuqjde,0.274,jsgxjxxcao,878,304,-539
-0.157,-619,-845,-663,urpngzofnb,sikextxwnv
-114,cAt,mgolxmoupt,951,-796,-0.278
0.3475,299,lirruzydep,vpmjqifgyi,174,nmgycpknxc
-985,hkvzpuksyw,Dog,-0.413,0.293,450
0.3545,qzsvdptiqj,DOG,dog,790,-0.2075
dnbqirntzl,pcifygmpul,0.0145,-0.2485,-959,-0.2955
npmuluytnb,-886,815,rrzvuigcmk,0.3165,-0.178
aggeetjaum,kgsosffllo,obxqxvhiwm,83,-0.118,-0.3625
