sclpfotnof,bfzfccaltm,pexhpnwswb,ftfylmcbrm,lcdawuplfd,cvtbtiafak
asdeyrfvzp,-0.45,17,sczzqasnux,rljxstjiln,0.4905
-0.4725,DOg,CAt,0.447,93,-58
zbofnvwagc,952,CAt,tzwoondjls,-935,230
674,cfvthplzax,xgbssnbfxr,azbbvydmeo,eskmgqpnnn,cAT
nsxfzwnuxl,ggeiotelfa,-740,wggdlqczdz,DOG,humbrawmgq
pebfnzsiqf,oephfeufhb,-0.03,-0.33,-624,-0.07
-0.101,-0.4155,ykwenuiesy,0.087,-168,cAt
-0.117,0.1375,cwmmmvkbhy,-0.3135,ctahsrjsts,0.1835
-0.3065,804,dOG,cAt,0.403,ledytkfkpd
374,jngllflmco,0.0935,yweyszobjk,0.1065,-43
dOg,0.1205,dggkkzmcud,835,313,bgikvltzux
0.372,cat,dOg,vnsjwxlkxt,-324,-0.3235
0.4545,DOg,-476,198,bhcwnxafgj,lkeqjlxvju
DoG,cAT,ahbaxbhtwy,CAT,-0.277,qrdlvpxlyn
prlhiuuyjm,-42,hsvrjrzgei,gcpkmyhsnu,CaT,548
0.02,doG,nmlgkqjvqn,iubgjwnqin,-308,doG
cat,-0.4315,DOG,duysllpixt,-867,Dog
-0.115,saspvdyjnx,dbkwnadnhm,258,693,895
cAT,gqehzqsewv,360,364,zrxhjmrhnz,0.3835
ysnculnlxz,Cat,0.3325,-230,849,cztsskssgz
-0.349,262,mupgurvumd,vhppirqzhe,CaT,CAT
0.4025,-0.113,-9,zkraphrxlv,lvhtybxnmg,-0.3905
kcfbbovmqd,0.298,-0.1925,-0.0225,-0.197,vbeslbhruv
fjdsmzllgx,-0.098,0.349,-60,DoG,-0.446
540,hjdfhxkeno,phvrjvawaq,732,mjezbwqsqw,rzzveydwwz
-0.0705,936,0.105,lbvfxpvxbn,ckbwnroccx,19
ndlpwejbtt,870,uwgalkjeis,-597,cAT,fegiltllmu
dvawnakwfi,408,899,-151,pqmspnndws,DOg
