maeefxlswl,lrytrnvsmf,djsqahrssb,iysooqqzfw,PeT
CAT,-349,CAt,DOG,-0.463
0.1065,caT,yugcfxbppa,0.1095,DoG
-0.305,915,mastyvxsqh,-0.24,dOg
sdcvhyjals,-113,557,satswowzqn,DoG
bxldcfvbqo,ykkpchziax,-0.3635,xcnyknczfr,782
-137,CAT,0.196,cAT,dOG
CaT,-0.266,DOG,pwqykvjhcl,dOg
-0.035,pssboezsil,-0.051,DOg,0.28
DoG,-0.203,cgkuaezzid,0.4745,dOG
-0.4735,795,jtmlpqmrvd,0.142,cAt
0.347,0.487,-0.2545,CAT,Dog
0.042,DOg,fcggcmlxlj,cat,0.0025
-632,115,ypbuwuvzxj,-0.226,zfrreszgbf
DOg,0.1595,izbnhiknpb,-0.492,vgljkrixzc
ynnylljxtp,fjlmofcong,0.003,wkmfkencaz,doG
-586,375,39,-0.4525,cAT
chlzmrynge,168,0.3505,dOg,CaT
-0.2555,jgerapxryn,-0.413,35,dog
-0.4175,sxblwtscud,lwquoptwfn,dog,Cat
873,0.3505,migtwcawml,vmplioghof,CaT
ycprgnfecp,-121,0.238,0.2005,CAT
CaT,-696,zcfqfpwnai,cAt,215
-0.0365,-810,0.254,dOg,Cat
0.194,-0.484,zaclkgpoos,-520,ngafcsgxrv
frlaolerjt,gomvpwyhmy,-0.488,0.001,CAt
DoG,307,945,uazrwbdsdn,cAT
CAT,DOg,-757,0.202,CAt
-0.393,-0.298,308,zaduugrrdv,aisxxuoqzw
-0.1595,0.014,caT,0.471,dog
-104,gcjalevimt,-0.432,-793,0.4625
qlqmfvdhvg,hckncrysxd,DoG,-0.2665,dOG
hantlvwzpf,-866,DoG,-0.2795,CAT
-0.381,972,caT,gthoktqzfb,dfpjlrcgnt
nxutfgsugs,-29,-0.0285,-10,cAt
850,afnhkrwiir,-339,-0.2455,cqoaqysqre
CAt,-0.2005,cat,qdvmrvblyc,cAT
ghabqqpoul,-0.4865,rqjohgycji,udpcfzzazb,DoG
355,557,-926,0.1315,dOg
-0.3715,0.426,0.457,0.0615,cAT
0.4805,cAt,-693,pcftdnkdym,-0.154
0.102,0.161,666,dOG,0
-101,cAt,-413,242,-18
887,CaT,800,guuwrckcfj,204
82,425,stbvijikir,0.4165,0.248
jidtidintj,zyqpykffgk,ylraolllcc,-493,-991
683,-278,vsvtyiaveg,eqqomadozk,CaT
rcemkincem,leygjxtwrx,250,0.261,Dog
curorzltra,Dog,-488,qizuojavbs,DOG
xqxlrqjact,shvarmwatb,tgsllpgrxt,ynedgirntk,cAt
vkyrbqtggy,oiavskckmx,cAT,cat,Cat
idvecfbldp,-0.2625,-207,piauvuonmn,-223
obwkdqnrty,CAt,-15,-365,0.4425
tgzsktutsj,cat,CaT,abzoaptfty,dog
-0.2815,0.2795,314,-0.1305,CAt
-140,-695,-0.1155,629,0.092
DOG,-197,caT,gilvrmbofd,CAt
-566,nhezsrejkk,-0.226,0.3035,436
0.1995,0.2225,lfwcyueuek,-571,xffvgwigsu
-518,-817,qalaiuxcvd,0.3475,doG
-0.3645,CaT,-977,CAt,psfxkykbjb
0.4215,soxjfayryb,gbobkpuhgy,200,Cat
Dog,-531,0.112,vhsyxqelbs,lsmoqyifhq
CAT,-0.428,-56,994,CAt
-0.4895,ujfbntxfon,-65,caT,cAT
sbtzlbaszv,gwauefhwqu,-0.3625,xqdpfjjxno,Dog
0.099,0.2945,cAT,-365,dOg
CAt,dog,195,duprlpbztx,0.1875
-0.4475,80,dog,498,Cat
CAt,CAT,cAT,indsdxsusp,afrigcmivv
CAT,fikmgsgtne,CaT,0.124,vjeoliuqee
CAt,aulkzqdwvf,53,cAt,dOg
ccdbckiqrt,zqqhqpgfbj,-0.034,-0.4935,ncjeiekqcw
-506,wlvjbgmaxu,82,DOG,kkxhfmnake
-0.348,-0.369,bliorzdski,185,CAT
