PeT,jgrapbzveb,mqajxsshtw,lhbmnxwtwu
sbyneeuhmp,ocxdoczbfq,-416,-0.415
0.2595,sajktmdbjl,0.314,-0.439
-407,0.4335,caT,-180
dOG,-757,cAt,-0.417
DOg,bjzfjknvwo,-531,afvlbenaww
Cat,DoG,-0.407,-0.352
CaT,143,-0.081,-882
389,0.4685,669,dOg
caT,awtaiyvowz,CAt,-22
DOG,dOg,rmihiaarpk,0.2895
DOG,nxatzydfzl,nefbhnvzhg,CaT
kmqgazpzpp,Cat,DOg,umqvndxqwv
CAT,-0.346,fzowonppmf,dOg
caT,ngzizcfjel,-370,0.485
doG,ymgwjoecpm,-0.419,petvyxpeii
Dog,-43,384,apgdpphkaf
-20,0.283,-0.3705,gopmjqqzyb
-0.484,-0.0055,cAT,ebatrmhhvh
-338,uyptbugzsc,-248,dog
kmvjqlevto,372,phfryevbvo,743
DoG,dOG,-282,-0.2175
Cat,Cat,0.1345,402
dog,-0.2055,dOG,cAT
0.2635,CAt,Dog,0.1795
cat,-226,caT,-0.068
dOG,wiizdbsnhz,DOg,-0.101
dOg,jkfabpygqw,625,doG
myoqfranpq,-0.2155,0.115,0.1445
dOG,-415,-885,0.4345
CaT,ggwrhpurit,Cat,288
-0.046,afkdcomhrt,20,fnthdtwzsm
dOg,dog,142,rwlewicbly
CaT,uwpgjjrxqp,423,265
cAT,-307,446,-764
CaT,prwupbjstq,-0.411,sxukenkwdu
-0.295,-0.0825,0.2905,DoG
cAT,vsmitbrzdi,DoG,-221
DoG,-0.463,-794,-843
Dog,695,0.3095,61
doG,-0.079,-0.188,DOG
cAT,-990,-376,-82
DOG,oturqqiskw,0.337,477
dOg,xaryskgqap,-0.1905,zwvcfifwfp
CaT,sqxvlhjvkl,buiujuafxu,0.3755
caT,vuerqqzfwg,-0.136,-0.16
DOg,-0.3165,bwonuatdvp,999
-778,Cat,CAt,iaydddwbou
dog,0.1675,0.204,naczkybdnb
doG,CAT,-77,oynlpymtnn
caT,prcggsouqu,0.4645,0.2735
cat,ffmmekhvdm,0.1955,-572
cAt,doG,-931,dog
ishmoowpmm,-492,-915,hgvqyrvlky
dog,-0.054,Cat,0.301
0.2545,0.444,-701,-0.4985
0.308,-0.3845,zuidvsnbsm,dookquvwjq
Dog,-70,biawnbuakn,-7
0.49,0.086,lfufelxtiw,-0.0385
CAt,792,mlzlfnowtk,0.0755
caT,-0.166,957,0.0665
CaT,totlowvbtf,rvmchkrchx,0.4265
Cat,shvqwbfuxr,308,-956
-790,wdfgugvcam,-0.2125,ktdoucfins
