kegydcxghb,eucsnkeizt,sfusivxstq
DoG,myhysgcsxb,-0.2415
-33,408,-575
170,116,-911
994,-0.11,aufgtrhvmr
xvziessmxj,-0.19,-0.088
-198,doG,-878
gbrdvkyxca,levbgobuto,dOG
mnxrakcknk,0.0515,awohpzgqym
-0.2735,-289,-485
308,0.4375,927
tpyntikcdq,buioxqbwmb,-502
-759,yptoypdqjf,cat
394,ticnehxtec,0.1025
-138,-0.0595,187
-516,clkdjookuz,0.362
0.434,-418,drhvnzlhrr
-285,ouhvnargao,-218
-720,newofnlehk,cAT
0.105,-0.0755,cat
-160,0.4075,bjxdwrcioa
gudmdxvcjh,pxfpezytsb,dog
-0.0155,mfvlqidzpd,-0.206
-281,-0.2315,tsccvmfymm
0.2495,-185,-612
0.113,DOG,cAT
779,aepaokhzjg,cAT
losddupiyb,-37,-0.216
0.0915,-0.3225,zvxjyqfffn
-0.2825,735,dog
Dog,-0.0695,dOG
758,0.238,-0.1575
0.142,-0.3645,961
wgdazkuvgf,rwbcuqlswk,dog
303,0.3745,dxhkqjsaqk
xymtfrbbbn,-254,0.336
kwmaybkhas,-0.356,kqawngrgqk
-0.1155,abeonnaczn,ajnbylrjjs
0.263,-0.242,0.4915
CAT,DOg,cat
iwzvbkqldq,vvhhoylsek,jqgzpulmer
-0.113,dOG,0.094
949,kvrcdxmtyc,47
0.2115,-0.124,-464
cAT,fmislqzrek,qharwuplgn
0.495,-901,-314
281,wkesujaxgl,cAt
doG,-0.2505,kmmcqywhba
CAt,upnwdmqfgd,-0.023
0.4405,0.348,-275
fxgwehipek,0.4035,-797
0.259,cAT,505
-0.2495,185,0.262
69,0.2745,-193
-179,-0.233,wbifnfuhaj
fkgaeonhch,CAt,pkpdvrqvyr
vdlbhpjvok,-0.36,480
86,-567,caT
dog,-0.358,-0.0505
dOg,0.407,fhnzqgwdcd
mxkrmjbyse,-0.0735,0.4435
0.3685,0.225,0.169
-0.221,-0.374,0.2375
