mfxxpjohho,tncqcslmmg,wdpbxwpfuq,cgduyupkwy,iiaajnqlpb,vyidzemvks,jdlpsmsucs
-800,163,lyejbmxtvs,0.153,193,DoG,-174
-460,DOG,jzlaaasqmo,-0.3225,1,cAt,619
efwdusuwah,-594,370,-908,shyfmcqiyk,417,qkkrphmcnd
rhjchrbqel,-0.427,-0.3925,-607,cAt,zttwnedubn,-994
dOG,cat,0.1175,0.242,feivlmsgqf,0.1975,0.028
-0.438,-503,uoevrrlecf,-832,-0.3055,-675,818
doG,0.397,jcsvodruxv,-982,-498,CaT,lkuyiwnjmq
81,0.2175,-0.0715,-0.1605,-843,-656,hxdndexmzc
246,462,0.213,czdrhihoin,-488,-0.455,0.248
viyouaxfft,DOg,doG,0.197,dslsuhbmed,cat,inrtgehisc
-0.4035,CAT,dwveigsetu,-612,wikkrbqlqj,360,ovfdthwszk
xqsobsotxj,640,-0.0255,cat,Cat,bnhmarrwmt,-0.008
480,cAt,CAT,-371,-0.445,-265,DOg
CaT,0.001,0.195,254,nyjgiyozhx,-0.3495,-213
DOG,0.4375,919,vywqawhnfj,cAt,0.339,jwtnpzyfrs
dog,0.1915,-764,tfleaubnvq,zpvvzdulkg,CAT,idlexhwgqk
-0.062,kqumasaxet,-0.325,-339,0.211,-0.1595,doG
-774,yzccwwawkk,0.0085,-37,946,dOG,cAT
0.16,-0.105,nmvnhunpff,CaT,CaT,tehuekuvds,-0.2515
Dog,oevsucveus,pqbuwmjtfh,bcalnnegiz,0.1825,zkwlpdzlrv,481
722,-35,otimxpxrit,CaT,0.3435,0.214,dOG
-893,0.224,xtrhzqrxbv,-0.48,-687,676,haejaippcs
jwggerthim,976,-66,0.4885,0.04,cdyltzwzyp,DOG
CaT,0.0985,CaT,axsnlsxogc,plccbyzcii,tyqjqhilqh,-0.4055
-0.165,914,nabsickrkz,803,kaimitpyer,0.362,-213
nfwmdmqrej,vuvljvmurq,ocvhnqpkrq,-0.384,-0.384,403,-0.1325
-995,-0.3555,DoG,0.1675,101,qkoftjcodp,0.461
czavoeojwr,hnpbwuorni,721,153,atuycuomhg,0.365,lzhthkambc
jkrdpkhaag,wgrzmjlxdr,-0.2985,-0.334,-50,-0.405,DoG
-584,ihrhduwuel,cAT,yutbuncfba,0.227,-604,xnuwvjwajv
lzxsbwaqoa,0.26,0.0265,pnskaigfyi,-0.1405,DoG,-0.067
obelrnrwjo,0.2545,-0.06,-0.3555,0.0725,-0.288,kfxvxbdrpg
ricoolbval,zcflxxmcek,31,243,300,-793,rvcetntpym
714,-0.274,997,0.093,400,0.451,CaT
Dog,CAt,-253,-849,305,ohntbmfhrb,-0.052
-0.439,-0.1865,doG,upvxrpmdug,-0.033,0.489,-208
0.1615,-547,-458,cAT,dOg,dog,ytzdgldwby
lpmytnahzx,-0.2535,-0.3805,cat,-904,0.188,rafhaadgfw
Cat,0.2815,-0.2385,-0.2225,ezectaycus,422,DOG
qpazjcqwyx,tmwdgzvnvr,xsgqmyjyfh,-0.347,-604,257,0.3955
-0.0635,0.0795,-941,0.3795,coslrsoyza,-0.094,0.049
-905,925,vgznthzent,Dog,pumbvrwnpf,0.4805,ubodoybrzf
0.453,Dog,0.337,xnuljwhzes,-7,bwbykgzdqe,0.378
-564,DOg,cAT,-0.252,0.0285,-587,vhjkouvytz
zmydivpqud,-660,yxaogpbghg,598,584,rxhnfljrar,fnycosuzca
-529,976,-807,-0.234,0.0245,deaoaqzyll,dog
0.0385,tkxrhkhmwo,-564,-837,ebbpzeipbi,-674,-709
CaT,fdqofrikjk,CAT,0.1675,hlmdktqjie,0.2505,144
-302,ylshmrlfmc,dstjxlwcpn,718,-947,-330,-0.4335
0.197,qrjzpwbjwe,dog,cat,0.0125,-718,jdkktcemnm
zkqxzcwxtq,396,cebayzcorr,0.141,646,765,vdtdonodmy
mznqpwujur,caT,dog,479,DOG,dOg,-204
792,-0.043,CAt,zrxxodpzyn,0.103,-0.062,-996
0.259,-0.0375,CaT,mvgudlwkwx,748,cAT,224
obfefhyqpr,0.0075,-0.1125,0.475,0.4175,-934,-0.495
0.3985,-444,-0.128,-0.459,0.2485,390,-797
-0.241,cAT,cat,0.2355,-648,0.1125,-937
Dog,-932,tlbazinzlt,-928,-0.4205,0.4155,gbxhmvjucx
wlzlsennnp,fnvbpxmgbr,dOG,DoG,-502,-102,caT
-0.2615,-868,534,-486,ouhdiylhyq,dOg,pmhjdcdrfd
swwajkomfw,hiaeylkxsi,waydihzlhc,0.4,-0.213,598,522
CaT,aujdzgbxhp,-0.192,rbtkddauzt,-562,ajcbgkdvmj,0.3925
oplnldqwex,zltdqmgxul,-0.467,CAT,wsflfdvyuh,0.4205,-0.4795
254,-240,-981,DOG,0.466,-0.4585,-527
oqiosabhqy,-577,zcdbkdxhux,793,-0.3895,sihneargba,mawffflrct
-0.4225,-256,cAT,583,434,-914,305
cAt,-0.2625,296,cat,xlrblghkcv,-0.4005,sapxebdklf
-52,-0.2145,757,rpzllxmyqb,-380,-372,-177
hvuluaball,qkjxuepkgt,-396,-982,qhukdqwwiy,czwwqhdiro,cAt
zhqmvhauxg,0.318,865,bnbkdzsxud,fkiywtcnwr,113,-605
685,-0.4445,-0.207,939,popvkufstx,iebfdnqknh,-647
-104,Cat,cAT,ahwhhlwiif,-0.4065,755,mhvjnhwgtv
214,782,dOG,jacjttvilf,dOG,rhqlacnygw,-566
adfqrngflo,-0.363,caT,qvkbptplae,doG,DoG,dOG
-0.119,xgrviioesd,siexnpkago,Dog,639,-165,ubyxfdtcgs
auexqoqluy,770,-723,vcqawffcrg,cqilihvvto,0.09,0.383
iukuwzasgy,819,DOG,0.3325,cmwfdxyrxs,upuhbsnibd,-0.086
67,hqskjnefmd,-869,538,0.2995,DOg,785
-124,-0.004,jkvzywzzux,-0.0655,-0.112,cmltiunuyl,-427
fyysxjsuzm,-0.1425,DOg,-0.0195,kbtkpzbgjz,0.0245,699
phefhgyaey,0.184,-0.2415,-939,-773,-692,DOg
Cat,924,-183,dog,-424,Dog,bltmqaxkyr
bxridwubhl,-205,472,obcuiijqwj,154,61,-0.1505
caT,-718,-0.182,-0.3235,847,xflygaylkz,-149
-0.0215,628,333,szvyghobgv,ezqwblloxe,-0.421,CAT
-940,-0.169,cAt,547,gedbntvnzc,0.404,cat
0.267,523,CAt,pgrnpyehvt,dog,13,vcacgqutmu
368,-977,0.318,-979,cAT,dOG,-0.209
0.383,0.0555,zchdfaerrl,952,-0.15,-94,495
CAt,0.2735,0.453,182,-208,0.1035,-0.2815
-0.3595,yltdvvflvq,-333,-818,cAt,Cat,-121
-519,-0.312,0.0905,jntuetjnud,0.398,0.0285,nhkutssbum
697,-0.3925,dOg,hedvrhcbjw,-0.408,DOg,322
517,147,mcgfzoxzbc,sfvaxhxuwf,-902,qhojubfowk,DOG
